,eta,epsilon,sigma,testing_mse,CB_size,tradeOff_dist
0,0.05,0.01,0.01,0.14807894186410678,112,0.15070292971138124
1,0.05,0.01,0.1,0.09540163225623469,112,0.0994257081300095
2,0.05,0.01,0.0,0.15156505607314458,112,0.15412970584042343
3,0.05,0.01,2.0,0.04848599240265043,112,0.05599010144007488
4,0.05,0.01,4.0,0.05073791981089384,112,0.057951156215701974
5,0.05,0.1,0.01,0.15050232675688585,12,0.1505322236573832
6,0.05,0.1,0.1,0.10148635241928523,12,0.10153068367430292
7,0.05,0.1,0.0,0.15156505607314458,12,0.15159474338662096
8,0.05,0.1,2.0,0.048181169742593045,12,0.04827447687717148
9,0.05,0.1,4.0,0.05064113318910581,12,0.0507299159340596
10,0.05,1.0,0.01,0.15156505607314458,2,0.1515658807992599
11,0.05,1.0,0.1,0.11131017233804644,2,0.11131129532049117
12,0.05,1.0,0.0,0.15156505607314458,2,0.1515658807992599
13,0.05,1.0,2.0,0.046182176771388715,2,0.046184883363973056
14,0.05,1.0,4.0,0.050018143625251345,2,0.05002064265597026
15,0.05,2.0,0.01,0.15156505607314458,1,0.15156526225509412
16,0.05,2.0,0.1,0.15156505607314458,1,0.15156526225509412
17,0.05,2.0,0.0,0.15156505607314458,1,0.15156526225509412
18,0.05,2.0,2.0,0.04906696714854159,1,0.049067604029095
19,0.05,2.0,4.0,0.05077986285630566,1,0.050780478254002406
20,0.1,0.01,0.01,0.14734036557724536,112,0.1499772760401932
21,0.1,0.01,0.1,0.09455420580769504,112,0.09861286851077779
22,0.1,0.01,0.0,0.15156505607314458,112,0.15412970584042343
23,0.1,0.01,2.0,0.04707893521611743,112,0.054776145730448964
24,0.1,0.01,4.0,0.04926625985187917,112,0.05666713650602862
25,0.1,0.1,0.01,0.150117341365412,12,0.1501473149231102
26,0.1,0.1,0.1,0.10081828240062654,12,0.10086290728614004
27,0.1,0.1,0.0,0.15156505607314458,12,0.15159474338662096
28,0.1,0.1,2.0,0.0467770834220279,12,0.04687318565524811
29,0.1,0.1,4.0,0.04917014252584544,12,0.04926157646697833
30,0.1,1.0,0.01,0.15156505607314458,2,0.1515658807992599
31,0.1,1.0,0.1,0.10977948051938943,2,0.10978061915979069
32,0.1,1.0,0.0,0.15156505607314458,2,0.1515658807992599
33,0.1,1.0,2.0,0.04485919085723253,2,0.044861977267677516
34,0.1,1.0,4.0,0.04857047088828101,2,0.048573044400257157
35,0.1,2.0,0.01,0.15156505607314458,1,0.15156526225509412
36,0.1,2.0,0.1,0.15156505607314458,1,0.15156526225509412
37,0.1,2.0,0.0,0.15156505607314458,1,0.15156526225509412
38,0.1,2.0,2.0,0.047457372737482864,1,0.047458031218587035
39,0.1,2.0,4.0,0.04926070147884032,1,0.04926133585467837
40,0.5,0.01,0.01,0.14648681055254154,112,0.1491388134117212
41,0.5,0.01,0.1,0.09372484122688032,112,0.0978179219928737
42,0.5,0.01,0.0,0.15156505607314458,112,0.15412970584042343
43,0.5,0.01,2.0,0.04571881499480888,112,0.053611659594994455
44,0.5,0.01,4.0,0.04784814881542379,112,0.055438662908325456
45,0.5,0.1,0.01,0.1491868308978925,12,0.14921699136946961
46,0.5,0.1,0.1,0.10028213869387974,12,0.10032700205337809
47,0.5,0.1,0.0,0.15156505607314458,12,0.15159474338662096
48,0.5,0.1,2.0,0.045429948929684584,12,0.04552889477852223
49,0.5,0.1,4.0,0.04775594860177275,12,0.047850084920041266
50,0.5,1.0,0.01,0.15156505607314458,2,0.1515658807992599
51,0.5,1.0,0.1,0.10828928611005877,2,0.10829044041939329
52,0.5,1.0,0.0,0.15156505607314458,2,0.1515658807992599
53,0.5,1.0,2.0,0.043541983342920906,2,0.043544854040807185
54,0.5,1.0,4.0,0.04716521209478438,2,0.047167862278737996
55,0.5,2.0,0.01,0.15156505607314458,1,0.15156526225509412
56,0.5,2.0,0.1,0.15156505607314458,1,0.15156526225509412
57,0.5,2.0,0.0,0.15156505607314458,1,0.15156526225509412
58,0.5,2.0,2.0,0.04595199546016271,1,0.04595267551264904
59,0.5,2.0,4.0,0.04780836227003739,1,0.047809015916907706
60,0.9,0.01,0.01,0.1464216615013812,112,0.149074823349971
61,0.9,0.01,0.1,0.09350328020070733,112,0.09760565254272925
62,0.9,0.01,0.0,0.15156505607314458,112,0.15412970584042343
63,0.9,0.01,2.0,0.04541280303420135,112,0.05335093888042803
64,0.9,0.01,4.0,0.04752937225764293,112,0.0551637673405796
65,0.9,0.1,0.01,0.14889807332918184,12,0.1489282922790106
66,0.9,0.1,0.1,0.100115808799946,12,0.10016074666089178
67,0.9,0.1,0.0,0.15156505607314458,12,0.15159474338662096
68,0.9,0.1,2.0,0.0451315500276455,12,0.04523114864667786
69,0.9,0.1,4.0,0.04743946709247105,12,0.047534230171715666
70,0.9,1.0,0.01,0.15156505607314458,2,0.1515658807992599
71,0.9,1.0,0.1,0.108077686676429,2,0.10807884324569893
72,0.9,1.0,0.0,0.15156505607314458,2,0.1515658807992599
73,0.9,1.0,2.0,0.043215844150042745,2,0.043218736510925254
74,0.9,1.0,4.0,0.046840975487358945,2,0.04684364401503539
75,0.9,2.0,0.01,0.15156505607314458,1,0.15156526225509412
76,0.9,2.0,0.1,0.15156505607314458,1,0.15156526225509412
77,0.9,2.0,0.0,0.15156505607314458,1,0.15156526225509412
78,0.9,2.0,2.0,0.04563476472567698,1,0.04563544950548742
79,0.9,2.0,4.0,0.04748742427188976,1,0.047488082336292176
