,eta,epsilon,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.05,0.01,0.001,2,0.041842065984165504,106,0.04956802508496037
1,0.05,0.01,0.001,5,0.04196925551093737,106,0.04963535441741448
2,0.05,0.01,0.001,10,0.04172563306802669,106,0.04953704124115208
3,0.05,0.01,0.001,15,0.04161751027217573,107,0.049540718467283584
4,0.05,0.01,0.001,20,0.04140092893098276,108,0.04945441756151098
5,0.05,0.01,0.1,2,0.05149056781012693,19,0.051716140598552784
6,0.05,0.01,0.1,5,0.05103532035341899,27,0.051479767128223324
7,0.05,0.01,0.1,10,0.050069182318335216,39,0.05100966102638491
8,0.05,0.01,0.1,15,0.048958049519681864,46,0.05029628453247438
9,0.05,0.01,0.1,20,0.05223330965337318,62,0.054549007895150284
10,0.05,0.01,0.1,2,0.05149056781012693,19,0.051716140598552784
11,0.05,0.01,0.1,5,0.05103532035341899,27,0.051479767128223324
12,0.05,0.01,0.1,10,0.050069182318335216,39,0.05100966102638491
13,0.05,0.01,0.1,15,0.048958049519681864,46,0.05029628453247438
14,0.05,0.01,0.1,20,0.05223330965337318,62,0.054549007895150284
15,0.05,0.01,1.0,2,0.04987516006470654,56,0.05180957649392724
16,0.05,0.01,1.0,5,0.04932794784401511,38,0.050234414881651354
17,0.05,0.01,1.0,10,0.05160762465038561,36,0.052412492995993695
18,0.05,0.01,1.0,15,0.04954710831271964,52,0.05126886547557272
19,0.05,0.01,1.0,20,0.0507817488269837,49,0.05227376028110911
20,0.05,0.1,0.001,2,0.039766458947481,12,0.03987945908888048
21,0.05,0.1,0.001,5,0.039655604889363386,12,0.0397689200147716
22,0.05,0.1,0.001,10,0.03959710330762239,12,0.03971058536907407
23,0.05,0.1,0.001,15,0.03962589027157557,12,0.03973929012721475
24,0.05,0.1,0.001,20,0.03962589027157557,12,0.03973929012721475
25,0.05,0.1,0.1,2,0.04686284094623822,9,0.04692048045952238
26,0.05,0.1,0.1,5,0.0435131732803558,11,0.04360970360970446
27,0.05,0.1,0.1,10,0.037904743616946415,12,0.038023276932248225
28,0.05,0.1,0.1,15,0.03962589027157557,12,0.03973929012721475
29,0.05,0.1,0.1,20,0.03962589027157557,12,0.03973929012721475
30,0.05,0.1,0.1,2,0.04686284094623822,9,0.04692048045952238
31,0.05,0.1,0.1,5,0.0435131732803558,11,0.04360970360970446
32,0.05,0.1,0.1,10,0.037904743616946415,12,0.038023276932248225
33,0.05,0.1,0.1,15,0.03962589027157557,12,0.03973929012721475
34,0.05,0.1,0.1,20,0.03962589027157557,12,0.03973929012721475
35,0.05,0.1,1.0,2,0.04681465139847794,6,0.046846421534211265
36,0.05,0.1,1.0,5,0.04007047020008438,8,0.04012945560378125
37,0.05,0.1,1.0,10,0.05116034117968452,12,0.051254175533528235
38,0.05,0.1,1.0,15,0.03962589027157557,12,0.03973929012721475
39,0.05,0.1,1.0,20,0.03962589027157557,12,0.03973929012721475
40,0.05,1.0,0.001,2,0.036662658939596325,2,0.0366660682446477
41,0.05,1.0,0.001,5,0.036662658939596325,2,0.0366660682446477
42,0.05,1.0,0.001,10,0.036662658939596325,2,0.0366660682446477
43,0.05,1.0,0.001,15,0.036662658939596325,2,0.0366660682446477
44,0.05,1.0,0.001,20,0.036662658939596325,2,0.0366660682446477
45,0.05,1.0,0.1,2,0.036662658939596325,2,0.0366660682446477
46,0.05,1.0,0.1,5,0.036662658939596325,2,0.0366660682446477
47,0.05,1.0,0.1,10,0.036662658939596325,2,0.0366660682446477
48,0.05,1.0,0.1,15,0.036662658939596325,2,0.0366660682446477
49,0.05,1.0,0.1,20,0.036662658939596325,2,0.0366660682446477
50,0.05,1.0,0.1,2,0.036662658939596325,2,0.0366660682446477
51,0.05,1.0,0.1,5,0.036662658939596325,2,0.0366660682446477
52,0.05,1.0,0.1,10,0.036662658939596325,2,0.0366660682446477
53,0.05,1.0,0.1,15,0.036662658939596325,2,0.0366660682446477
54,0.05,1.0,0.1,20,0.036662658939596325,2,0.0366660682446477
55,0.05,1.0,1.0,2,0.036662658939596325,2,0.0366660682446477
56,0.05,1.0,1.0,5,0.036662658939596325,2,0.0366660682446477
57,0.05,1.0,1.0,10,0.036662658939596325,2,0.0366660682446477
58,0.05,1.0,1.0,15,0.036662658939596325,2,0.0366660682446477
59,0.05,1.0,1.0,20,0.036662658939596325,2,0.0366660682446477
60,0.05,1.5,0.001,2,0.04671881728915129,1,0.046719486179720576
61,0.05,1.5,0.001,5,0.04671881728915129,1,0.046719486179720576
62,0.05,1.5,0.001,10,0.04671881728915129,1,0.046719486179720576
63,0.05,1.5,0.001,15,0.04671881728915129,1,0.046719486179720576
64,0.05,1.5,0.001,20,0.04671881728915129,1,0.046719486179720576
