,MSE
0,0.004533750284342453
1,0.004545265123248659
2,0.004533689241491166
3,0.0045221314003127
4,0.0045105918169588265
5,0.004499070477597287
6,0.004487567368400259
7,0.004476082475546662
8,0.0044646157852223575
9,0.004453167283619982
10,0.004441736956938869
11,0.004430324791385264
12,0.004418930773172171
13,0.0044075548885193425
14,0.004396197123653383
15,0.00438485746480772
16,0.004373535898222391
17,0.004362232410144406
18,0.0043509469868274
19,0.0043396796145319175
20,0.004328430279525153
21,0.0043171989680811165
22,0.004305985666480671
23,0.004294790361011247
24,0.004283613037967234
25,0.004272453683649665
26,0.004261312284366275
27,0.004250188826431663
28,0.004239083296167173
29,0.0042279956799008474
30,0.004216925963967414
31,0.004205874134708437
32,0.004194840178472274
33,0.0041838240816136595
34,0.0041728258304945375
35,0.004161845411483315
36,0.00415088281095503
37,0.004139938015291714
38,0.0041290110108818875
39,0.0041181017841209165
40,0.004107210321410843
41,0.004096336609160326
42,0.004085480633784867
43,0.004074642381706521
44,0.004063821839354227
45,0.004053018993163481
46,0.004042233829576518
47,0.004031466335042228
48,0.004020716496016274
49,0.004009984298960898
50,0.003999269730345031
51,0.003988572776644354
52,0.003977893424341216
53,0.00396723165992458
54,0.003956587469890126
55,0.0039459608407401425
56,0.003935351758983709
57,0.0039247602111363656
58,0.003914186183720504
59,0.0039036296632649955
60,0.0038930906363055483
61,0.0038825690893843755
62,0.0038720650090503924
63,0.003861578381859172
64,0.003851109194372813
65,0.0038406574331602394
66,0.0038302230847968924
67,0.0038198061358647867
68,0.0038094065729527195
69,0.0037990243826560004
70,0.0037886595515766123
71,0.003778312066323123
72,0.00376798191351071
73,0.0037576690797611906
74,0.003747373551702982
75,0.003737095315971134
76,0.0037268343592072716
77,0.003716590668059608
78,0.0037063642291829593
79,0.003696155029238861
80,0.0036859630548951704
81,0.0036757882928265696
82,0.003665630729714247
83,0.003655490352246016
84,0.003645367147116196
85,0.003635261101025751
86,0.003625172200682142
87,0.0036151004327995007
88,0.0036050457840984193
89,0.0035950082413062114
90,0.0035849877911565617
91,0.003574984420389846
92,0.0035649981157529955
93,0.003555028863999431
94,0.0035450766518891866
95,0.0035351414661887754
96,0.0035252232936713156
97,0.0035153221211164307
98,0.0035054379353103124
99,0.0034955707230457343
100,0.0034857204711218684
101,0.003475887166344527
102,0.003466070795526039
103,0.003456271345485259
104,0.0034464888030474802
105,0.0034367231550446204
106,0.003426974388315131
107,0.0034172424897038235
108,0.0034075274460622224
109,0.003397829244248229
110,0.003388147871126214
111,0.0033784833135671374
112,0.0033688355584484946
113,0.0033592045926542063
114,0.003349590403074653
115,0.0033399929766067815
116,0.0033304123001540228
117,0.0033208483606262176
118,0.0033113011449398327
119,0.003301770640017611
120,0.0032922568327889493
121,0.003282759710189635
122,0.0032732792591619493
123,0.003263815466654668
124,0.0032543683196228973
125,0.003244937805028384
126,0.0032355239098393294
127,0.0032261266210301866
128,0.0032167459255820407
129,0.0032073818104823943
130,0.0031980342627252216
131,0.003188703269310842
132,0.003179388817246113
133,0.0031700908935443518
134,0.003160809485225141
135,0.003151544579314689
136,0.0031422961628455835
137,0.00313306422285679
138,0.0031238487463937214
139,0.003114649720508259
140,0.003105467132258628
141,0.0030963009687095424
142,0.0030871512169320316
143,0.003078017864003677
144,0.003068900897008347
145,0.0030598003030363335
146,0.0030507160691844097
147,0.00304164818255569
148,0.003032596630259664
149,0.0030235613994122608
150,0.0030145424771358
151,0.0030055398505589117
152,0.0029965535068167113
153,0.0029875834330506663
154,0.0029786296164086034
155,0.0029696920440447205
156,0.0029607707031196143
157,0.002951865580800298
158,0.0029429766642600354
159,0.002934103940678545
160,0.002925247397241912
161,0.0029164070211425037
162,0.0029075827995791205
163,0.0028987747197569353
164,0.002889982768887356
165,0.002881206934188252
166,0.002872447202883797
167,0.0028637035622045485
168,0.002854975999387311
169,0.0028462645016752728
170,0.002837569056318098
171,0.002828889650571475
172,0.0028202262716977245
173,0.0028115789069653543
174,0.0028029475436491475
175,0.0027943321690303245
176,0.0027857327703963526
177,0.002777149335041059
178,0.002768581850264514
179,0.002760030303373191
180,0.0027514946816798204
181,0.0027429749725033925
182,0.002734471163169243
183,0.0027259832410090512
184,0.0027175111933607256
185,0.0027090550075685106
186,0.002700614670982918
187,0.002692190170960745
188,0.0026837814948650297
189,0.002675388630065228
190,0.002667011563936938
191,0.0026586502838621016
192,0.002650304777228911
193,0.002641975031431854
194,0.00263366103387166
195,0.0026253627719553256
196,0.002617080233096133
197,0.0026088134047135996
198,0.0026005622742335003
199,0.0025923268290879114
200,0.002584107056715113
201,0.0025759029445595882
202,0.0025677144800721825
203,0.002559541650709936
204,0.0025513844439360865
205,0.0025432428472201554
206,0.002535116848037872
207,0.0025270064338712484
208,0.0025189115922084324
209,0.0025108323105438933
210,0.002502768576378342
211,0.00249472037721858
212,0.0024866877005776935
213,0.0024786705339750505
214,0.002470668864936191
215,0.002462682680992776
216,0.0024547119696828037
217,0.0024467567185504384
218,0.0024388169151459997
219,0.002430892547026074
220,0.0024229836017533807
221,0.0024150900668968326
222,0.002407211930031662
223,0.0023993491787390776
224,0.0023915018006067106
225,0.0023836697832281613
226,0.0023758531142033376
227,0.0023680517811383063
228,0.002360265771645268
229,0.002352495073342612
230,0.0023447396738549486
231,0.0023369995608130073
232,0.0023292747218536212
233,0.002321565144619955
234,0.002313870816761183
235,0.0023061917259326594
236,0.002298527859795934
237,0.002290879206018687
238,0.0022832457522747687
239,0.0022756274862441124
240,0.002268024395612856
241,0.0022604364680733234
242,0.0022528636913237868
243,0.00224530605306884
244,0.00223776354101915
245,0.0022302361428914903
246,0.0022227238464087645
247,0.00221522663930006
248,0.0022077445093004852
249,0.002200277444151372
250,0.002192825431600062
251,0.0021853884594001173
252,0.002177966515311127
253,0.0021705595870987917
254,0.002163167662534996
255,0.0021557907293976515
256,0.002148428775470786
257,0.0021410817885445695
258,0.002133749756415163
259,0.002126432666884902
260,0.0021191305077622345
261,0.0021118432668615944
262,0.0021045709320036
263,0.002097313491014853
264,0.0020900709317281923
265,0.0020828432419823157
266,0.002075630409622154
267,0.002068432422498652
268,0.0020612492684688615
269,0.0020540809353958005
270,0.002046927411148691
271,0.002039788683602717
272,0.00203266474063914
273,0.002025555570145218
274,0.002018461160014441
275,0.0020113814981461316
276,0.002004316572445759
277,0.0019972663708248952
278,0.00199023088120106
279,0.0019832100914978115
280,0.0019762039896448415
281,0.0019692125635777415
282,0.0019622358012381935
283,0.001955273690573967
284,0.0019483262195387817
285,0.0019413933760923994
286,0.0019344751482005664
287,0.0019275715238351422
288,0.001920682490973949
289,0.0019138080376007414
290,0.001906948151705402
291,0.0019001028212837865
292,0.0018932720343376938
293,0.0018864557788749875
294,0.0018796540429095315
295,0.001872866814461225
296,0.0018660940815557721
297,0.0018593358322251162
298,0.001852592054507024
299,0.0018458627364452652
300,0.0018391478660896715
301,0.0018324474314960187
302,0.0018257614207260447
303,0.0018190898218474263
304,0.001812432622933853
305,0.0018057898120650622
306,0.0017991613773265898
307,0.0017925473068100724
308,0.001785947588613091
309,0.001779362210839094
310,0.0017727911615976026
311,0.0017662344290040764
312,0.001759692001179777
313,0.001753163866252106
314,0.0017466500123543393
315,0.001740150427625698
316,0.0017336651002112942
317,0.0017271940182622498
318,0.0017207371699356658
319,0.0017142945433943936
320,0.001707866126807369
321,0.0017014519083494509
322,0.0016950518762013419
323,0.0016886660185497396
324,0.0016822943235872481
325,0.0016759367795123894
326,0.0016695933745295528
327,0.0016632640968491132
328,0.0016569489346873025
329,0.0016506478762662842
330,0.001644360909814127
331,0.0016380880235647706
332,0.0016318292057581263
333,0.001625584444639918
334,0.0016193537284618018
335,0.001613137045481384
336,0.0016069343839620357
337,0.0016007457321731075
338,0.0015945710783898028
339,0.001588410410893244
340,0.001582263717970365
341,0.001576130987914032
342,0.001570012209022989
343,0.0015639073696017995
344,0.0015578164579609203
345,0.001551739462416708
346,0.0015456763712913355
347,0.0015396271729128592
348,0.0015335918556152125
349,0.001527570407738134
350,0.0015215628176272757
351,0.0015155690736340878
352,0.001509589164115907
353,0.0015036230774359042
354,0.0014976708019630764
355,0.0014917323260723004
356,0.0014858076381442438
357,0.001479896726565462
358,0.0014739995797282803
359,0.0014681161860309077
360,0.0014622465338773693
361,0.0014563906116774998
362,0.001450548407846977
363,0.0014447199108072698
364,0.0014389051089857014
365,0.0014331039908153979
366,0.0014273165447352654
367,0.0014215427591900765
368,0.0014157826226303789
369,0.0014100361235125473
370,0.0014043032502986958
371,0.001398583991456823
372,0.0013928783354606976
373,0.0013871862707898197
374,0.0013815077859295841
375,0.0013758428693711297
376,0.0013701915096113219
377,0.0013645536951529431
378,0.0013589294145044495
379,0.001353318656180127
380,0.0013477214087000294
381,0.001342137660589937
382,0.001336567400381506
383,0.0013310106166120501
384,0.001325467297824737
385,0.0013199374325684845
386,0.0013144210093978966
387,0.0013089180168734387
388,0.0013034284435613011
389,0.001297952278033389
390,0.0012924895088673757
391,0.0012870401246467384
392,0.0012816041139606395
393,0.001276181465403992
394,0.0012707721675775
395,0.0012653762090875803
396,0.001259993578546328
397,0.0012546242645716558
398,0.0012492682557871959
399,0.0012439255408223122
400,0.0012385961083119942
401,0.001233279946897127
402,0.001227977045224201
403,0.001222687391945444
404,0.0012174109757188045
405,0.0012121477852079815
406,0.0012068978090823727
407,0.0012016610360170324
408,0.0011964374546927967
409,0.001191227053796169
410,0.0011860298220193273
411,0.0011808457480602286
412,0.001175674820622456
413,0.001170517028415321
414,0.0011653723601538018
415,0.0011602408045585863
416,0.0011551223503560974
417,0.0011500169862783422
418,0.0011449247010630605
419,0.0011398454834537198
420,0.0011347793221993798
421,0.0011297262060548092
422,0.0011246861237804832
423,0.001119659064142521
424,0.001114645015912685
425,0.0011096439678684505
426,0.0011046559087929436
427,0.0010996808274748998
428,0.0010947187127087565
429,0.0010897695532946419
430,0.0010848333380382678
431,0.0010799100557510439
432,0.0010749996952499892
433,0.0010701022453578153
434,0.0010652176949028382
435,0.0010603460327190328
436,0.0010554872476460156
437,0.0010506413285290162
438,0.0010458082642189296
439,0.0010409880435722698
440,0.0010361806554511715
441,0.0010313860887233835
442,0.001026604332262327
443,0.0010218353749470045
444,0.0010170792056620136
445,0.0010123358132976426
446,0.0010076051867497283
447,0.0010028873149197353
448,0.0009981821867147717
449,0.0009934897910475124
450,0.0009888101168362706
451,0.000984143153004879
452,0.0009794888884828883
453,0.0009748473122053922
454,0.0009702184131130422
455,0.0009656021801521279
456,0.0009609986022745196
457,0.0009564076684376765
458,0.0009518293676046359
459,0.00094726368874402
460,0.0009427106208300214
461,0.0009381701528424287
462,0.0009336422737665838
463,0.0009291269725934426
464,0.000924624238319485
465,0.0009201340599467624
466,0.0009156564264829739
467,0.0009111913269412141
468,0.0009067387503403027
469,0.0009022986857045414
470,0.0008978711220637921
471,0.0008934560484534868
472,0.0008890534539145881
473,0.0008846633274936619
474,0.0008802856582427218
475,0.0008759204352194057
476,0.0008715676474868859
477,0.0008672272841138123
478,0.000862899334174466
479,0.0008585837867485641
480,0.0008542806309214616
481,0.0008499898557839452
482,0.0008457114504323467
483,0.0008414454039686139
484,0.0008371917055000821
485,0.0008329503441397005
486,0.000828721309005926
487,0.00082450458922266
488,0.0008203001739194216
489,0.0008161080522311806
490,0.0008119282132984075
491,0.0008077606462670822
492,0.0008036053402886928
493,0.0007994622845202931
494,0.0007953314681243056
495,0.0007912128802687617
496,0.0007871065101271555
497,0.0007830123468784145
498,0.0007789303797070089
499,0.000774860597802936
500,0.0007708029903616088
501,0.000766757546583914
502,0.0007627242556762824
503,0.0007587031068505903
504,0.0007546940893241688
505,0.0007506971923198254
506,0.0007467124050658782
507,0.0007427397167960569
508,0.0007387791167496212
509,0.0007348305941712258
510,0.0007308941383110496
511,0.0007269697384246636
512,0.0007230573837731459
513,0.0007191570636230318
514,0.000715268767246242
515,0.0007113924839202093
516,0.0007075282029278167
517,0.0007036759135573487
518,0.0006998356051025593
519,0.0006960072668626233
520,0.0006921908881422139
521,0.0006883864582513176
522,0.0006845939665054481
523,0.000680813402225566
524,0.0006770447547379723
525,0.0006732880133744535
526,0.0006695431674722243
527,0.0006658102063739023
528,0.000662089119427503
529,0.0006583798959864868
530,0.0006546825254097419
531,0.0006509969970614831
532,0.0006473233003114615
533,0.000643661424534727
534,0.0006400113591118168
535,0.0006363730934286178
536,0.0006327466168763996
537,0.0006291319188518987
538,0.000625528988757153
539,0.0006219378159997066
540,0.00061835838999241
541,0.0006147907001535074
542,0.0006112347359066642
543,0.0006076904866809121
544,0.0006041579419106588
545,0.0006006370910357035
546,0.0005971279235011953
547,0.0005936304287577043
548,0.000590144596261123
549,0.000586670415472739
550,0.0005832078758592225
551,0.0005797569668925379
552,0.000576317678050112
553,0.0005728899988146614
554,0.0005694739186742988
555,0.0005660694271224412
556,0.0005626765136579284
557,0.0005592951677849025
558,0.0005559253790128788
559,0.0005525671368566826
560,0.0005492204308365497
561,0.0005458852504779683
562,0.0005425615853118428
563,0.0005392494248743896
564,0.0005359487587071513
565,0.0005326595763570101
566,0.0005293818673761906
567,0.000526115621322201
568,0.0005228608277579393
569,0.0005196174762515608
570,0.0005163855563766257
571,0.0005131650577119091
572,0.0005099559698415751
573,0.0005067582823550969
574,0.0005035719848472536
575,0.0005003970669180904
576,0.0004972335181730218
577,0.0004940813282227521
578,0.0004909404866832447
579,0.0004878109831758256
580,0.00048469280732707526
581,0.00048158594876891204
582,0.00047849039713848663
583,0.00047540614207829146
584,0.0004723331732361046
585,0.0004692714802649561
586,0.0004662210528232121
587,0.00046318188057446047
588,0.0004601539531876378
589,0.000457137260336907
590,0.0004541317917017018
591,0.00045113753696679796
592,0.00044815448582214524
593,0.00044518262796303045
594,0.0004422219530900017
595,0.00043927245090883034
596,0.00043633411113059884
597,0.0004334069234716272
598,0.0004304908776534865
599,0.0004275859634029908
600,0.00042469217045225545
601,0.0004218094885386144
602,0.0004189379074046281
603,0.00041607741679816016
604,0.00041322800647227874
605,0.0004103896661852792
606,0.0004075623857007272
607,0.00040474615478743904
608,0.00040194096321942516
609,0.00039914680077594335
610,0.00039636365724148416
611,0.00039359152240579743
612,0.0003908303860638016
613,0.00038808023801567077
614,0.00038534106806680256
615,0.00038261286602781034
616,0.0003798956217145033
617,0.00037718932494794295
618,0.0003744939655543987
619,0.0003718095333653044
620,0.0003691360182173562
621,0.00036647340995243476
622,0.0003638216984176038
623,0.0003611808734651573
624,0.00035855092495259245
625,0.0003559318427425826
626,0.00035332361670299976
627,0.0003507262367069208
628,0.0003481396926326161
629,0.0003455639743634928
630,0.00034299907178821125
631,0.0003404449748005958
632,0.00033790167329961554
633,0.0003353691571894874
634,0.00033284741637953664
635,0.00033033644078429977
636,0.0003278362203234734
637,0.0003253467449219368
638,0.00032286800450973246
639,0.0003203999890220506
640,0.0003179426883992793
641,0.00031549609258694827
642,0.0003130601915357285
643,0.0003106349752014894
644,0.00030822043354522105
645,0.00030581655653307786
646,0.0003034233341363688
647,0.00030104075633155395
648,0.00029866881310022916
649,0.00029630749442913
650,0.0002939567903101456
651,0.0002916166907403145
652,0.00028928718572178045
653,0.0002869682652618479
654,0.0002846599193729427
655,0.00028236213807263354
656,0.00028007491138360574
657,0.000277798229333668
658,0.00027553208195577815
659,0.0002732764592879697
660,0.0002710313513734423
661,0.00026879674826049617
662,0.000266572640002542
663,0.0002643590166580949
664,0.00026215586829080473
665,0.0002599631849694269
666,0.0002577809567678068
667,0.0002556091737648968
668,0.00025344782604475643
669,0.00025129690369655533
670,0.0002491563968145369
671,0.0002470262954980787
672,0.00024490658985160726
673,0.00024279726998466494
674,0.00024069832601188656
675,0.00023860974805299073
676,0.00023653152623276483
677,0.00023446365068109567
678,0.0002324061115329478
679,0.00023035889892836052
680,0.00022832200301245334
681,0.00022629541393542289
682,0.00022427912185253487
683,0.00022227311692410304
684,0.000220277389315537
685,0.0002182919291973155
686,0.00021631672674494627
687,0.00021435177213904475
688,0.00021239705556524568
689,0.00021045256721424982
690,0.00020851829728182273
691,0.00020659423596877874
692,0.00020468037348098035
693,0.00020277670002933528
694,0.00020088320582980677
