,eta,epsilon,sigma_init,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.1,0.1,1,0.001,2,0.27693193363884216,3699,0.9653736768054887
1,0.1,0.1,1,0.001,5,0.27696383051582163,3699,0.9653828273871442
2,0.1,0.1,1,0.001,10,0.2770077137372917,3699,0.9653954181939964
3,0.1,0.1,1,0.001,20,0.2770683831853848,3699,0.965412828255852
4,0.1,0.1,1,0.1,2,0.09634747812459321,3699,0.9298052895853889
5,0.1,0.1,1,0.1,5,0.09643066093076254,3699,0.9298139127629483
6,0.1,0.1,1,0.1,10,0.09652126250484079,3699,0.929823313385682
7,0.1,0.1,1,0.1,20,0.09697311322916513,3699,0.9298703268140974
8,0.1,0.1,1,0.1,2,0.09634747812459321,3699,0.9298052895853889
9,0.1,0.1,1,0.1,5,0.09643066093076254,3699,0.9298139127629483
10,0.1,0.1,1,0.1,10,0.09652126250484079,3699,0.929823313385682
11,0.1,0.1,1,0.1,20,0.09697311322916513,3699,0.9298703268140974
12,0.1,0.1,1,1.0,2,0.054710043467467315,3699,0.9264168763878452
13,0.1,0.1,1,1.0,5,0.05470895156709181,3699,0.9264168119057266
14,0.1,0.1,1,1.0,10,0.05469752637555164,3699,0.9264161372685625
15,0.1,0.1,1,1.0,20,0.05472584398831779,3699,0.9264178096303166
16,0.1,0.1,2,0.001,2,0.10585832967952873,3699,0.9308388829236452
17,0.1,0.1,2,0.001,5,0.10586254214890503,3699,0.9308393619901495
18,0.1,0.1,2,0.001,10,0.10586631353506222,3699,0.9308397909100706
19,0.1,0.1,2,0.001,20,0.10587143112839385,3699,0.9308403729583146
20,0.1,0.1,2,0.1,2,0.06647327745904032,3699,0.9271859234350717
21,0.1,0.1,2,0.1,5,0.06653527711555629,3699,0.9271903704746096
22,0.1,0.1,2,0.1,10,0.06659718299729914,3699,0.9271948149030902
23,0.1,0.1,2,0.1,20,0.06673843370036112,3699,0.9272049711540472
24,0.1,0.1,2,0.1,2,0.06647327745904032,3699,0.9271859234350717
25,0.1,0.1,2,0.1,5,0.06653527711555629,3699,0.9271903704746096
26,0.1,0.1,2,0.1,10,0.06659718299729914,3699,0.9271948149030902
27,0.1,0.1,2,0.1,20,0.06673843370036112,3699,0.9272049711540472
28,0.1,0.1,2,1.0,2,0.05298582124676352,3699,0.9263166506401544
29,0.1,0.1,2,1.0,5,0.052888527328905366,3699,0.926311090467463
