,eta,epsilon,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.05,0.1,0.1,5,0.9073844183440342,220,0.9090558248279041
1,0.05,0.1,0.1,10,0.5777953256620403,346,0.5842639201224933
2,0.05,0.1,0.1,15,0.5686383530283714,383,0.5766475762194954
3,0.05,0.1,0.1,20,0.739342422153899,354,0.7446352179566813
4,0.05,0.1,1.0,5,1.18764562476348,1664,1.2584198566634415
5,0.05,0.1,1.0,10,2.4689230928601713,2512,2.547584163297306
6,0.05,0.1,1.0,15,,2770,
7,0.05,0.1,1.0,20,,3348,
8,0.05,0.1,1.5,5,,3801,
9,0.05,0.1,1.5,10,,3846,
10,0.05,0.1,1.5,15,,3906,
11,0.05,0.1,1.5,20,,3922,
12,0.05,1.0,0.1,5,1.104949770342294,31,1.1049774774195573
13,0.05,1.0,0.1,10,0.9822598035469821,35,0.9822989984160403
14,0.05,1.0,0.1,15,0.9894846626067935,43,0.9895438737919001
15,0.05,1.0,0.1,20,0.9766535005847213,44,0.9767157267236922
16,0.05,1.0,1.0,5,1.5480770055653792,1039,1.5697255986828624
17,0.05,1.0,1.0,10,1.3133847418634301,824,1.3294495412236107
18,0.05,1.0,1.0,15,1.2175174824888269,1693,1.2890452089786963
19,0.05,1.0,1.0,20,0.9799694673337884,2031,1.1038019557563163
20,0.05,1.0,1.5,5,0.78221088192947,3257,1.1290956231909144
21,0.05,1.0,1.5,10,,3689,
22,0.05,1.0,1.5,15,,3745,
23,0.05,1.0,1.5,20,,3652,
24,0.1,0.1,0.1,5,1.0084869119769961,263,1.0106279800841147
25,0.1,0.1,0.1,10,1.3418839726560094,375,1.3451548827443902
26,0.1,0.1,0.1,15,3.0080638536418762,409,3.0098054402588574
27,0.1,0.1,0.1,20,1.1150142351923578,436,1.1203317344905475
28,0.1,0.1,1.0,5,1.4689633140724128,2809,1.6282025039028794
29,0.1,0.1,1.0,10,0.6572836029871177,3031,1.0031930274781253
30,0.1,0.1,1.0,15,0.7094154363294296,3253,1.0793194577730334
31,0.1,0.1,1.0,20,,3649,
32,0.1,0.1,1.5,5,,3938,
33,0.1,0.1,1.5,10,,3962,
34,0.1,0.1,1.5,15,,3940,
35,0.1,0.1,1.5,20,,3929,
36,0.1,1.0,0.1,5,1.1780798828748291,32,1.1781070454056248
37,0.1,1.0,0.1,10,1.1316159153041068,35,1.1316515057183247
38,0.1,1.0,0.1,15,1.134801893984847,41,1.1348481841601528
39,0.1,1.0,0.1,20,1.0075128707695897,46,1.0075790724634865
40,0.1,1.0,1.0,5,1.333095119483779,772,1.3470222112465224
41,0.1,1.0,1.0,10,0.8500855674420653,805,0.8736116772332534
42,0.1,1.0,1.0,15,1.0373104857716997,1131,1.0751626595622261
43,0.1,1.0,1.0,20,1.174919768218761,1622,1.242934828289974
44,0.1,1.0,1.5,5,,3537,
45,0.1,1.0,1.5,10,,3697,
46,0.1,1.0,1.5,15,,3787,
47,0.1,1.0,1.5,20,,3808,
