,eta,epsilon,sigma,testing_mse,CB_size,tradeOff_dist
0,0.05,0.1,0.1,0.9750436830910871,3699,1.3438620553969935
1,0.05,0.1,2.0,0.18755612238089397,3699,0.943627224619212
2,0.05,0.1,4.0,0.08158208709841097,3699,0.9283914459619567
3,0.05,1.0,0.1,0.9776911524210222,792,0.9975786833740717
4,0.05,1.0,2.0,0.19057788402087544,792,0.2749603060041108
5,0.05,1.0,4.0,0.08332221266876066,792,0.21500193283786587
6,0.05,2.0,0.1,0.9870428753738894,322,0.9903221261041052
7,0.05,2.0,2.0,0.19678125210545222,322,0.2126196999461469
8,0.05,2.0,4.0,0.08679592536482483,322,0.11839682548504518
9,0.1,0.1,0.1,0.9614896141523502,3699,1.3340604626938148
10,0.1,0.1,2.0,0.10746983584214242,3699,0.9310235258122842
11,0.1,0.1,4.0,0.053297113034679836,3699,0.9263345088345956
12,0.1,1.0,0.1,0.9745564932560935,792,0.9945067111626821
13,0.1,1.0,2.0,0.11008128694779054,792,0.22671817248752205
14,0.1,1.0,4.0,0.05516458974489441,792,0.20573374045528484
15,0.1,2.0,0.1,1.0136635334950743,322,1.0168569391820659
16,0.1,2.0,2.0,0.11725269972017953,322,0.14224089150687502
17,0.1,2.0,4.0,0.05904454355835102,322,0.09985256005237929
18,0.3,0.1,0.1,0.9152009189658609,3699,1.3010948320841014
19,0.3,0.1,2.0,0.04608606474543221,3699,0.9259476040056047
20,0.3,0.1,4.0,0.06459129763876466,3699,0.9270528980218224
21,0.3,1.0,0.1,1.0292292881597211,792,1.04813938367269
22,0.3,1.0,2.0,0.04938659759287237,792,0.20426031435841938
23,0.3,1.0,4.0,0.06828124703946223,792,0.20963198395584598
24,0.3,2.0,0.1,1.3396772063319362,322,1.3420951131683407
25,0.3,2.0,2.0,0.05796226070539919,322,0.09921642651839796
26,0.3,2.0,4.0,0.06932331112620287,322,0.10625439798192036
