,eta,epsilon,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.05,0.1,0.1,5,0.08292188640608295,41,0.5290390243121421
1,0.05,0.1,0.1,10,0.033683985310874416,45,0.5734900704165882
2,0.05,0.1,0.1,15,0.17969880231714902,46,0.6048122928266404
3,0.05,0.1,0.1,20,0.058342240703634994,54,0.6775166544449819
4,0.05,0.1,1.0,5,0.12900096780277617,62,0.7955289119158729
5,0.05,0.1,1.0,10,0.08836621215037974,58,0.7328470764421497
6,0.05,0.1,1.0,15,0.16360061717470542,62,0.7994194217930563
7,0.05,0.1,1.0,20,0.19470207501990144,65,0.8355029311839997
8,0.05,0.1,1.5,5,0.1844300384861135,73,0.9309514966398568
9,0.05,0.1,1.5,10,0.17113017422440155,67,0.8646049887261082
10,0.05,0.1,1.5,15,0.13613339264201282,62,0.796716574819568
11,0.05,0.1,1.5,20,0.18674338657605122,65,0.8336841982608838
12,0.05,1.0,0.1,5,0.11132676474665874,19,0.26456312771994117
13,0.05,1.0,0.1,10,0.12785426583896703,22,0.30780954061435656
14,0.05,1.0,0.1,15,0.1495751903236091,26,0.36231579811035547
15,0.05,1.0,0.1,20,0.12929506149574707,29,0.3943012337378479
16,0.05,1.0,1.0,5,0.13138348866297844,27,0.3645018807815057
17,0.05,1.0,1.0,10,0.1754629432167314,32,0.4390825599386497
18,0.05,1.0,1.0,15,0.1769975967327919,35,0.4765861928855934
19,0.05,1.0,1.0,20,0.18930081235722013,35,0.4835905267466511
20,0.05,1.0,1.5,5,0.1839650592285188,33,0.45394729101180065
21,0.05,1.0,1.5,10,0.18605341471307818,39,0.5264713887063538
22,0.05,1.0,1.5,15,0.2108246953143697,41,0.5541690194826816
23,0.05,1.0,1.5,20,0.21555893610286825,43,0.5791130329510815
24,0.1,0.1,0.1,5,0.18552180518926448,43,0.5780783599138472
25,0.1,0.1,0.1,10,0.062372235269282005,48,0.6032332017822681
26,0.1,0.1,0.1,15,0.09437467893775944,54,0.6865177201096889
27,0.1,0.1,0.1,20,0.16195936247845982,61,0.786848673567179
28,0.1,0.1,1.0,5,0.14994780137956168,64,0.8213042025574716
29,0.1,0.1,1.0,10,0.13407515818909319,65,0.8259546888561324
30,0.1,0.1,1.0,15,0.14490313312313607,61,0.7761463573250222
31,0.1,0.1,1.0,20,0.11293325511150247,62,0.7831851122883272
32,0.1,0.1,1.5,5,0.24150787401764254,75,0.9753722639138973
33,0.1,0.1,1.5,10,0.2595186724435508,73,0.9559026840358086
34,0.1,0.1,1.5,15,0.1706530943691164,66,0.8498109958206909
35,0.1,0.1,1.5,20,0.20141801765519265,69,0.890575919187212
36,0.1,1.0,0.1,5,0.06247725541268,19,0.24799880532756857
37,0.1,1.0,0.1,10,0.07449495817953367,22,0.28974039896805975
38,0.1,1.0,0.1,15,0.10714771222452055,26,0.3493377767075137
39,0.1,1.0,0.1,20,0.09000601606215711,29,0.3832196927708456
40,0.1,1.0,1.0,5,0.14097235846909306,28,0.3819662365345116
41,0.1,1.0,1.0,10,0.15692745324760504,32,0.4343399884684569
42,0.1,1.0,1.0,15,0.16121979511668996,34,0.45922959653910317
43,0.1,1.0,1.0,20,0.16106885991935438,35,0.4709027793884005
44,0.1,1.0,1.5,5,0.1555869891822137,33,0.44320684922819764
45,0.1,1.0,1.5,10,0.16869560888732174,39,0.5205904901723275
46,0.1,1.0,1.5,15,0.1953438371205814,40,0.5461311332463955
47,0.1,1.0,1.5,20,0.19392005760014913,43,0.5714116193600242
