,eta,epsilon,sigma,r2,mse,CB_size,tradeOff_dist
0,0.1,4,20,0.042197091,5.06450706,3,5.886359806
36,0.24,4,20,-0.018768463,5.386870329,3,6.165903984
1,0.1,4,56,-0.043199208,5.516051062,3,6.279077903
2,0.1,4,92,-0.058918722,5.59917003,3,6.35222048
3,0.1,4,128,-0.063805985,5.625012067,3,6.375010647
4,0.1,4,164,-0.065905841,5.63611533,3,6.384809787
5,0.1,4,200,-0.066991652,5.641856695,3,6.389878478
11,0.1,7.2,200,-0.069354535,5.654350744,1,5.742097381
17,0.1,10.4,200,-0.069354535,5.654350744,1,5.742097381
23,0.1,13.6,200,-0.069354535,5.654350744,1,5.742097381
29,0.1,16.8,200,-0.069354535,5.654350744,1,5.742097381
35,0.1,20,200,-0.069354535,5.654350744,1,5.742097381
10,0.1,7.2,164,-0.06940566,5.654621074,1,5.74236358
16,0.1,10.4,164,-0.06940566,5.654621074,1,5.74236358
22,0.1,13.6,164,-0.06940566,5.654621074,1,5.74236358
28,0.1,16.8,164,-0.06940566,5.654621074,1,5.74236358
34,0.1,20,164,-0.06940566,5.654621074,1,5.74236358
9,0.1,7.2,128,-0.069505803,5.655150593,1,5.742885009
15,0.1,10.4,128,-0.069505803,5.655150593,1,5.742885009
21,0.1,13.6,128,-0.069505803,5.655150593,1,5.742885009
27,0.1,16.8,128,-0.069505803,5.655150593,1,5.742885009
33,0.1,20,128,-0.069505803,5.655150593,1,5.742885009
8,0.1,7.2,92,-0.069745642,5.656418772,1,5.744133819
14,0.1,10.4,92,-0.069745642,5.656418772,1,5.744133819
20,0.1,13.6,92,-0.069745642,5.656418772,1,5.744133819
26,0.1,16.8,92,-0.069745642,5.656418772,1,5.744133819
32,0.1,20,92,-0.069745642,5.656418772,1,5.744133819
7,0.1,7.2,56,-0.070589503,5.660880798,1,5.74852776
13,0.1,10.4,56,-0.070589503,5.660880798,1,5.74852776
19,0.1,13.6,56,-0.070589503,5.660880798,1,5.74852776
25,0.1,16.8,56,-0.070589503,5.660880798,1,5.74852776
31,0.1,20,56,-0.070589503,5.660880798,1,5.74852776
6,0.1,7.2,20,-0.07984703,5.709831175,1,5.796738052
12,0.1,10.4,20,-0.07984703,5.709831175,1,5.796738052
18,0.1,13.6,20,-0.07984703,5.709831175,1,5.796738052
24,0.1,16.8,20,-0.07984703,5.709831175,1,5.796738052
30,0.1,20,20,-0.07984703,5.709831175,1,5.796738052
72,0.38,4,20,-0.118295039,5.913130004,3,6.630618858
37,0.24,4,56,-0.125410617,5.950754548,3,6.664193851
38,0.24,4,92,-0.161210658,6.140051907,3,6.833757196
39,0.24,4,128,-0.173800972,6.206624821,3,6.893634141
40,0.24,4,164,-0.179444043,6.236463292,3,6.920511137
41,0.24,4,200,-0.182419022,6.252193877,3,6.934690208
47,0.24,7.2,200,-0.188853692,6.286218031,1,6.365260178
53,0.24,10.4,200,-0.188853692,6.286218031,1,6.365260178
59,0.24,13.6,200,-0.188853692,6.286218031,1,6.365260178
65,0.24,16.8,200,-0.188853692,6.286218031,1,6.365260178
71,0.24,20,200,-0.188853692,6.286218031,1,6.365260178
46,0.24,7.2,164,-0.188912493,6.286528951,1,6.365567237
52,0.24,10.4,164,-0.188912493,6.286528951,1,6.365567237
58,0.24,13.6,164,-0.188912493,6.286528951,1,6.365567237
64,0.24,16.8,164,-0.188912493,6.286528951,1,6.365567237
70,0.24,20,164,-0.188912493,6.286528951,1,6.365567237
45,0.24,7.2,128,-0.189027674,6.287137985,1,6.36616871
51,0.24,10.4,128,-0.189027674,6.287137985,1,6.36616871
57,0.24,13.6,128,-0.189027674,6.287137985,1,6.36616871
63,0.24,16.8,128,-0.189027674,6.287137985,1,6.36616871
69,0.24,20,128,-0.189027674,6.287137985,1,6.36616871
44,0.24,7.2,92,-0.189303537,6.288596646,1,6.367609267
50,0.24,10.4,92,-0.189303537,6.288596646,1,6.367609267
56,0.24,13.6,92,-0.189303537,6.288596646,1,6.367609267
62,0.24,16.8,92,-0.189303537,6.288596646,1,6.367609267
68,0.24,20,92,-0.189303537,6.288596646,1,6.367609267
43,0.24,7.2,56,-0.190274242,6.293729374,1,6.372678356
49,0.24,10.4,56,-0.190274242,6.293729374,1,6.372678356
55,0.24,13.6,56,-0.190274242,6.293729374,1,6.372678356
61,0.24,16.8,56,-0.190274242,6.293729374,1,6.372678356
67,0.24,20,56,-0.190274242,6.293729374,1,6.372678356
73,0.38,4,56,-0.196689241,6.327649511,3,7.002795751
42,0.24,7.2,20,-0.200931088,6.350078826,1,6.428335795
48,0.24,10.4,20,-0.200931088,6.350078826,1,6.428335795
54,0.24,13.6,20,-0.200931088,6.350078826,1,6.428335795
60,0.24,16.8,20,-0.200931088,6.350078826,1,6.428335795
66,0.24,20,20,-0.200931088,6.350078826,1,6.428335795
74,0.38,4,92,-0.237334874,6.542568569,3,7.197583169
108,0.52,4,20,-0.245457533,6.585518179,3,7.236646301
75,0.38,4,128,-0.254825891,6.635054587,3,7.281754553
76,0.38,4,164,-0.263332746,6.680035684,3,7.322764283
109,0.52,4,56,-0.264288758,6.685090724,3,7.327375928
77,0.38,4,200,-0.267996906,6.704698033,3,7.345268934
83,0.38,7.2,200,-0.278471476,6.760083682,1,6.833647005
89,0.38,10.4,200,-0.278471476,6.760083682,1,6.833647005
95,0.38,13.6,200,-0.278471476,6.760083682,1,6.833647005
101,0.38,16.8,200,-0.278471476,6.760083682,1,6.833647005
107,0.38,20,200,-0.278471476,6.760083682,1,6.833647005
82,0.38,7.2,164,-0.278541433,6.760453589,1,6.83401293
88,0.38,10.4,164,-0.278541433,6.760453589,1,6.83401293
94,0.38,13.6,164,-0.278541433,6.760453589,1,6.83401293
100,0.38,16.8,164,-0.278541433,6.760453589,1,6.83401293
106,0.38,20,164,-0.278541433,6.760453589,1,6.83401293
81,0.38,7.2,128,-0.278678475,6.761178217,1,6.834729759
87,0.38,10.4,128,-0.278678475,6.761178217,1,6.834729759
93,0.38,13.6,128,-0.278678475,6.761178217,1,6.834729759
99,0.38,16.8,128,-0.278678475,6.761178217,1,6.834729759
105,0.38,20,128,-0.278678475,6.761178217,1,6.834729759
80,0.38,7.2,92,-0.279006747,6.762913996,1,6.836446863
86,0.38,10.4,92,-0.279006747,6.762913996,1,6.836446863
92,0.38,13.6,92,-0.279006747,6.762913996,1,6.836446863
98,0.38,16.8,92,-0.279006747,6.762913996,1,6.836446863
104,0.38,20,92,-0.279006747,6.762913996,1,6.836446863
79,0.38,7.2,56,-0.280162421,6.769024775,1,6.842491973
85,0.38,10.4,56,-0.280162421,6.769024775,1,6.842491973
91,0.38,13.6,56,-0.280162421,6.769024775,1,6.842491973
97,0.38,16.8,56,-0.280162421,6.769024775,1,6.842491973
103,0.38,20,56,-0.280162421,6.769024775,1,6.842491973
110,0.52,4,92,-0.285919393,6.799465508,3,7.431872657
78,0.38,7.2,20,-0.292901904,6.836386441,1,6.909137397
84,0.38,10.4,20,-0.292901904,6.836386441,1,6.909137397
90,0.38,13.6,20,-0.292901904,6.836386441,1,6.909137397
96,0.38,16.8,20,-0.292901904,6.836386441,1,6.909137397
102,0.38,20,20,-0.292901904,6.836386441,1,6.909137397
111,0.52,4,128,-0.302370925,6.886455116,3,7.511542056
112,0.52,4,164,-0.311977968,6.937253601,3,7.55814048
146,0.66,4,92,-0.313145617,6.943427697,3,7.563807784
113,0.52,4,200,-0.317681005,6.967409152,3,7.585828253
147,0.66,4,128,-0.323864285,7.000104043,3,7.615868736
182,0.8,4,92,-0.328233355,7.023206067,3,7.637108318
119,0.52,7.2,200,-0.331542395,7.040703046,1,7.111364102
125,0.52,10.4,200,-0.331542395,7.040703046,1,7.111364102
131,0.52,13.6,200,-0.331542395,7.040703046,1,7.111364102
137,0.52,16.8,200,-0.331542395,7.040703046,1,7.111364102
143,0.52,20,200,-0.331542395,7.040703046,1,7.111364102
118,0.52,7.2,164,-0.331620078,7.041113805,1,7.111770779
124,0.52,10.4,164,-0.331620078,7.041113805,1,7.111770779
130,0.52,13.6,164,-0.331620078,7.041113805,1,7.111770779
136,0.52,16.8,164,-0.331620078,7.041113805,1,7.111770779
142,0.52,20,164,-0.331620078,7.041113805,1,7.111770779
117,0.52,7.2,128,-0.331772283,7.041918608,1,7.112567587
123,0.52,10.4,128,-0.331772283,7.041918608,1,7.112567587
129,0.52,13.6,128,-0.331772283,7.041918608,1,7.112567587
135,0.52,16.8,128,-0.331772283,7.041918608,1,7.112567587
141,0.52,20,128,-0.331772283,7.041918608,1,7.112567587
116,0.52,7.2,92,-0.332137026,7.043847235,1,7.114477062
122,0.52,10.4,92,-0.332137026,7.043847235,1,7.114477062
128,0.52,13.6,92,-0.332137026,7.043847235,1,7.114477062
134,0.52,16.8,92,-0.332137026,7.043847235,1,7.114477062
140,0.52,20,92,-0.332137026,7.043847235,1,7.114477062
145,0.66,4,56,-0.332960008,7.048198862,3,7.66009838
115,0.52,7.2,56,-0.333422776,7.050645807,1,7.121208205
121,0.52,10.4,56,-0.333422776,7.050645807,1,7.121208205
127,0.52,13.6,56,-0.333422776,7.050645807,1,7.121208205
133,0.52,16.8,56,-0.333422776,7.050645807,1,7.121208205
139,0.52,20,56,-0.333422776,7.050645807,1,7.121208205
183,0.8,4,128,-0.333430113,7.0506846,3,7.662385616
148,0.66,4,164,-0.33345685,7.050825975,3,7.662515705
149,0.66,4,200,-0.339901835,7.084904668,3,7.693885504
