,eta,epsilon,sigma_init,mu,K,r2,mse,CB_size,tradeOff_dist
0,0.1,0.001,0.01,0.0001,2,0.8861683106426689,0.6013095337228511,335,335.0005396609912
1,0.1,0.001,0.01,0.0001,6,0.8861683106426689,0.6013095337228511,335,335.0005396609912
2,0.1,0.001,0.01,0.0001,11,0.8861683106426689,0.6013095337228511,335,335.0005396609912
3,0.1,0.001,0.01,0.0001,15,0.8861683106426689,0.6013095337228511,335,335.0005396609912
4,0.1,0.001,0.01,0.0001,20,0.8861683106426689,0.6013095337228511,335,335.0005396609912
5,0.1,0.001,0.01,0.250075,2,0.8861683106426689,0.6013095337228511,335,335.0005396609912
6,0.1,0.001,0.01,0.250075,6,0.8861683106426689,0.6013095337228511,335,335.0005396609912
7,0.1,0.001,0.01,0.250075,11,0.8861683106426689,0.6013095337228511,335,335.0005396609912
8,0.1,0.001,0.01,0.250075,15,0.8861683106426689,0.6013095337228511,335,335.0005396609912
9,0.1,0.001,0.01,0.250075,20,0.8861683106426689,0.6013095337228511,335,335.0005396609912
10,0.1,0.001,0.01,0.50005,2,0.8861683106426689,0.6013095337228511,335,335.0005396609912
11,0.1,0.001,0.01,0.50005,6,0.8861683106426689,0.6013095337228511,335,335.0005396609912
12,0.1,0.001,0.01,0.50005,11,0.8861683106426689,0.6013095337228511,335,335.0005396609912
13,0.1,0.001,0.01,0.50005,15,0.8861683106426689,0.6013095337228511,335,335.0005396609912
14,0.1,0.001,0.01,0.50005,20,0.8861683106426689,0.6013095337228511,335,335.0005396609912
15,0.1,0.001,0.01,0.7500249999999999,2,0.8861683106426689,0.6013095337228511,335,335.0005396609912
16,0.1,0.001,0.01,0.7500249999999999,6,0.8861683106426689,0.6013095337228511,335,335.0005396609912
17,0.1,0.001,0.01,0.7500249999999999,11,0.8861683106426689,0.6013095337228511,335,335.0005396609912
18,0.1,0.001,0.01,0.7500249999999999,15,0.8861683106426689,0.6013095337228511,335,335.0005396609912
19,0.1,0.001,0.01,0.7500249999999999,20,0.8861683106426689,0.6013095337228511,335,335.0005396609912
20,0.1,0.001,0.01,1.0,2,0.8861683106426689,0.6013095337228511,335,335.0005396609912
21,0.1,0.001,0.01,1.0,6,0.8861683106426689,0.6013095337228511,335,335.0005396609912
22,0.1,0.001,0.01,1.0,11,0.8861683106426689,0.6013095337228511,335,335.0005396609912
23,0.1,0.001,0.01,1.0,15,0.8861683106426689,0.6013095337228511,335,335.0005396609912
24,0.1,0.001,0.01,1.0,20,0.8861683106426689,0.6013095337228511,335,335.0005396609912
25,0.1,0.001,50.0075,0.0001,2,-0.01504738673047501,5.361931060387899,335,335.0429081546069
26,0.1,0.001,50.0075,0.0001,6,-0.015047386730467016,5.361931060387858,335,335.0429081546069
27,0.1,0.001,50.0075,0.0001,11,-0.015047386730457246,5.361931060387805,335,335.0429081546069
28,0.1,0.001,50.0075,0.0001,15,-0.015047386730452805,5.361931060387783,335,335.0429081546069
29,0.1,0.001,50.0075,0.0001,20,-0.015047386730348444,5.361931060387231,335,335.0429081546069
30,0.1,0.001,50.0075,0.250075,2,-0.015051302744514938,5.361951746513087,335,335.0429084856624
31,0.1,0.001,50.0075,0.250075,6,-0.01505130272776789,5.361951746424622,335,335.042908485661
32,0.1,0.001,50.0075,0.250075,11,-0.015051302702280056,5.361951746289985,335,335.0429084856588
33,0.1,0.001,50.0075,0.250075,15,-0.015051302688574575,5.361951746217586,335,335.0429084856576
34,0.1,0.001,50.0075,0.250075,20,-0.015051302433715108,5.3619517448713045,335,335.0429084856361
35,0.1,0.001,50.0075,0.50005,2,-0.015055217872216309,5.361972427956242,335,335.0429088166442
36,0.1,0.001,50.0075,0.50005,6,-0.015055217838736423,5.361972427779387,335,335.0429088166414
37,0.1,0.001,50.0075,0.50005,11,-0.015055217787782071,5.3619724275102225,335,335.04290881663707
38,0.1,0.001,50.0075,0.50005,15,-0.015055217760383766,5.361972427365492,335,335.04290881663474
39,0.1,0.001,50.0075,0.50005,20,-0.015055217250881991,5.361972424674078,335,335.0429088165917
40,0.1,0.001,50.0075,0.7500249999999999,2,-0.015059132113920848,5.361993104719168,335,335.0429091475524
41,0.1,0.001,50.0075,0.7500249999999999,6,-0.015059132063713454,5.361993104453949,335,335.04290914754813
42,0.1,0.001,50.0075,0.7500249999999999,11,-0.015059131987303243,5.361993104050317,335,335.0429091475417
43,0.1,0.001,50.0075,0.7500249999999999,15,-0.01505913194621833,5.361993103833288,335,335.04290914753824
44,0.1,0.001,50.0075,0.7500249999999999,20,-0.015059131182192598,5.361993099797365,335,335.04290914747367
45,0.1,0.001,50.0075,1.0,2,-0.015063045469964509,5.3620137768036376,335,335.042909478387
46,0.1,0.001,50.0075,1.0,6,-0.0150630454030376,5.362013776450101,335,335.0429094783814
47,0.1,0.001,50.0075,1.0,11,-0.01506304530118685,5.36201377591208,335,335.04290947837274
48,0.1,0.001,50.0075,1.0,15,-0.01506304524641977,5.362013775622775,335,335.04290947836813
49,0.1,0.001,50.0075,1.0,20,-0.015063044227988875,5.362013770242972,335,335.042909478282
50,0.1,0.001,100.00500000000001,0.0001,2,-0.053582851121999564,5.565492496187401,335,335.04622771600503
51,0.1,0.001,100.00500000000001,0.0001,6,-0.0535828511219989,5.565492496187398,335,335.04622771600503
