,eta,epsilon,mu,K,r2,mse,CB_size,tradeOff_dist
0,0.02,0.001,0.0001,2,-0.0006788750606117055,7026030.252321671,1961.0,7026030.525984094
1,0.02,0.001,0.0001,5,0.016759562863714716,6903590.38128699,1961.0,6903590.659803002
2,0.02,0.001,0.0001,9,0.6099872717610025,2738382.2080102656,1864.0,2738382.842416885
3,0.02,0.001,0.0001,12,0.4402479070850417,3930167.046229145,1764.0,3930167.442102375
4,0.02,0.001,0.0001,16,0.40122566295830797,4204152.512077323,1749.0,4204152.8758844
5,0.02,0.001,0.0001,20,0.3097627773580156,4846337.549863163,1766.0,4846337.871627368
6,0.02,0.001,0.20007999999999998,2,0.0319967443540462,6796606.112128016,1950.0,6796606.391863214
7,0.02,0.001,0.20007999999999998,5,,,,
8,0.02,0.001,0.20007999999999998,9,,,,
9,0.02,0.001,0.20007999999999998,12,,,,
10,0.02,0.001,0.20007999999999998,16,,,,
11,0.02,0.001,0.20007999999999998,20,,,,
12,0.02,0.001,0.40005999999999997,2,0.007948702995447587,6965453.751771015,1953.0,6965454.025565736
13,0.02,0.001,0.40005999999999997,5,,,,
14,0.02,0.001,0.40005999999999997,9,,,,
15,0.02,0.001,0.40005999999999997,12,,,,
16,0.02,0.001,0.40005999999999997,16,,,,
17,0.02,0.001,0.40005999999999997,20,,,,
18,0.02,0.001,0.6000399999999999,2,,,,
19,0.02,0.001,0.6000399999999999,5,,,,
20,0.02,0.001,0.6000399999999999,9,,,,
21,0.02,0.001,0.6000399999999999,12,,,,
22,0.02,0.001,0.6000399999999999,16,,,,
23,0.02,0.001,0.6000399999999999,20,,,,
24,0.02,0.001,0.80002,2,,,,
25,0.02,0.001,0.80002,5,,,,
26,0.02,0.001,0.80002,9,,,,
27,0.02,0.001,0.80002,12,,,,
28,0.02,0.001,0.80002,16,,,,
29,0.02,0.001,0.80002,20,,,,
30,0.02,0.001,1.0,2,,,,
31,0.02,0.001,1.0,5,,,,
32,0.02,0.001,1.0,9,,,,
33,0.02,0.001,1.0,12,,,,
34,0.02,0.001,1.0,16,,,,
35,0.02,0.001,1.0,20,,,,
36,0.02,20.0008,0.0001,2,,,,
37,0.02,20.0008,0.0001,5,,,,
38,0.02,20.0008,0.0001,9,,,,
39,0.02,20.0008,0.0001,12,,,,
40,0.02,20.0008,0.0001,16,,,,
41,0.02,20.0008,0.0001,20,,,,
42,0.02,20.0008,0.20007999999999998,2,,,,
43,0.02,20.0008,0.20007999999999998,5,0.004297916836058402,6991086.8840773925,11.0,6991086.884086046
44,0.02,20.0008,0.20007999999999998,9,,,,
45,0.02,20.0008,0.20007999999999998,12,,,,
46,0.02,20.0008,0.20007999999999998,16,,,,
47,0.02,20.0008,0.20007999999999998,20,,,,
48,0.02,20.0008,0.40005999999999997,2,,,,
49,0.02,20.0008,0.40005999999999997,5,,,,
50,0.02,20.0008,0.40005999999999997,9,,,,
51,0.02,20.0008,0.40005999999999997,12,,,,
52,0.02,20.0008,0.40005999999999997,16,,,,
53,0.02,20.0008,0.40005999999999997,20,,,,
