,eta,epsilon,mu,K,r2,mse,CB_size,tradeOff_dist
0,0.02,0.001,0.0001,2,-0.39348680862593555,78.36724829995717,1952.0,1953.572477694674
1,0.02,0.001,0.0001,5,-0.43582767290745505,80.7484240698638,1930.0,1931.6884603863446
2,0.02,0.001,0.0001,9,-0.4239296637275818,80.07930095086299,1898.0,1899.6885782782342
3,0.02,0.001,0.0001,12,-0.39199771901655245,78.28350451821696,1878.0,1879.6308965006012
4,0.02,0.001,0.0001,16,-0.31039241064678413,73.6941654415778,1860.0,1861.4593280596089
5,0.02,0.001,0.0001,20,-0.18841513440440383,66.83437786765388,1889.0,1890.181957924939
6,0.02,0.001,0.20007999999999998,2,-1.0496690280276888,115.2697827190527,1549.0,1553.2830143950257
7,0.02,0.001,0.20007999999999998,5,-3.6063239862132974,259.05156284441574,1910.0,1927.487409093023
8,0.02,0.001,0.20007999999999998,9,,,,
9,0.02,0.001,0.20007999999999998,12,,,,
10,0.02,0.001,0.20007999999999998,16,,,,
11,0.02,0.001,0.20007999999999998,20,,,,
12,0.02,0.001,0.40005999999999997,2,-1.424099920993477,136.32711787184022,1824.0,1829.087500112349
13,0.02,0.001,0.40005999999999997,5,,,,
14,0.02,0.001,0.40005999999999997,9,,,,
15,0.02,0.001,0.40005999999999997,12,,,,
16,0.02,0.001,0.40005999999999997,16,,,,
17,0.02,0.001,0.40005999999999997,20,,,,
18,0.02,0.001,0.6000399999999999,2,-4.247951767488352,295.13558125067146,1961.0,1983.0849732979602
19,0.02,0.001,0.6000399999999999,5,,,,
20,0.02,0.001,0.6000399999999999,9,,,,
21,0.02,0.001,0.6000399999999999,12,,,,
22,0.02,0.001,0.6000399999999999,16,,,,
23,0.02,0.001,0.6000399999999999,20,,,,
24,0.02,0.001,0.80002,2,-4.907684565728073,332.2377939815251,1961.0,1988.945185707668
25,0.02,0.001,0.80002,5,,,,
26,0.02,0.001,0.80002,9,,,,
27,0.02,0.001,0.80002,12,,,,
28,0.02,0.001,0.80002,16,,,,
29,0.02,0.001,0.80002,20,,,,
30,0.02,0.001,1.0,2,-9.294019301974622,578.9175481595457,1961.0,2044.6678281733343
31,0.02,0.001,1.0,5,,,,
32,0.02,0.001,1.0,9,,,,
33,0.02,0.001,1.0,12,,,,
34,0.02,0.001,1.0,16,,,,
35,0.02,0.001,1.0,20,,,,
36,0.02,20.0008,0.0001,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
37,0.02,20.0008,0.0001,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
38,0.02,20.0008,0.0001,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
39,0.02,20.0008,0.0001,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
40,0.02,20.0008,0.0001,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
41,0.02,20.0008,0.0001,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
42,0.02,20.0008,0.20007999999999998,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
43,0.02,20.0008,0.20007999999999998,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
44,0.02,20.0008,0.20007999999999998,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
45,0.02,20.0008,0.20007999999999998,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
46,0.02,20.0008,0.20007999999999998,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
47,0.02,20.0008,0.20007999999999998,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
48,0.02,20.0008,0.40005999999999997,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
49,0.02,20.0008,0.40005999999999997,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
50,0.02,20.0008,0.40005999999999997,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
51,0.02,20.0008,0.40005999999999997,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
52,0.02,20.0008,0.40005999999999997,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
53,0.02,20.0008,0.40005999999999997,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
54,0.02,20.0008,0.6000399999999999,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
55,0.02,20.0008,0.6000399999999999,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
56,0.02,20.0008,0.6000399999999999,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
57,0.02,20.0008,0.6000399999999999,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
58,0.02,20.0008,0.6000399999999999,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
59,0.02,20.0008,0.6000399999999999,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
60,0.02,20.0008,0.80002,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
61,0.02,20.0008,0.80002,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
62,0.02,20.0008,0.80002,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
63,0.02,20.0008,0.80002,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
64,0.02,20.0008,0.80002,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
65,0.02,20.0008,0.80002,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
66,0.02,20.0008,1.0,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
67,0.02,20.0008,1.0,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
68,0.02,20.0008,1.0,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
69,0.02,20.0008,1.0,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
70,0.02,20.0008,1.0,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
71,0.02,20.0008,1.0,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
72,0.02,40.0006,0.0001,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
73,0.02,40.0006,0.0001,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
74,0.02,40.0006,0.0001,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
75,0.02,40.0006,0.0001,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
76,0.02,40.0006,0.0001,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
77,0.02,40.0006,0.0001,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
78,0.02,40.0006,0.20007999999999998,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
79,0.02,40.0006,0.20007999999999998,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
80,0.02,40.0006,0.20007999999999998,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
81,0.02,40.0006,0.20007999999999998,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
82,0.02,40.0006,0.20007999999999998,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
83,0.02,40.0006,0.20007999999999998,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
84,0.02,40.0006,0.40005999999999997,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
85,0.02,40.0006,0.40005999999999997,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
86,0.02,40.0006,0.40005999999999997,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
87,0.02,40.0006,0.40005999999999997,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
88,0.02,40.0006,0.40005999999999997,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
89,0.02,40.0006,0.40005999999999997,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
90,0.02,40.0006,0.6000399999999999,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
91,0.02,40.0006,0.6000399999999999,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
92,0.02,40.0006,0.6000399999999999,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
93,0.02,40.0006,0.6000399999999999,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
94,0.02,40.0006,0.6000399999999999,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
95,0.02,40.0006,0.6000399999999999,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
96,0.02,40.0006,0.80002,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
97,0.02,40.0006,0.80002,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
98,0.02,40.0006,0.80002,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
99,0.02,40.0006,0.80002,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
100,0.02,40.0006,0.80002,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
101,0.02,40.0006,0.80002,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
102,0.02,40.0006,1.0,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
103,0.02,40.0006,1.0,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
104,0.02,40.0006,1.0,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
105,0.02,40.0006,1.0,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
106,0.02,40.0006,1.0,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
107,0.02,40.0006,1.0,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
108,0.02,60.0004,0.0001,2,-2.251985940257681,182.8859721316203,1.0,182.888706055152
109,0.02,60.0004,0.0001,5,-2.251985940257681,182.8859721316203,1.0,182.888706055152
110,0.02,60.0004,0.0001,9,-2.251985940257681,182.8859721316203,1.0,182.888706055152
111,0.02,60.0004,0.0001,12,-2.251985940257681,182.8859721316203,1.0,182.888706055152
112,0.02,60.0004,0.0001,16,-2.251985940257681,182.8859721316203,1.0,182.888706055152
113,0.02,60.0004,0.0001,20,-2.251985940257681,182.8859721316203,1.0,182.888706055152
