,eta,epsilon,sigma,r2,mse,CB_size,tradeOff_dist
185,0.9,0.01,500,0.489864115,3581798.57,1961,3581799.107
191,0.9,4.008,500,0.489864102,3581798.66,1578,3581799.008
197,0.9,8.006,500,0.489864062,3581798.936,1414,3581799.215
203,0.9,12.004,500,0.489863988,3581799.461,1307,3581799.699
209,0.9,16.002,500,0.489863893,3581800.124,1236,3581800.337
215,0.9,20,500,0.489863795,3581800.817,1186,3581801.013
149,0.74,0.01,500,0.444067579,3903348.122,1961,3903348.614
155,0.74,4.008,500,0.444067562,3903348.243,1578,3903348.562
161,0.74,8.006,500,0.444067509,3903348.611,1414,3903348.868
167,0.74,12.004,500,0.44406741,3903349.311,1307,3903349.53
173,0.74,16.002,500,0.444067285,3903350.19,1236,3903350.385
179,0.74,20,500,0.444067155,3903351.1,1186,3903351.281
184,0.9,0.01,420,0.391717432,4270912.309,1961,4270912.759
190,0.9,4.008,420,0.391717419,4270912.399,1578,4270912.691
196,0.9,8.006,420,0.39171738,4270912.676,1414,4270912.91
202,0.9,12.004,420,0.391717305,4270913.2,1307,4270913.4
208,0.9,16.002,420,0.391717222,4270913.781,1236,4270913.96
214,0.9,20,420,0.39171714,4270914.357,1186,4270914.522
113,0.58,0.01,500,0.389083179,4289408.096,1961,4289408.545
119,0.58,4.008,500,0.389083154,4289408.267,1578,4289408.557
125,0.58,8.006,500,0.389083081,4289408.783,1414,4289409.016
131,0.58,12.004,500,0.389082942,4289409.759,1307,4289409.958
137,0.58,16.002,500,0.389082769,4289410.97,1236,4289411.148
143,0.58,20,500,0.389082592,4289412.214,1186,4289412.378
148,0.74,0.01,420,0.35208825,4549159.244,1961,4549159.667
154,0.74,4.008,420,0.352088233,4549159.366,1578,4549159.64
160,0.74,8.006,420,0.35208818,4549159.736,1414,4549159.956
166,0.74,12.004,420,0.352088081,4549160.431,1307,4549160.619
172,0.74,16.002,420,0.352087972,4549161.195,1236,4549161.362
178,0.74,20,420,0.352087865,4549161.951,1186,4549162.106
77,0.42,0.01,500,0.32123677,4765775.622,1961,4765776.025
83,0.42,4.008,500,0.321236733,4765775.878,1578,4765776.14
89,0.42,8.006,500,0.321236624,4765776.648,1414,4765776.858
95,0.42,12.004,500,0.321236418,4765778.091,1307,4765778.27
101,0.42,16.002,500,0.321236169,4765779.842,1236,4765780.002
107,0.42,20,500,0.321235916,4765781.621,1186,4765781.768
112,0.58,0.01,420,0.305566952,4875797.544,1961,4875797.938
118,0.58,4.008,420,0.305566928,4875797.715,1578,4875797.97
124,0.58,8.006,420,0.305566854,4875798.233,1414,4875798.438
130,0.58,12.004,420,0.305566717,4875799.197,1307,4875799.373
136,0.58,16.002,420,0.305566569,4875800.237,1236,4875800.394
142,0.58,20,420,0.305566422,4875801.27,1186,4875801.414
183,0.9,0.01,340,0.278063678,5068905.285,1961,5068905.664
189,0.9,4.008,340,0.278063665,5068905.375,1578,5068905.62
195,0.9,8.006,340,0.278063626,5068905.653,1414,5068905.85
201,0.9,12.004,340,0.278063556,5068906.143,1307,5068906.312
207,0.9,16.002,340,0.278063494,5068906.576,1236,5068906.726
213,0.9,20,340,0.278063421,5068907.087,1186,5068907.225
76,0.42,0.01,420,0.249528326,5269259.514,1961,5269259.879
82,0.42,4.008,420,0.24952829,5269259.771,1578,5269260.007
88,0.42,8.006,420,0.24952818,5269260.542,1414,5269260.731
94,0.42,12.004,420,0.249527979,5269261.953,1307,5269262.115
100,0.42,16.002,420,0.249527768,5269263.435,1236,5269263.58
106,0.42,20,420,0.249527558,5269264.907,1186,5269265.041
147,0.74,0.01,340,0.248316974,5277764.738,1961,5277765.102
153,0.74,4.008,340,0.248316957,5277764.859,1578,5277765.095
159,0.74,8.006,340,0.248316904,5277765.23,1414,5277765.419
165,0.74,12.004,340,0.248316812,5277765.877,1307,5277766.039
171,0.74,16.002,340,0.248316731,5277766.444,1236,5277766.588
177,0.74,20,340,0.248316635,5277767.118,1186,5277767.251
41,0.26,0.01,500,0.233937878,5378724.163,1961,5378724.521
47,0.26,4.008,500,0.233937818,5378724.585,1578,5378724.817
53,0.26,8.006,500,0.23393764,5378725.836,1414,5378726.021
59,0.26,12.004,500,0.233937314,5378728.123,1307,5378728.282
65,0.26,16.002,500,0.233936936,5378730.779,1236,5378730.921
71,0.26,20,500,0.233936558,5378733.427,1186,5378733.558
111,0.58,0.01,340,0.213962879,5518973.899,1961,5518974.248
117,0.58,4.008,340,0.213962855,5518974.07,1578,5518974.295
123,0.58,8.006,340,0.213962781,5518974.587,1414,5518974.768
129,0.58,12.004,340,0.213962654,5518975.474,1307,5518975.629
135,0.58,16.002,340,0.213962545,5518976.245,1236,5518976.383
141,0.58,20,340,0.213962413,5518977.17,1186,5518977.298
40,0.26,0.01,420,0.179286144,5762448.4,1961,5762448.734
46,0.26,4.008,420,0.179286084,5762448.822,1578,5762449.038
52,0.26,8.006,420,0.179285906,5762450.066,1414,5762450.24
58,0.26,12.004,420,0.179285595,5762452.256,1307,5762452.405
64,0.26,16.002,420,0.179285282,5762454.452,1236,5762454.585
70,0.26,20,420,0.179284969,5762456.648,1186,5762456.77
75,0.42,0.01,340,0.173278004,5804633.132,1961,5804633.463
81,0.42,4.008,340,0.173277968,5804633.387,1578,5804633.602
87,0.42,8.006,340,0.173277859,5804634.153,1414,5804634.325
93,0.42,12.004,340,0.173277677,5804635.428,1307,5804635.576
99,0.42,16.002,340,0.173277521,5804636.522,1236,5804636.654
105,0.42,20,340,0.173277331,5804637.858,1186,5804637.979
182,0.9,0.01,260,0.166020215,5855591.982,1961,5855592.311
188,0.9,4.008,260,0.166020202,5855592.073,1578,5855592.285
194,0.9,8.006,260,0.166020163,5855592.347,1414,5855592.518
200,0.9,12.004,260,0.166020109,5855592.726,1307,5855592.872
206,0.9,16.002,260,0.166020063,5855593.051,1236,5855593.181
212,0.9,20,260,0.166019994,5855593.538,1186,5855593.658
146,0.74,0.01,260,0.147789316,5983595.93,1961,5983596.251
152,0.74,4.008,260,0.147789299,5983596.051,1578,5983596.259
158,0.74,8.006,260,0.147789247,5983596.417,1414,5983596.584
164,0.74,12.004,260,0.147789177,5983596.912,1307,5983597.054
170,0.74,16.002,260,0.147789115,5983597.341,1236,5983597.469
176,0.74,20,260,0.147789025,5983597.977,1186,5983598.094
110,0.58,0.01,260,0.126859897,6130546.901,1961,6130547.215
116,0.58,4.008,260,0.126859873,6130547.072,1578,6130547.275
122,0.58,8.006,260,0.126859801,6130547.58,1414,6130547.743
128,0.58,12.004,260,0.126859705,6130548.25,1307,6130548.39
134,0.58,16.002,260,0.126859621,6130548.842,1236,6130548.966
140,0.58,20,260,0.126859499,6130549.701,1186,6130549.815
39,0.26,0.01,340,0.123188277,6156326.315,1961,6156326.627
45,0.26,4.008,340,0.123188217,6156326.733,1578,6156326.935
51,0.26,8.006,340,0.123188044,6156327.953,1414,6156328.115
57,0.26,12.004,340,0.123187771,6156329.871,1307,6156330.009
63,0.26,16.002,340,0.12318754,6156331.487,1236,6156331.611
69,0.26,20,340,0.123187251,6156333.518,1186,6156333.632
5,0.1,0.01,500,0.112508551,6231311.489,1961,6231311.798
11,0.1,4.008,500,0.112508438,6231312.281,1578,6231312.48
17,0.1,8.006,500,0.112508115,6231314.55,1414,6231314.71
23,0.1,12.004,500,0.11250757,6231318.375,1307,6231318.512
29,0.1,16.002,500,0.112507005,6231322.341,1236,6231322.463
35,0.1,20,500,0.112506449,6231326.245,1186,6231326.358
74,0.42,0.01,260,0.102224214,6303520.531,1961,6303520.836
80,0.42,4.008,260,0.102224177,6303520.786,1578,6303520.984
86,0.42,8.006,260,0.102224071,6303521.532,1414,6303521.691
92,0.42,12.004,260,0.102223937,6303522.477,1307,6303522.613
98,0.42,16.002,260,0.102223814,6303523.336,1236,6303523.457
104,0.42,20,260,0.102223643,6303524.541,1186,6303524.652
4,0.1,0.01,420,0.084444267,6428358.227,1961,6428358.526
10,0.1,4.008,420,0.084444155,6428359.01,1578,6428359.203
16,0.1,8.006,420,0.084443842,6428361.209,1414,6428361.365
22,0.1,12.004,420,0.084443349,6428364.669,1307,6428364.802
28,0.1,16.002,420,0.084442891,6428367.885,1236,6428368.004
34,0.1,20,420,0.084442409,6428371.275,1186,6428371.384
181,0.9,0.01,180,0.078046033,6473281.916,1961,6473282.213
187,0.9,4.008,180,0.07804602,6473282.007,1578,6473282.199
193,0.9,8.006,180,0.078045985,6473282.251,1414,6473282.405
199,0.9,12.004,180,0.078045949,6473282.502,1307,6473282.634
205,0.9,16.002,180,0.078045906,6473282.802,1236,6473282.92
211,0.9,20,180,0.07804584,6473283.269,1186,6473283.378
38,0.26,0.01,260,0.072084766,6515137.539,1961,6515137.834
44,0.26,4.008,260,0.072084707,6515137.956,1578,6515138.147
50,0.26,8.006,260,0.072084541,6515139.124,1414,6515139.277
56,0.26,12.004,260,0.072084345,6515140.497,1307,6515140.629
62,0.26,16.002,260,0.072084157,6515141.819,1236,6515141.936
68,0.26,20,260,0.072083909,6515143.558,1186,6515143.666
145,0.74,0.01,180,0.06928031,6534828.365,1961,6534828.659
151,0.74,4.008,180,0.069280293,6534828.486,1578,6534828.677
157,0.74,8.006,180,0.069280247,6534828.807,1414,6534828.96
163,0.74,12.004,180,0.0692802,6534829.138,1307,6534829.268
169,0.74,16.002,180,0.069280145,6534829.526,1236,6534829.643
175,0.74,20,180,0.069280054,6534830.163,1186,6534830.271
109,0.58,0.01,180,0.059221356,6605454.935,1961,6605455.226
115,0.58,4.008,180,0.059221332,6605455.105,1578,6605455.294
121,0.58,8.006,180,0.059221269,6605455.545,1414,6605455.696
127,0.58,12.004,180,0.059221205,6605455.996,1307,6605456.125
133,0.58,16.002,180,0.059221131,6605456.515,1236,6605456.631
139,0.58,20,180,0.059220999,6605457.439,1186,6605457.546
3,0.1,0.01,340,0.056877971,6621908.456,1961,6621908.746
9,0.1,4.008,340,0.056877862,6621909.225,1578,6621909.413
15,0.1,8.006,340,0.056877567,6621911.297,1414,6621911.448
21,0.1,12.004,340,0.056877159,6621914.16,1307,6621914.289
27,0.1,16.002,340,0.056876807,6621916.633,1236,6621916.748
33,0.1,20,340,0.056876354,6621919.814,1186,6621919.92
73,0.42,0.01,180,0.047386242,6688552.389,1961,6688552.676
79,0.42,4.008,180,0.047386206,6688552.642,1578,6688552.828
85,0.42,8.006,180,0.047386117,6688553.272,1414,6688553.421
91,0.42,12.004,180,0.047386025,6688553.915,1307,6688554.043
97,0.42,16.002,180,0.047385923,6688554.634,1236,6688554.748
103,0.42,20,180,0.047385713,6688556.102,1186,6688556.207
37,0.26,0.01,180,0.032913604,6790168.6,1961,6790168.883
43,0.26,4.008,180,0.032913546,6790169.007,1578,6790169.19
