,eta,epsilon,sigma,testing_mse,CB_size,tradeOff_dist
0,0.1,0.01,0.01,1.0712939003921023,667,1.3575012646466755
1,0.1,0.01,0.1,0.07542608398697262,667,0.8371547984964369
2,0.1,0.01,0.0,1.1118988266163086,667,1.389769068273835
3,0.1,0.01,2.0,0.012450189688694303,667,0.8338429526735142
4,0.1,0.01,4.0,0.020323032248778575,667,0.8339976547567655
5,0.1,0.1,0.01,1.0838421413042016,176,1.1059447487405856
6,0.1,0.1,0.1,0.0812784364725813,176,0.2345339724547969
7,0.1,0.1,0.0,1.1118988266163086,176,1.133454454590357
8,0.1,0.1,2.0,0.012969918652959746,176,0.22038198381415935
9,0.1,0.1,4.0,0.020759000878109175,176,0.22097722986194152
10,0.1,1.0,0.01,1.1118988266162968,13,1.1120175642186132
11,0.1,1.0,0.1,1.8036629696069881,13,1.8037361698517604
12,0.1,1.0,0.0,1.1118988266163086,13,1.1120175642186252
13,0.1,1.0,2.0,0.08229841110680658,13,0.08388737074616741
14,0.1,1.0,4.0,0.08081907930499542,13,0.08243655790792784
15,0.5,0.01,0.01,0.9420401113312056,667,1.258005816304881
16,0.5,0.01,0.1,0.03038962181112472,667,0.8343036567184775
17,0.5,0.01,0.0,1.1118988266163086,667,1.389769068273835
18,0.5,0.01,2.0,0.06325486094086681,667,0.8361460637548014
19,0.5,0.01,4.0,0.08745401654490056,667,0.83832408262547
20,0.5,0.1,0.01,1.2419009017832079,176,1.261236635152161
21,0.5,0.1,0.1,0.03906653916948812,176,0.22344170264899332
22,0.5,0.1,0.0,1.1118988266163086,176,1.133454454590357
23,0.5,0.1,2.0,0.07196205142528583,176,0.23147038006046364
24,0.5,0.1,4.0,0.0909647402739719,176,0.2380642433737397
25,0.5,1.0,0.01,1.1118988266162495,13,1.112017564218566
26,0.5,1.0,0.1,3.890098623909179,13,3.890132564095996
27,0.5,1.0,0.0,1.1118988266163086,13,1.1120175642186252
28,0.5,1.0,2.0,0.09384358568332084,13,0.09524012323544516
29,0.5,1.0,4.0,0.07196964716176224,13,0.07378138391619225
30,0.9,0.01,0.01,0.8531794777778665,667,1.1929183894136737
31,0.9,0.01,0.1,0.04606463063363643,667,0.8350215642098193
32,0.9,0.01,0.0,1.1118988266163086,667,1.389769068273835
33,0.9,0.01,2.0,0.12370212246967291,667,0.8428767867271597
34,0.9,0.01,4.0,0.13423795797255522,667,0.8444873544705341
35,0.9,0.1,0.01,1.7820139638386139,176,1.7955427500663437
36,0.9,0.1,0.1,0.07958466716473458,176,0.2339523867108895
37,0.9,0.1,0.0,1.1118988266163086,176,1.133454454590357
38,0.9,0.1,2.0,0.1432712281250436,176,0.2625388443801379
39,0.9,0.1,4.0,0.13976009082729868,176,0.2606393734416479
40,0.9,1.0,0.01,1.1118988266162024,13,1.112017564218519
41,0.9,1.0,0.1,4.95318912540998,13,4.953215781144578
42,0.9,1.0,0.0,1.1118988266163086,13,1.1120175642186252
43,0.9,1.0,2.0,0.165917074411763,13,0.16671094169657402
44,0.9,1.0,4.0,0.08962378308605115,13,0.09108504265056666
