,eta,epsilon,sigma,r2,mse,CB_size,tradeOff_dist
185,0.9,5,200,0.985208315,0.831858387,634,634.0005457
203,0.9,32,200,0.984940181,0.846937752,66,66.00543389
191,0.9,14,200,0.984760509,0.857042207,206,206.0017828
197,0.9,23,200,0.984544308,0.869200924,113,113.0033429
215,0.9,50,200,0.984339173,0.880737359,31,31.01250874
209,0.9,41,200,0.983761699,0.913213517,45,45.00926526
184,0.9,5,162,0.980682593,1.086377022,634,634.0009308
202,0.9,32,162,0.979692617,1.142051493,66,66.00988018
190,0.9,14,162,0.979335293,1.162146809,206,206.0032781
196,0.9,23,162,0.978844943,1.189723233,113,113.0062628
214,0.9,50,162,0.978710574,1.19727988,31,31.02311202
149,0.74,5,200,0.977588304,1.260394354,634,634.0012528
208,0.9,41,162,0.977310356,1.276025698,45,45.01808794
167,0.74,32,200,0.977193102,1.282619842,66,66.01246181
155,0.74,14,200,0.976944544,1.296598317,206,206.0040805
161,0.74,23,200,0.976648736,1.313234036,113,113.0076306
179,0.74,50,200,0.976390959,1.327730951,31,31.02842035
183,0.9,5,124,0.976333049,1.330987697,634,634.0013971
173,0.74,41,200,0.975587731,1.372903109,45,45.02093805
189,0.9,14,124,0.972827118,1.52815509,206,206.005668
148,0.74,5,162,0.971547291,1.600130345,634,634.0020193
201,0.9,32,124,0.971465395,1.60473604,66,66.01950604
195,0.9,23,124,0.971213146,1.618922071,113,113.0115963
207,0.9,41,124,0.970945463,1.633976077,45,45.02965554
213,0.9,50,124,0.970807075,1.641758765,31,31.0434433
166,0.74,32,162,0.970109588,1.680984247,66,66.02140341
154,0.74,14,162,0.969666908,1.705879771,206,206.007063
182,0.9,5,86,0.96948489,1.716116128,634,634.0023226
160,0.74,23,162,0.968995808,1.74362125,113,113.0134515
178,0.74,50,162,0.968848582,1.751900991,31,31.04946307
172,0.74,41,162,0.966942084,1.859119095,45,45.03838722
147,0.74,5,124,0.966378912,1.890790903,634,634.0028195
113,0.58,5,200,0.963363846,2.060352909,634,634.0033478
131,0.58,32,200,0.962714348,2.096879491,66,66.03330147
119,0.58,14,200,0.962356619,2.116997577,206,206.0108776
125,0.58,23,200,0.961926787,2.141170537,113,113.0202841
153,0.74,14,124,0.961715508,2.153052547,206,206.0112512
143,0.58,50,200,0.961609441,2.159017545,31,31.07509222
188,0.9,14,86,0.960909883,2.198359472,206,206.0117297
137,0.58,41,200,0.960424767,2.225641511,45,45.05500505
165,0.74,32,124,0.959695507,2.266653852,66,66.03891065
146,0.74,5,86,0.959591874,2.272481961,634,634.0040727
159,0.74,23,124,0.959546983,2.275006577,113,113.0228988
171,0.74,41,124,0.958940185,2.309131826,45,45.05920649
177,0.74,50,124,0.958803949,2.316793509,31,31.08645255
112,0.58,5,162,0.954986077,2.531503905,634,634.005054
130,0.58,32,162,0.95270223,2.659943425,66,66.053579
200,0.9,32,86,0.952494879,2.671604475,66,66.05404961
118,0.58,14,162,0.952188391,2.688840846,206,206.0175475
124,0.58,23,162,0.951209663,2.743882805,113,113.0333088
142,0.58,50,162,0.951050278,2.752846318,31,31.12198841
206,0.9,41,86,0.950550269,2.780965924,45,45.0858489
152,0.74,14,86,0.949218642,2.855854309,206,206.0197949
111,0.58,5,124,0.949110366,2.861943577,634,634.0064595
136,0.58,41,162,0.948337885,2.905386508,45,45.09369436
194,0.9,23,86,0.94789145,2.930493219,113,113.0379927
110,0.58,5,86,0.943951609,3.152062965,634,634.0078355
117,0.58,14,124,0.942653456,3.225068808,206,206.0252438
212,0.9,50,86,0.939616695,3.395850923,31,31.18544217
123,0.58,23,124,0.93956411,3.398808213,113,113.051103
129,0.58,32,124,0.939352574,3.410704615,66,66.08806932
135,0.58,41,124,0.938154147,3.478102061,45,45.13421312
164,0.74,32,86,0.938025114,3.485358639,66,66.09196415
141,0.58,50,124,0.937976771,3.488077385,31,31.19561963
181,0.9,5,48,0.935987316,3.599960803,634,634.0102205
170,0.74,41,86,0.93548307,3.628318739,45,45.14603744
158,0.74,23,86,0.933397313,3.745618014,113,113.0620611
77,0.42,5,200,0.933106919,3.761949288,634,634.011161
95,0.42,32,200,0.931845559,3.832885962,66,66.11120189
116,0.58,14,86,0.931376203,3.859281716,206,206.0361474
83,0.42,14,200,0.931331927,3.861771699,206,206.0361941
89,0.42,23,200,0.930645374,3.90038222,113,113.067294
107,0.42,50,200,0.930310991,3.919187374,31,31.24676031
101,0.42,41,200,0.928425098,4.025246657,45,45.17967032
176,0.74,50,86,0.922894191,4.336295118,31,31.30181233
76,0.42,5,162,0.921065478,4.439138762,634,634.0155408
145,0.74,5,48,0.920908233,4.447981923,634,634.0156028
187,0.9,14,48,0.919012352,4.554602942,206,206.0503444
94,0.42,32,162,0.91694105,4.671089324,66,66.16508955
74,0.42,5,86,0.916777205,4.680303691,634,634.0172752
82,0.42,14,162,0.916529657,4.694225351,206,206.0534779
128,0.58,32,86,0.915693619,4.741242662,66,66.1700792
