,eta,epsilon,sigma,testing_mse,CB_size,tradeOff_dist
0,0.05,0.01,0.01,1.6080087469819824,16,1.8935923875983882
1,0.05,0.01,0.1,1.6031227794104215,16,1.8894450629390087
2,0.05,0.01,0.0,1.6080087469819824,16,1.8935923875983882
3,0.05,0.01,2.0,1.4276760838454903,16,1.743060240033142
4,0.05,0.01,4.0,1.4515142253889528,16,1.7626382347227385
5,0.05,0.1,0.01,1.6080087469819824,15,1.885387565195964
6,0.05,0.1,0.1,1.6031227794104415,15,1.8812221523492803
7,0.05,0.1,0.0,1.6080087469819824,15,1.885387565195964
8,0.05,0.1,2.0,1.4278138323135243,15,1.7342567515713563
9,0.05,0.1,4.0,1.4515582864590595,15,1.7538573487068327
10,0.05,1.0,0.01,1.6080087469819824,4,1.632419582359439
11,0.05,1.0,0.1,1.6076282314231574,4,1.6320447582614726
12,0.05,1.0,0.0,1.6080087469819824,4,1.632419582359439
13,0.05,1.0,2.0,1.4435632807196892,4,1.4707061256220402
14,0.05,1.0,4.0,1.4530893133953984,4,1.480057470236852
15,0.05,2.0,0.01,1.6080087469819824,2,1.6128599227368026
16,0.05,2.0,0.1,1.6079903303887466,2,1.6128415615378067
17,0.05,2.0,0.0,1.6080087469819824,2,1.6128599227368026
18,0.05,2.0,2.0,1.4392682350816968,2,1.444686143255753
19,0.05,2.0,4.0,1.4517017793281228,2,1.4570734559741447
20,0.1,0.01,0.01,1.6080087469819824,16,1.8935923875983882
21,0.1,0.01,0.1,1.5982949057790328,16,1.8853505259869336
22,0.1,0.01,0.0,1.6080087469819824,16,1.8935923875983882
23,0.1,0.01,2.0,1.2973250991500183,16,1.6380025680335806
24,0.1,0.01,4.0,1.3923146554141077,16,1.7142170515080362
25,0.1,0.1,0.01,1.6080087469819824,15,1.885387565195964
26,0.1,0.1,0.1,1.598294905779071,15,1.8771096788585182
27,0.1,0.1,0.0,1.6080087469819824,15,1.885387565195964
28,0.1,0.1,2.0,1.2975807228243448,15,1.628714177770412
29,0.1,0.1,4.0,1.3923999966709522,15,1.7052190156558387
30,0.1,1.0,0.01,1.6080087469819824,4,1.632419582359439
31,0.1,1.0,0.1,1.60724963790145,4,1.6316718300670456
32,0.1,1.0,0.0,1.6080087469819824,4,1.632419582359439
33,0.1,1.0,2.0,1.3301542508571624,4,1.3595631259979726
34,0.1,1.0,4.0,1.3989857010656477,4,1.4269767182004554
35,0.1,2.0,0.01,1.6080087469819824,2,1.6128599227368026
36,0.1,2.0,0.1,1.6079725982720363,2,1.612823882757731
37,0.1,2.0,0.0,1.6080087469819824,2,1.6128599227368026
38,0.1,2.0,2.0,1.3247792632597717,2,1.330663404608056
39,0.1,2.0,4.0,1.396619279569087,2,1.4022019868992042
40,0.5,0.01,0.01,1.6080087469819824,16,1.8935923875983882
41,0.5,0.01,0.1,1.5616721417285437,16,1.8544055323070563
42,0.5,0.01,0.0,1.6080087469819824,16,1.8935923875983882
43,0.5,0.01,2.0,0.7536131872498137,16,1.2521712486704135
44,0.5,0.01,4.0,1.4547017528565225,16,1.7652640566679647
45,0.5,0.1,0.01,1.6080087469819824,15,1.885387565195964
46,0.5,0.1,0.1,1.56167214172867,15,1.8460265488005343
47,0.5,0.1,0.0,1.6080087469819824,15,1.885387565195964
48,0.5,0.1,2.0,0.7543408532800326,15,1.2401710622136963
49,0.5,0.1,4.0,1.4550960066404297,15,1.756786421044381
50,0.5,1.0,0.01,1.6080087469819824,4,1.632419582359439
51,0.5,1.0,0.1,1.6042881605624673,4,1.6287547588943232
52,0.5,1.0,0.0,1.6080087469819824,4,1.632419582359439
53,0.5,1.0,2.0,0.9161274928697609,4,0.9583272643997112
54,0.5,1.0,4.0,1.5626368863341258,4,1.5877454459175788
55,0.5,2.0,0.01,1.6080087469819824,2,1.6128599227368026
56,0.5,2.0,0.1,1.6078534597764595,2,1.612705102650553
57,0.5,2.0,0.0,1.6080087469819824,2,1.6128599227368026
58,0.5,2.0,2.0,0.9945693210840796,2,1.0023937023154361
59,0.5,2.0,4.0,1.590452268359628,2,1.5953568309097141
60,0.9,0.01,0.01,1.6080087469819824,16,1.8935923875983882
61,0.9,0.01,0.1,1.5283453194190522,16,1.8264280482379054
62,0.9,0.01,0.0,1.6080087469819824,16,1.8935923875983882
63,0.9,0.01,2.0,0.6313540607787225,16,1.1826275618561335
64,0.9,0.01,4.0,1.8987460903726414,16,2.1459815273448632
65,0.9,0.1,0.01,1.6080087469819824,15,1.885387565195964
66,0.9,0.1,0.1,1.528345319419178,15,1.8179201181612765
67,0.9,0.1,0.0,1.6080087469819824,15,1.885387565195964
68,0.9,0.1,2.0,0.6329906593443211,15,1.1703295755650023
69,0.9,0.1,4.0,1.899727993176741,15,2.1396169256865414
70,0.9,1.0,0.01,1.6080087469819824,4,1.632419582359439
71,0.9,1.0,0.1,1.6014410736071039,4,1.6259505142334048
72,0.9,1.0,0.0,1.6080087469819824,4,1.632419582359439
73,0.9,1.0,2.0,0.8730995100484406,4,0.9172809367619208
74,0.9,1.0,4.0,2.210390244448801,4,2.2282115239030675
75,0.9,2.0,0.01,1.6080087469819824,2,1.6128599227368026
76,0.9,2.0,0.1,1.6077695067820061,2,1.6126214022324197
77,0.9,2.0,0.0,1.6080087469819824,2,1.6128599227368026
78,0.9,2.0,2.0,1.250438266362724,2,1.2566705447269044
79,0.9,2.0,4.0,2.350497555341704,2,2.3538189730026664
