,eta,epsilon,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.05,0.01,0.001,2,1.3666688198505756,16,1.693453177135927
1,0.05,0.01,0.001,5,1.3665661264930788,16,1.693370301522469
2,0.05,0.01,0.001,10,1.3667987346193182,16,1.6935580240892159
3,0.05,0.01,0.001,15,1.3671680225848295,16,1.6938560747532574
4,0.05,0.01,0.001,20,1.367263435966779,16,1.693933087029025
5,0.05,0.01,0.1,2,1.330652493183355,16,1.66452277173221
6,0.05,0.01,0.1,5,1.305255730151822,16,1.6442908870069692
7,0.05,0.01,0.1,10,1.3349542757647161,16,1.667963704156208
8,0.05,0.01,0.1,15,1.3594174488804223,16,1.6876065300657483
9,0.05,0.01,0.1,20,1.367263435966779,16,1.693933087029025
10,0.05,0.01,0.1,2,1.330652493183355,16,1.66452277173221
11,0.05,0.01,0.1,5,1.305255730151822,16,1.6442908870069692
12,0.05,0.01,0.1,10,1.3349542757647161,16,1.667963704156208
13,0.05,0.01,0.1,15,1.3594174488804223,16,1.6876065300657483
14,0.05,0.01,0.1,20,1.367263435966779,16,1.693933087029025
15,0.05,0.01,1.0,2,2.6033470101773073,16,2.7888018315038314
16,0.05,0.01,1.0,5,1.5557346061180581,16,1.8494080579129393
17,0.05,0.01,1.0,10,1.354400790196785,15,1.6743343874837773
18,0.05,0.01,1.0,15,1.3798949807032825,16,1.7041449931769634
19,0.05,0.01,1.0,20,1.367263435966779,16,1.693933087029025
20,0.05,0.1,0.001,2,1.3669247495680308,15,1.6844813479545042
21,0.05,0.1,0.001,5,1.3668554877869838,15,1.684425143815656
22,0.05,0.1,0.001,10,1.3670622293413468,15,1.6845929121056913
23,0.05,0.1,0.001,15,1.3674311284274856,15,1.684892290805993
24,0.05,0.1,0.001,20,1.3674961777578574,15,1.6849450842111588
25,0.05,0.1,0.1,2,1.330652493183355,16,1.66452277173221
26,0.05,0.1,0.1,5,1.3052947123524095,15,1.625506336067368
27,0.05,0.1,0.1,10,1.337387636857116,15,1.6606022497405155
28,0.05,0.1,0.1,15,1.3623010883855504,15,1.680731506232169
29,0.05,0.1,0.1,20,1.3674961777578574,15,1.6849450842111588
30,0.05,0.1,0.1,2,1.330652493183355,16,1.66452277173221
31,0.05,0.1,0.1,5,1.3052947123524095,15,1.625506336067368
32,0.05,0.1,0.1,10,1.337387636857116,15,1.6606022497405155
33,0.05,0.1,0.1,15,1.3623010883855504,15,1.680731506232169
34,0.05,0.1,0.1,20,1.3674961777578574,15,1.6849450842111588
35,0.05,0.1,1.0,2,2.5487809054370913,14,2.7051013227642176
36,0.05,0.1,1.0,5,1.407084765171124,14,1.6569588215694067
37,0.05,0.1,1.0,10,1.3452097496093893,15,1.639663233851438
38,0.05,0.1,1.0,15,1.386359202304822,15,1.7002899689289066
39,0.05,0.1,1.0,20,1.3674961777578574,15,1.6849450842111588
40,0.05,1.0,0.001,2,1.4128075552334,4,1.440530024201015
41,0.05,1.0,0.001,5,1.4128226588180477,4,1.4405448371257654
42,0.05,1.0,0.001,10,1.4128672193839722,4,1.4405885401841143
43,0.05,1.0,0.001,15,1.4128672193839722,4,1.4405885401841143
44,0.05,1.0,0.001,20,1.4128672193839722,4,1.4405885401841143
45,0.05,1.0,0.1,2,1.406350239948901,4,1.437343300338973
46,0.05,1.0,0.1,5,1.40975536264179,4,1.437536693443783
47,0.05,1.0,0.1,10,1.4128672193839722,4,1.4405885401841143
48,0.05,1.0,0.1,15,1.4128672193839722,4,1.4405885401841143
49,0.05,1.0,0.1,20,1.4128672193839722,4,1.4405885401841143
50,0.05,1.0,0.1,2,1.406350239948901,4,1.437343300338973
51,0.05,1.0,0.1,5,1.40975536264179,4,1.437536693443783
52,0.05,1.0,0.1,10,1.4128672193839722,4,1.4405885401841143
53,0.05,1.0,0.1,15,1.4128672193839722,4,1.4405885401841143
54,0.05,1.0,0.1,20,1.4128672193839722,4,1.4405885401841143
55,0.05,1.0,1.0,2,1.4006631322052523,4,1.428621283762435
56,0.05,1.0,1.0,5,1.4332671363900533,4,1.457673257242769
57,0.05,1.0,1.0,10,1.4128672193839722,4,1.4405885401841143
58,0.05,1.0,1.0,15,1.4128672193839722,4,1.4405885401841143
59,0.05,1.0,1.0,20,1.4128672193839722,4,1.4405885401841143
60,0.05,1.5,0.001,2,1.405617014755799,2,1.4126339167654172
61,0.05,1.5,0.001,5,1.4055912055973105,2,1.4126082358097383
62,0.05,1.5,0.001,10,1.4055912055973105,2,1.4126082358097383
63,0.05,1.5,0.001,15,1.4055912055973105,2,1.4126082358097383
64,0.05,1.5,0.001,20,1.4055912055973105,2,1.4126082358097383
65,0.05,1.5,0.1,2,1.4099266083916264,2,1.4169221685313962
66,0.05,1.5,0.1,5,1.4055912055973105,2,1.4126082358097383
67,0.05,1.5,0.1,10,1.4055912055973105,2,1.4126082358097383
68,0.05,1.5,0.1,15,1.4055912055973105,2,1.4126082358097383
69,0.05,1.5,0.1,20,1.4055912055973105,2,1.4126082358097383
70,0.05,1.5,0.1,2,1.4099266083916264,2,1.4169221685313962
71,0.05,1.5,0.1,5,1.4055912055973105,2,1.4126082358097383
72,0.05,1.5,0.1,10,1.4055912055973105,2,1.4126082358097383
73,0.05,1.5,0.1,15,1.4055912055973105,2,1.4126082358097383
74,0.05,1.5,0.1,20,1.4055912055973105,2,1.4126082358097383
75,0.05,1.5,1.0,2,1.5211492603901358,2,1.5308285625799047
76,0.05,1.5,1.0,5,1.4055912055973105,2,1.4126082358097383
77,0.05,1.5,1.0,10,1.4055912055973105,2,1.4126082358097383
78,0.05,1.5,1.0,15,1.4055912055973105,2,1.4126082358097383
79,0.05,1.5,1.0,20,1.4055912055973105,2,1.4126082358097383
80,0.05,2.0,0.001,2,1.4060420358083756,2,1.4115874774381365
81,0.05,2.0,0.001,5,1.4060162266498875,2,1.4115617696731475
82,0.05,2.0,0.001,10,1.4060162266498875,2,1.4115617696731475
83,0.05,2.0,0.001,15,1.4060162266498875,2,1.4115617696731475
84,0.05,2.0,0.001,20,1.4060162266498875,2,1.4115617696731475
85,0.05,2.0,0.1,2,1.4103516294442033,2,1.4158801922041
86,0.05,2.0,0.1,5,1.4060162266498875,2,1.4115617696731475
87,0.05,2.0,0.1,10,1.4060162266498875,2,1.4115617696731475
88,0.05,2.0,0.1,15,1.4060162266498875,2,1.4115617696731475
89,0.05,2.0,0.1,20,1.4060162266498875,2,1.4115617696731475
90,0.05,2.0,0.1,2,1.4103516294442033,2,1.4158801922041
91,0.05,2.0,0.1,5,1.4060162266498875,2,1.4115617696731475
92,0.05,2.0,0.1,10,1.4060162266498875,2,1.4115617696731475
93,0.05,2.0,0.1,15,1.4060162266498875,2,1.4115617696731475
94,0.05,2.0,0.1,20,1.4060162266498875,2,1.4115617696731475
95,0.05,2.0,1.0,2,1.46195172737816,1,1.466037429197831
96,0.05,2.0,1.0,5,1.4060162266498875,2,1.4115617696731475
97,0.05,2.0,1.0,10,1.4060162266498875,2,1.4115617696731475
98,0.05,2.0,1.0,15,1.4060162266498875,2,1.4115617696731475
99,0.05,2.0,1.0,20,1.4060162266498875,2,1.4115617696731475
100,0.1,0.01,0.001,2,1.176023935059938,16,1.5437073219473507
101,0.1,0.01,0.001,5,1.1758047135745409,16,1.5435403216191368
102,0.1,0.01,0.001,10,1.1761776554862817,16,1.5438244321376722
103,0.1,0.01,0.001,15,1.1768200347719258,16,1.5443138910987613
104,0.1,0.01,0.001,20,1.1769976481747146,16,1.5444492428722965
105,0.1,0.01,0.1,2,1.121965126397541,16,1.5029323819960263
106,0.1,0.01,0.1,5,1.0757874915892551,16,1.46878137483422
107,0.1,0.01,0.1,10,1.1209408165585268,16,1.50216787151999
108,0.1,0.01,0.1,15,1.1622878542672919,16,1.5332687488425718
109,0.1,0.01,0.1,20,1.1769976481747146,16,1.5444492428722965
110,0.1,0.01,0.1,2,1.121965126397541,16,1.5029323819960263
111,0.1,0.01,0.1,5,1.0757874915892551,16,1.46878137483422
112,0.1,0.01,0.1,10,1.1209408165585268,16,1.50216787151999
113,0.1,0.01,0.1,15,1.1622878542672919,16,1.5332687488425718
114,0.1,0.01,0.1,20,1.1769976481747146,16,1.5444492428722965
115,0.1,0.01,1.0,2,1.8196756054765946,16,2.0763475887159673
116,0.1,0.01,1.0,5,1.5220374743616651,16,1.8211529516658496
117,0.1,0.01,1.0,10,1.2164766632790212,16,1.5747429861099433
118,0.1,0.01,1.0,15,1.197563181003122,16,1.5601786988977628
119,0.1,0.01,1.0,20,1.1769976481747146,16,1.5444492428722965
120,0.1,0.1,0.001,2,1.1764630675430399,15,1.533968542675429
121,0.1,0.1,0.001,5,1.1763026272129615,15,1.5338454978951157
122,0.1,0.1,0.001,10,1.1766312320454528,15,1.5340975186896693
123,0.1,0.1,0.001,15,1.1772702978360445,15,1.5345877279556126
124,0.1,0.1,0.001,20,1.177399542781762,15,1.5346868814086156
125,0.1,0.1,0.1,2,1.121965126397541,16,1.5029323819960263
126,0.1,0.1,0.1,5,1.0764802531971998,15,1.4586993782642492
127,0.1,0.1,0.1,10,1.1242246878663338,15,1.494280860291383
128,0.1,0.1,0.1,15,1.1667950282402835,15,1.5265663361122712
129,0.1,0.1,0.1,20,1.177399542781762,15,1.5346868814086156
130,0.1,0.1,0.1,2,1.121965126397541,16,1.5029323819960263
131,0.1,0.1,0.1,5,1.0764802531971998,15,1.4586993782642492
132,0.1,0.1,0.1,10,1.1242246878663338,15,1.494280860291383
133,0.1,0.1,0.1,15,1.1667950282402835,15,1.5265663361122712
