,eta,epsilon,sigma_init,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.05,0.1,0.1,0.001,2,0.38834370703829646,1213,0.49273376220961984
1,0.05,0.1,0.1,0.001,5,0.3883589878706892,1213,0.4927458057507401
2,0.05,0.1,0.1,0.001,10,0.3883994510278731,1213,0.4927776975307965
3,0.05,0.1,0.1,0.001,20,0.388570287070662,1213,0.4929123589637175
4,0.05,0.1,0.1,0.1,2,0.0972698829267812,1213,0.31849200264620414
5,0.05,0.1,0.1,0.1,5,0.0973136600533046,1213,0.31850537524187894
6,0.05,0.1,0.1,0.1,10,0.097445298338519,1213,0.3185456196422782
7,0.05,0.1,0.1,0.1,20,0.09802955096996388,1213,0.3187248319293191
8,0.05,0.1,0.1,0.1,2,0.0972698829267812,1213,0.31849200264620414
9,0.05,0.1,0.1,0.1,5,0.0973136600533046,1213,0.31850537524187894
10,0.05,0.1,0.1,0.1,10,0.097445298338519,1213,0.3185456196422782
11,0.05,0.1,0.1,0.1,20,0.09802955096996388,1213,0.3187248319293191
12,0.05,0.1,0.1,1.0,2,0.08947749545921362,1213,0.3161992217236683
13,0.05,0.1,0.1,1.0,5,0.0892650985377452,1213,0.3161391836548474
14,0.05,0.1,0.1,1.0,10,0.08830653888979804,1213,0.31586986313305576
15,0.05,0.1,0.1,1.0,20,0.08711787833835993,1213,0.3155396177204651
16,0.05,0.1,1.0,0.001,2,0.06893761837925362,1213,0.3110114481056985
17,0.05,0.1,1.0,0.001,5,0.06893762321442565,1213,0.31101144917744444
18,0.05,0.1,1.0,0.001,10,0.06893763074820182,1213,0.3110114508473529
19,0.05,0.1,1.0,0.001,20,0.06893766652019029,1213,0.31101145877643954
20,0.05,0.1,1.0,0.1,2,0.07049424781924063,1213,0.31136018467459914
21,0.05,0.1,1.0,0.1,5,0.070494877867918,1213,0.3113603273228827
22,0.05,0.1,1.0,0.1,10,0.07049580054759648,1213,0.3113605362274521
23,0.05,0.1,1.0,0.1,20,0.07050046037898583,1213,0.3113615913028595
24,0.05,0.1,1.0,0.1,2,0.07049424781924063,1213,0.31136018467459914
25,0.05,0.1,1.0,0.1,5,0.070494877867918,1213,0.3113603273228827
26,0.05,0.1,1.0,0.1,10,0.07049580054759648,1213,0.3113605362274521
27,0.05,0.1,1.0,0.1,20,0.07050046037898583,1213,0.3113615913028595
28,0.05,0.1,1.0,1.0,2,0.07871922245598552,1213,0.3133248180548022
29,0.05,0.1,1.0,1.0,5,0.07872551165516425,1213,0.31332639820220604
30,0.05,0.1,1.0,1.0,10,0.07873501259084752,1213,0.31332878551560006
31,0.05,0.1,1.0,1.0,20,0.07878279856104611,1213,0.3133407968556127
32,0.05,0.1,2.0,0.001,2,0.06738346983124971,1213,0.310670657821911
33,0.05,0.1,2.0,0.001,5,0.06738346942558675,1213,0.31067065773392405
34,0.05,0.1,2.0,0.001,10,0.06738346867550019,1213,0.31067065757123263
35,0.05,0.1,2.0,0.001,20,0.06738346565865759,1213,0.31067065691688917
36,0.05,0.1,2.0,0.1,2,0.06828608764677493,1213,0.3108676814837834
37,0.05,0.1,2.0,0.1,5,0.06828604881689147,1213,0.31086767295430195
38,0.05,0.1,2.0,0.1,10,0.06828597697300215,1213,0.3108676571728834
39,0.05,0.1,2.0,0.1,20,0.06828568353426914,1213,0.31086759271551984
40,0.05,0.1,2.0,0.1,2,0.06828608764677493,1213,0.3108676814837834
41,0.05,0.1,2.0,0.1,5,0.06828604881689147,1213,0.31086767295430195
42,0.05,0.1,2.0,0.1,10,0.06828597697300215,1213,0.3108676571728834
43,0.05,0.1,2.0,0.1,20,0.06828568353426914,1213,0.31086759271551984
44,0.05,0.1,2.0,1.0,2,0.07279585976427039,1213,0.31188934387666933
45,0.05,0.1,2.0,1.0,5,0.07279558536001643,1213,0.31188927983005027
46,0.05,0.1,2.0,1.0,10,0.07279505298840168,1213,0.311889155573874
47,0.05,0.1,2.0,1.0,20,0.07279270603351239,1213,0.31188860780201855
