,eta,epsilon,sigma_init,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.05,0.1,0.1,0.001,2,0.06364482167745325,203,0.08151085173984396
1,0.05,0.1,0.1,0.001,5,0.06367088803806842,203,0.08153120634797602
2,0.05,0.1,0.1,0.001,10,0.06375941787412409,203,0.08160036147375313
3,0.05,0.1,0.1,0.001,20,0.06415250399111504,203,0.08190787137589421
4,0.05,0.1,0.1,0.1,2,0.03001297487225111,203,0.05911120270881296
5,0.05,0.1,0.1,0.1,5,0.030013775625787675,203,0.059111609285445156
6,0.05,0.1,0.1,0.1,10,0.030037837860220316,203,0.05912383046045719
7,0.05,0.1,0.1,0.1,20,0.03013130959728184,203,0.05917137350989284
8,0.05,0.1,0.1,0.1,2,0.03001297487225111,203,0.05911120270881296
9,0.05,0.1,0.1,0.1,5,0.030013775625787675,203,0.059111609285445156
10,0.05,0.1,0.1,0.1,10,0.030037837860220316,203,0.05912383046045719
11,0.05,0.1,0.1,0.1,20,0.03013130959728184,203,0.05917137350989284
12,0.05,0.1,0.1,1.0,2,0.0208101266718907,203,0.05501288028362209
13,0.05,0.1,0.1,1.0,5,0.02076788827129964,203,0.05499691635218456
14,0.05,0.1,0.1,1.0,10,0.019513668067466294,203,0.05453566600351786
15,0.05,0.1,0.1,1.0,20,0.01572214156920171,203,0.05329672936045907
16,0.05,0.1,1.0,0.001,2,0.019577579174051334,203,0.054558566983712545
17,0.05,0.1,1.0,0.001,5,0.019577579381839134,203,0.05455856705827429
18,0.05,0.1,1.0,0.001,10,0.019577583548632538,203,0.054558568553470015
19,0.05,0.1,1.0,0.001,20,0.019577620028081992,203,0.05455858164362374
20,0.05,0.1,1.0,0.1,2,0.01944386427531075,203,0.054510728145537604
21,0.05,0.1,1.0,0.1,5,0.019443877600106026,203,0.05451073289846601
22,0.05,0.1,1.0,0.1,10,0.01944426336034808,203,0.05451087049962214
23,0.05,0.1,1.0,0.1,20,0.019447722974006508,203,0.054512104654596674
24,0.05,0.1,1.0,0.1,2,0.01944386427531075,203,0.054510728145537604
25,0.05,0.1,1.0,0.1,5,0.019443877600106026,203,0.05451073289846601
26,0.05,0.1,1.0,0.1,10,0.01944426336034808,203,0.05451087049962214
27,0.05,0.1,1.0,0.1,20,0.019447722974006508,203,0.054512104654596674
28,0.05,0.1,1.0,1.0,2,0.01846275079171424,203,0.05416852214890992
29,0.05,0.1,1.0,1.0,5,0.01846264596469251,203,0.05416848641985095
30,0.05,0.1,1.0,1.0,10,0.01846481522085388,203,0.05416922582186565
31,0.05,0.1,1.0,1.0,20,0.018486195975143997,203,0.054176517668002896
32,0.05,0.1,2.0,0.001,2,0.02281280315622477,203,0.05580125099712961
33,0.05,0.1,2.0,0.001,5,0.022812803036109254,203,0.0558012509480237
34,0.05,0.1,2.0,0.001,10,0.022812802729403604,203,0.055801250822635554
35,0.05,0.1,2.0,0.001,20,0.022812800618586843,203,0.055801249959686355
36,0.05,0.1,2.0,0.1,2,0.022813311942271725,203,0.05580145900221067
37,0.05,0.1,2.0,0.1,5,0.022813299964774672,203,0.0558014541054513
38,0.05,0.1,2.0,0.1,10,0.02281326945978792,203,0.05580144163410917
39,0.05,0.1,2.0,0.1,20,0.022813059658007798,203,0.05580135586130343
40,0.05,0.1,2.0,0.1,2,0.022813311942271725,203,0.05580145900221067
41,0.05,0.1,2.0,0.1,5,0.022813299964774672,203,0.0558014541054513
42,0.05,0.1,2.0,0.1,10,0.02281326945978792,203,0.05580144163410917
43,0.05,0.1,2.0,0.1,20,0.022813059658007798,203,0.05580135586130343
44,0.05,0.1,2.0,1.0,2,0.022816506683713537,203,0.05580276518460303
45,0.05,0.1,2.0,1.0,5,0.022816390177941438,203,0.05580271754809135
46,0.05,0.1,2.0,1.0,10,0.02281610021076557,203,0.05580259898810894
47,0.05,0.1,2.0,1.0,20,0.022814117126301176,203,0.05580178819045666
48,0.05,0.5,0.1,0.001,2,0.5066926310768904,25,0.5067314851206918
49,0.05,0.5,0.1,0.001,5,0.506697301491409,25,0.5067361551771058
50,0.05,0.5,0.1,0.001,10,0.5067156930007202,25,0.5067545452763104
51,0.05,0.5,0.1,0.001,20,0.5067413762189734,25,0.5067802265255612
52,0.05,0.5,0.1,0.1,2,0.49446700633968754,25,0.49450682096765114
53,0.05,0.5,0.1,0.1,5,0.49507913199562736,25,0.49511889739995163
54,0.05,0.5,0.1,0.1,10,0.49734849454561314,25,0.49738807851795946
55,0.05,0.5,0.1,0.1,20,0.5005148963577584,25,0.500554229930202
56,0.05,0.5,0.1,0.1,2,0.49446700633968754,25,0.49450682096765114
57,0.05,0.5,0.1,0.1,5,0.49507913199562736,25,0.49511889739995163
58,0.05,0.5,0.1,0.1,10,0.49734849454561314,25,0.49738807851795946
59,0.05,0.5,0.1,0.1,20,0.5005148963577584,25,0.500554229930202
60,0.05,0.5,0.1,1.0,2,4.680374393138368,25,4.68037859959751
61,0.05,0.5,0.1,1.0,5,3.2452725244788554,25,3.2452785910861897
62,0.05,0.5,0.1,1.0,10,1.57370801341979,25,1.573720523830919
63,0.05,0.5,0.1,1.0,20,0.8852979328307621,25,0.8853201711806981
64,0.05,0.5,1.0,0.001,2,0.024676224632183837,25,0.025461572753818572
65,0.05,0.5,1.0,0.001,5,0.024677729268969918,25,0.025463030983615728
66,0.05,0.5,1.0,0.001,10,0.0246882642651153,25,0.02547324120374494
67,0.05,0.5,1.0,0.001,20,0.024701131231866652,25,0.025485711862412205
68,0.05,0.5,1.0,0.1,2,0.022433684310097908,25,0.023294759426212865
69,0.05,0.5,1.0,0.1,5,0.02249281882488423,25,0.02335171350648741
70,0.05,0.5,1.0,0.1,10,0.02299843099037923,25,0.02383911602847798
71,0.05,0.5,1.0,0.1,20,0.023921083011491845,25,0.02473042331709435
72,0.05,0.5,1.0,0.1,2,0.022433684310097908,25,0.023294759426212865
73,0.05,0.5,1.0,0.1,5,0.02249281882488423,25,0.02335171350648741
74,0.05,0.5,1.0,0.1,10,0.02299843099037923,25,0.02383911602847798
75,0.05,0.5,1.0,0.1,20,0.023921083011491845,25,0.02473042331709435
76,0.05,0.5,1.0,1.0,2,0.021941188537368983,25,0.022820854046953897
77,0.05,0.5,1.0,1.0,5,0.021736042533164697,25,0.022623686039271867
78,0.05,0.5,1.0,1.0,10,0.020398149583397203,25,0.02134151192925767
79,0.05,0.5,1.0,1.0,20,0.020250067879652407,25,0.021200020616276065
80,0.05,0.5,2.0,0.001,2,0.02735937312618545,25,0.028069751029495053
81,0.05,0.5,2.0,0.001,5,0.027359350668622405,25,0.028069729140279377
82,0.05,0.5,2.0,0.001,10,0.027359208536628772,25,0.028069590605328404
83,0.05,0.5,2.0,0.001,20,0.027359177011039532,25,0.028069559877586147
84,0.05,0.5,2.0,0.1,2,0.027345276346782955,25,0.02805601118266685
85,0.05,0.5,2.0,0.1,5,0.027343449979186012,25,0.028054231084887134
86,0.05,0.5,2.0,0.1,10,0.027331491350293002,25,0.028042575567004204
87,0.05,0.5,2.0,0.1,20,0.027329007827201768,25,0.02804015502487915
88,0.05,0.5,2.0,0.1,2,0.027345276346782955,25,0.02805601118266685
89,0.05,0.5,2.0,0.1,5,0.027343449979186012,25,0.028054231084887134
90,0.05,0.5,2.0,0.1,10,0.027331491350293002,25,0.028042575567004204
91,0.05,0.5,2.0,0.1,20,0.027329007827201768,25,0.02804015502487915
92,0.05,0.5,2.0,1.0,2,0.026965100470804866,25,0.027685596768005576
93,0.05,0.5,2.0,1.0,5,0.02697416270893065,25,0.027694423244542663
94,0.05,0.5,2.0,1.0,10,0.02701214002076611,25,0.02773141419945031
95,0.05,0.5,2.0,1.0,20,0.027057262978534648,25,0.027775368672433163
96,0.05,1.0,0.1,0.001,2,1.5773971095422976,12,1.5774001067634664
97,0.05,1.0,0.1,0.001,5,1.5773971095422976,12,1.5774001067634664
98,0.05,1.0,0.1,0.001,10,1.5773971095422976,12,1.5774001067634664
99,0.05,1.0,0.1,0.001,20,1.5773971095422976,12,1.5774001067634664
100,0.05,1.0,0.1,0.1,2,1.5773971095422976,12,1.5774001067634664
101,0.05,1.0,0.1,0.1,5,1.5773971095422976,12,1.5774001067634664
102,0.05,1.0,0.1,0.1,10,1.5773971095422976,12,1.5774001067634664
103,0.05,1.0,0.1,0.1,20,1.5773971095422976,12,1.5774001067634664
104,0.05,1.0,0.1,0.1,2,1.5773971095422976,12,1.5774001067634664
105,0.05,1.0,0.1,0.1,5,1.5773971095422976,12,1.5774001067634664
106,0.05,1.0,0.1,0.1,10,1.5773971095422976,12,1.5774001067634664
107,0.05,1.0,0.1,0.1,20,1.5773971095422976,12,1.5774001067634664
108,0.05,1.0,0.1,1.0,2,1.5773971095422976,12,1.5774001067634664
109,0.05,1.0,0.1,1.0,5,1.5773971095422976,12,1.5774001067634664
110,0.05,1.0,0.1,1.0,10,1.5773971095422976,12,1.5774001067634664
111,0.05,1.0,0.1,1.0,20,1.5773971095422976,12,1.5774001067634664
112,0.05,1.0,1.0,0.001,2,0.03801608256005451,12,0.03814024328990155
113,0.05,1.0,1.0,0.001,5,0.038077057329942356,12,0.03820101988046545
114,0.05,1.0,1.0,0.001,10,0.03816620240968421,12,0.03828987635625094
115,0.05,1.0,1.0,0.001,20,0.038253371794317335,12,0.038376764827617676
116,0.05,1.0,1.0,0.1,2,0.029458726956331643,12,0.029618781522670723
117,0.05,1.0,1.0,0.1,5,0.030046843914513666,12,0.030203782117859793
118,0.05,1.0,1.0,0.1,10,0.03210570553760632,12,0.03225262707234071
119,0.05,1.0,1.0,0.1,20,0.038253371794317335,12,0.038376764827617676
120,0.05,1.0,1.0,0.1,2,0.029458726956331643,12,0.029618781522670723
121,0.05,1.0,1.0,0.1,5,0.030046843914513666,12,0.030203782117859793
122,0.05,1.0,1.0,0.1,10,0.03210570553760632,12,0.03225262707234071
123,0.05,1.0,1.0,0.1,20,0.038253371794317335,12,0.038376764827617676
124,0.05,1.0,1.0,1.0,2,0.029173637414212767,12,0.029335247484484513
125,0.05,1.0,1.0,1.0,5,0.027441440122548722,12,0.027613189982315097
126,0.05,1.0,1.0,1.0,10,0.039958456581689186,12,0.040076600122649374
127,0.05,1.0,1.0,1.0,20,0.038253371794317335,12,0.038376764827617676
128,0.05,1.0,2.0,0.001,2,0.03349240660071061,12,0.03363327110031558
129,0.05,1.0,2.0,0.001,5,0.03349344703922493,12,0.0336343071813493
130,0.05,1.0,2.0,0.001,10,0.03349518308576854,12,0.03363603595772182
131,0.05,1.0,2.0,0.001,20,0.03349968509016308,12,0.03364051911222677
132,0.05,1.0,2.0,0.1,2,0.0327753147113396,12,0.03291924785634316
133,0.05,1.0,2.0,0.1,5,0.03288765908216265,12,0.0330311026898067
134,0.05,1.0,2.0,0.1,10,0.03305672051839134,12,0.03319943367636013
135,0.05,1.0,2.0,0.1,20,0.03349968509016308,12,0.03364051911222677
136,0.05,1.0,2.0,0.1,2,0.0327753147113396,12,0.03291924785634316
137,0.05,1.0,2.0,0.1,5,0.03288765908216265,12,0.0330311026898067
138,0.05,1.0,2.0,0.1,10,0.03305672051839134,12,0.03319943367636013
139,0.05,1.0,2.0,0.1,20,0.03349968509016308,12,0.03364051911222677
140,0.05,1.0,2.0,1.0,2,0.027529470364600052,12,0.027700674424197554
141,0.05,1.0,2.0,1.0,5,0.028366973419893936,12,0.02853315275263091
142,0.05,1.0,2.0,1.0,10,0.029708026980717384,12,0.029866745589150354
143,0.05,1.0,2.0,1.0,20,0.03349968509016308,12,0.03364051911222677
144,0.05,2.0,0.1,0.001,2,3.19277086967434,6,3.192771258149578
145,0.05,2.0,0.1,0.001,5,3.19277086967434,6,3.192771258149578
146,0.05,2.0,0.1,0.001,10,3.19277086967434,6,3.192771258149578
147,0.05,2.0,0.1,0.001,20,3.19277086967434,6,3.192771258149578
148,0.05,2.0,0.1,0.1,2,3.19277086967434,6,3.192771258149578
149,0.05,2.0,0.1,0.1,5,3.19277086967434,6,3.192771258149578
150,0.05,2.0,0.1,0.1,10,3.19277086967434,6,3.192771258149578
151,0.05,2.0,0.1,0.1,20,3.19277086967434,6,3.192771258149578
152,0.05,2.0,0.1,0.1,2,3.19277086967434,6,3.192771258149578
153,0.05,2.0,0.1,0.1,5,3.19277086967434,6,3.192771258149578
154,0.05,2.0,0.1,0.1,10,3.19277086967434,6,3.192771258149578
155,0.05,2.0,0.1,0.1,20,3.19277086967434,6,3.192771258149578
156,0.05,2.0,0.1,1.0,2,3.19277086967434,6,3.192771258149578
157,0.05,2.0,0.1,1.0,5,3.19277086967434,6,3.192771258149578
158,0.05,2.0,0.1,1.0,10,3.19277086967434,6,3.192771258149578
159,0.05,2.0,0.1,1.0,20,3.19277086967434,6,3.192771258149578
160,0.05,2.0,1.0,0.001,2,0.10003931494862175,6,0.10005171243107006
161,0.05,2.0,1.0,0.001,5,0.1004161781427619,6,0.10042852910303372
162,0.05,2.0,1.0,0.001,10,0.10086906685292893,6,0.10088136236580394
163,0.05,2.0,1.0,0.001,20,0.10086906685292893,6,0.10088136236580394
164,0.05,2.0,1.0,0.1,2,0.05968675321604253,6,0.05970752996459294
165,0.05,2.0,1.0,0.1,5,0.07110929768877845,6,0.07112673788942743
166,0.05,2.0,1.0,0.1,10,0.10086906685292893,6,0.10088136236580394
167,0.05,2.0,1.0,0.1,20,0.10086906685292893,6,0.10088136236580394
168,0.05,2.0,1.0,0.1,2,0.05968675321604253,6,0.05970752996459294
169,0.05,2.0,1.0,0.1,5,0.07110929768877845,6,0.07112673788942743
170,0.05,2.0,1.0,0.1,10,0.10086906685292893,6,0.10088136236580394
171,0.05,2.0,1.0,0.1,20,0.10086906685292893,6,0.10088136236580394
172,0.05,2.0,1.0,1.0,2,0.047705589691930235,6,0.0477315819228192
173,0.05,2.0,1.0,1.0,5,0.03551402005735745,6,0.03554892748922796
174,0.05,2.0,1.0,1.0,10,0.10086906685292893,6,0.10088136236580394
175,0.05,2.0,1.0,1.0,20,0.10086906685292893,6,0.10088136236580394
176,0.05,2.0,2.0,0.001,2,0.045905031164116206,6,0.045932042314472364
177,0.05,2.0,2.0,0.001,5,0.04594184968830688,6,0.045968839204215094
178,0.05,2.0,2.0,0.001,10,0.04598415301263564,6,0.04601111771397743
179,0.05,2.0,2.0,0.001,20,0.04598415301263564,6,0.04601111771397743
180,0.05,2.0,2.0,0.1,2,0.03995183571556452,6,0.03998286885709249
181,0.05,2.0,2.0,0.1,5,0.04228349722068061,6,0.042312820305568204
182,0.05,2.0,2.0,0.1,10,0.04598415301263564,6,0.04601111771397743
183,0.05,2.0,2.0,0.1,20,0.04598415301263564,6,0.04601111771397743
184,0.05,2.0,2.0,0.1,2,0.03995183571556452,6,0.03998286885709249
185,0.05,2.0,2.0,0.1,5,0.04228349722068061,6,0.042312820305568204
186,0.05,2.0,2.0,0.1,10,0.04598415301263564,6,0.04601111771397743
187,0.05,2.0,2.0,0.1,20,0.04598415301263564,6,0.04601111771397743
188,0.05,2.0,2.0,1.0,2,0.03816779823240155,6,0.038200280717676866
189,0.05,2.0,2.0,1.0,5,0.03789875294100804,6,0.037931465823028324
