,eta,epsilon,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.05,0.1,0.1,5,0.8264468141113867,61,0.82658981797495
1,0.05,0.1,0.1,10,1.6484042673359476,79,1.6485228779717807
2,0.05,0.1,0.1,15,1.771131932544011,97,1.7712993098223357
3,0.05,0.1,0.1,20,1.6312148248784974,127,1.6315257360530317
4,0.05,0.1,0.5,5,0.9091561665000354,140,0.9098354013694125
5,0.05,0.1,0.5,10,1.3640413650739256,105,1.3642948858779536
6,0.05,0.1,0.5,15,1.8242808037550886,175,1.8248083369423518
7,0.05,0.1,0.5,20,1.2149604448919062,206,1.2160599379356014
8,0.05,0.1,1.0,5,4.322373112440924,773,4.326694336185217
9,0.05,0.1,1.0,10,1.0734681150908096,542,1.0819892881824735
10,0.05,0.1,1.0,15,1.217246055751549,384,1.22102578197297
11,0.05,0.1,1.0,20,1.6006737683733985,847,1.6146190186104883
12,0.05,0.1,1.5,5,0.7782494675742706,3173,1.1113756312694802
13,0.05,0.1,1.5,10,0.7497602079889678,3475,1.1475482264304453
14,0.05,0.1,1.5,15,0.7788869267180606,3176,1.112303892934528
15,0.05,0.1,1.5,20,0.8095197669503676,3626,1.2154946084139484
16,0.05,0.5,0.1,5,0.5646689980075867,32,0.5647278103749558
17,0.05,0.5,0.1,10,1.2391943711945739,39,1.2392343168667963
18,0.05,0.5,0.1,15,1.1977393960047682,44,1.1977919941988537
19,0.05,0.5,0.1,20,0.9723282582465881,47,0.9724004649756415
20,0.05,0.5,0.5,5,1.7959077649550246,23,1.795917050103025
21,0.05,0.5,0.5,10,1.2705119110431904,32,1.2705378907091358
22,0.05,0.5,0.5,15,0.878138988801965,38,0.878192009844167
23,0.05,0.5,0.5,20,1.2811761423538974,49,1.281236876366667
24,0.05,0.5,1.0,5,1.8091924531284747,56,1.8092468137548365
25,0.05,0.5,1.0,10,0.6800703628254727,227,0.6824403116892862
26,0.05,0.5,1.0,15,0.7550071262807031,253,0.7576685708373059
27,0.05,0.5,1.0,20,0.5112728526481556,189,0.5134723025441418
28,0.05,0.5,1.5,5,0.7054019050746947,2037,0.8701474721609025
29,0.05,0.5,1.5,10,0.6418790707373324,1742,0.7756872869111762
30,0.05,0.5,1.5,15,0.5655876433374004,1492,0.6775502475248271
31,0.05,0.5,1.5,20,0.9421013714373899,1594,1.0229452696450632
32,0.05,1.0,0.1,5,0.1392504117136314,21,0.1393502880779794
33,0.05,1.0,0.1,10,0.14041869889852748,24,0.14055113304543412
34,0.05,1.0,0.1,15,0.13760271480279548,30,0.13780831885666217
35,0.05,1.0,0.1,20,0.26345890254646165,32,0.2635803356303083
36,0.05,1.0,0.5,5,1.560854479479954,16,1.5608601302207183
37,0.05,1.0,0.5,10,4.032144894522594,21,4.032148377778851
38,0.05,1.0,0.5,15,1.5304370079427336,25,1.5304504944315276
39,0.05,1.0,0.5,20,0.5588830368317408,31,0.5589374641749012
40,0.05,1.0,1.0,5,0.8053561250411301,37,0.8054118597129448
41,0.05,1.0,1.0,10,1.0120904840430516,59,1.0121979600801903
42,0.05,1.0,1.0,15,0.3769286862529979,50,0.37714257850368865
43,0.05,1.0,1.0,20,0.3365179417370504,38,0.3366527153253644
44,0.05,1.0,1.5,5,0.35218738890553697,246,0.35752532694076367
45,0.05,1.0,1.5,10,0.5093013121926128,409,0.5195083755110376
46,0.05,1.0,1.5,15,0.437232025577381,780,0.4787450722362576
47,0.05,1.0,1.5,20,0.9564356236706097,735,0.9739691488189902
48,0.05,2.0,0.1,5,0.20251021136385408,13,0.20253750598749076
49,0.05,2.0,0.1,10,0.2886661244335607,15,0.2886934914758072
50,0.05,2.0,0.1,15,0.30921956267291545,17,0.3092515811432968
51,0.05,2.0,0.1,20,0.27423557769859397,19,0.2742775821602662
52,0.05,2.0,0.5,5,0.7675320582718526,8,0.7675351399773345
53,0.05,2.0,0.5,10,1.3132400044418113,13,1.313244405762434
54,0.05,2.0,0.5,15,0.29914854497940874,16,0.2991766400695371
55,0.05,2.0,0.5,20,0.4493719603370166,19,0.44939706411717156
56,0.05,2.0,1.0,5,0.26564164570947263,18,0.2656819048415548
57,0.05,2.0,1.0,10,0.28823634793582226,15,0.2882607409471161
58,0.05,2.0,1.0,15,0.30623744874019165,17,0.3062697789709287
59,0.05,2.0,1.0,20,0.5578997144350165,19,0.5579205785698113
60,0.05,2.0,1.5,5,0.6340917994539819,682,0.6566340234558279
