,eta,epsilon,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.05,0.1,0.1,5,0.7098701719373015,30,0.709911931866407
1,0.05,0.1,0.1,10,0.6086265678532232,50,0.6087595787515743
2,0.05,0.1,0.1,15,0.5479823798611139,61,0.5481973286493196
3,0.05,0.1,0.1,20,0.23729768384011019,70,0.2379550301651152
4,0.05,0.1,0.5,5,0.21706994878648067,50,0.21743388257391105
5,0.05,0.1,0.5,10,0.6531378841163371,60,0.6533101068160249
6,0.05,0.1,0.5,15,1.445600006351598,80,1.4457400852119788
7,0.05,0.1,0.5,20,0.739160464885345,79,0.7394282945962505
8,0.05,0.1,1.0,5,0.45972349048459016,94,0.46033012972032916
9,0.05,0.1,1.0,10,0.6239801401237669,105,0.6245373134520272
10,0.05,0.1,1.0,15,0.5815204901958914,110,0.5821703621086097
11,0.05,0.1,1.0,20,0.567034489818721,143,0.5681713810717477
12,0.05,0.1,1.5,5,0.0906233756193514,134,0.09663435573669465
13,0.05,0.1,1.5,10,0.08793115116427588,235,0.105863071205566
14,0.05,0.1,1.5,15,0.13422967509816341,539,0.19026856854708954
15,0.05,0.1,1.5,20,0.13444198222632708,734,0.2275399464048984
16,0.05,0.5,0.1,5,0.05354388645425194,14,0.053658156664442215
17,0.05,0.5,0.1,10,0.029038738811530063,19,0.02943686424815426
18,0.05,0.5,0.1,15,0.02861107525915161,20,0.029075320333314256
19,0.05,0.5,0.1,20,0.029124347316335432,23,0.029710995129792184
20,0.05,0.5,0.5,5,0.3962960137520518,10,0.3963040576890003
21,0.05,0.5,0.5,10,0.5008783779274782,15,0.500893756299938
22,0.05,0.5,0.5,15,0.05476020715045665,18,0.05494479308506789
23,0.05,0.5,0.5,20,0.0752954680592367,21,0.07549245002157193
24,0.05,0.5,1.0,5,0.04087661199711977,16,0.04107185664616436
25,0.05,0.5,1.0,10,0.07186150896384394,17,0.07200070899345799
26,0.05,0.5,1.0,15,0.03010026766170837,20,0.03052510013589614
27,0.05,0.5,1.0,20,0.04024486020118384,22,0.040643011670062436
28,0.05,0.5,1.5,5,0.05269856251558316,33,0.05335598364952919
29,0.05,0.5,1.5,10,0.029539892415876946,37,0.03097677951210526
30,0.05,0.5,1.5,15,0.027345788938604853,25,0.028067735884369505
31,0.05,0.5,1.5,20,0.026751726758814008,25,0.027483538428998647
32,0.05,1.0,0.1,5,0.027933921871366767,10,0.028059338750505557
33,0.05,1.0,0.1,10,0.03124556221615053,12,0.03139407043062963
34,0.05,1.0,0.1,15,0.03825423596434846,12,0.03837762621914038
35,0.05,1.0,0.1,20,0.03825423596434846,12,0.03837762621914038
36,0.05,1.0,0.5,5,0.09737968651015985,7,0.09739971237029917
37,0.05,1.0,0.5,10,0.0729072432274851,11,0.07296003522498924
38,0.05,1.0,0.5,15,0.03825423596434846,12,0.03837762621914038
39,0.05,1.0,0.5,20,0.03825423596434846,12,0.03837762621914038
40,0.05,1.0,1.0,5,0.04306569026494888,9,0.04313112916440413
41,0.05,1.0,1.0,10,0.04075609575016291,11,0.040852164456690016
42,0.05,1.0,1.0,15,0.03825423596434846,12,0.03837762621914038
43,0.05,1.0,1.0,20,0.03825423596434846,12,0.03837762621914038
44,0.05,1.0,1.5,5,0.0419770958828906,14,0.04214204793032004
45,0.05,1.0,1.5,10,0.04448739204218838,12,0.044598772973203714
46,0.05,1.0,1.5,15,0.03825423596434846,12,0.03837762621914038
47,0.05,1.0,1.5,20,0.03825423596434846,12,0.03837762621914038
48,0.05,2.0,0.1,5,0.08913406774470596,6,0.08914754361572635
49,0.05,2.0,0.1,10,0.10086922096546931,6,0.10088151645956099
50,0.05,2.0,0.1,15,0.10086922096546931,6,0.10088151645956099
51,0.05,2.0,0.1,20,0.10086922096546931,6,0.10088151645956099
52,0.05,2.0,0.5,5,0.10401001010389535,6,0.10402082580816407
53,0.05,2.0,0.5,10,0.10086922096546931,6,0.10088151645956099
54,0.05,2.0,0.5,15,0.10086922096546931,6,0.10088151645956099
55,0.05,2.0,0.5,20,0.10086922096546931,6,0.10088151645956099
56,0.05,2.0,1.0,5,0.0759983030888226,6,0.07601360205503055
57,0.05,2.0,1.0,10,0.10086922096546931,6,0.10088151645956099
58,0.05,2.0,1.0,15,0.10086922096546931,6,0.10088151645956099
59,0.05,2.0,1.0,20,0.10086922096546931,6,0.10088151645956099
60,0.05,2.0,1.5,5,0.0955361472095142,6,0.09555039468070223
61,0.05,2.0,1.5,10,0.10086922096546931,6,0.10088151645956099
62,0.05,2.0,1.5,15,0.10086922096546931,6,0.10088151645956099
63,0.05,2.0,1.5,20,0.10086922096546931,6,0.10088151645956099
64,0.1,0.1,0.1,5,0.7082837258246684,36,0.7083431491114134
65,0.1,0.1,0.1,10,0.5005702362646486,61,0.5008032418615579
66,0.1,0.1,0.1,15,0.32404269092573534,86,0.32476512750354164
67,0.1,0.1,0.1,20,0.5248519195110382,87,0.5253107079761665
68,0.1,0.1,0.5,5,0.46347657674081255,52,0.4636588586314105
69,0.1,0.1,0.5,10,0.7114800178629028,54,0.7116099885598828
70,0.1,0.1,0.5,15,0.6562158347336233,45,0.6563152842804638
71,0.1,0.1,0.5,20,0.5109851266177459,73,0.5113145041210485
72,0.1,0.1,1.0,5,0.40964584503397344,67,0.4099932730894474
73,0.1,0.1,1.0,10,0.6336089891030773,105,0.634156663271958
74,0.1,0.1,1.0,15,0.3331412043565155,107,0.3342174472407292
75,0.1,0.1,1.0,20,0.5650961464118698,106,0.5657253841878985
76,0.1,0.1,1.5,5,0.3654735268206799,630,0.3980454607287291
77,0.1,0.1,1.5,10,0.1538271549119957,450,0.19070846654860166
78,0.1,0.1,1.5,15,0.3193275950465117,939,0.39635987808832135
79,0.1,0.1,1.5,20,0.04232284900295194,376,0.10317961788903207
80,0.1,0.5,0.1,5,0.28380459879586334,13,0.28382556755458266
81,0.1,0.5,0.1,10,0.08790167246607528,19,0.08802991833651316
82,0.1,0.5,0.1,15,0.09448577706794511,21,0.09463712045563001
83,0.1,0.5,0.1,20,0.09175304890382596,24,0.09195394286352206
84,0.1,0.5,0.5,5,0.5228681311518493,11,0.5228756282083029
85,0.1,0.5,0.5,10,0.42893762899987664,17,0.4289586834090619
86,0.1,0.5,0.5,15,0.08886059783767135,17,0.08897195259219819
87,0.1,0.5,0.5,20,0.10115574499045903,21,0.10130245428702493
88,0.1,0.5,1.0,5,0.1272566087678813,17,0.12732755779917246
89,0.1,0.5,1.0,10,0.12863528664019588,18,0.12871484993583823
90,0.1,0.5,1.0,15,0.09388917285851987,20,0.09402758520804959
91,0.1,0.5,1.0,20,0.09246465228411098,22,0.0926340753827745
92,0.1,0.5,1.5,5,0.01996781590984932,105,0.033120904232970934
93,0.1,0.5,1.5,10,0.06388167931715473,53,0.06524133239273854
94,0.1,0.5,1.5,15,0.035536020268909896,32,0.03646983323998582
95,0.1,0.5,1.5,20,0.03544568829964513,25,0.03599683936174952
96,0.1,1.0,0.1,5,0.07672429191629332,10,0.0767666559780781
97,0.1,1.0,0.1,10,0.05143017182437833,12,0.051520530605624386
98,0.1,1.0,0.1,15,0.05234203021119841,12,0.05243227776503713
99,0.1,1.0,0.1,20,0.05234203021119841,12,0.05243227776503713
100,0.1,1.0,0.5,5,0.42014315110871864,8,0.42014791136403806
101,0.1,1.0,0.5,10,0.12127677945947302,11,0.12130852344770196
102,0.1,1.0,0.5,15,0.05234203021119841,12,0.05243227776503713
103,0.1,1.0,0.5,20,0.05234203021119841,12,0.05243227776503713
104,0.1,1.0,1.0,5,0.1206373584439105,9,0.12065976080419083
105,0.1,1.0,1.0,10,0.06802094955898379,11,0.06807855447132978
106,0.1,1.0,1.0,15,0.05234203021119841,12,0.05243227776503713
107,0.1,1.0,1.0,20,0.05234203021119841,12,0.05243227776503713
108,0.1,1.0,1.5,5,0.05129250716709608,14,0.05141868620926251
109,0.1,1.0,1.5,10,0.05684418633335255,12,0.056931397487686046
110,0.1,1.0,1.5,15,0.05234203021119841,12,0.05243227776503713
111,0.1,1.0,1.5,20,0.05234203021119841,12,0.05243227776503713
112,0.1,2.0,0.1,5,0.09937297970242011,6,0.09938506726333488
113,0.1,2.0,0.1,10,0.1030794722381313,6,0.10309150412081337
114,0.1,2.0,0.1,15,0.1030794722381313,6,0.10309150412081337
115,0.1,2.0,0.1,20,0.1030794722381313,6,0.10309150412081337
116,0.1,2.0,0.5,5,0.15972041061673647,6,0.15972745401958582
117,0.1,2.0,0.5,10,0.1030794722381313,6,0.10309150412081337
118,0.1,2.0,0.5,15,0.1030794722381313,6,0.10309150412081337
119,0.1,2.0,0.5,20,0.1030794722381313,6,0.10309150412081337
120,0.1,2.0,1.0,5,0.11227258688720343,6,0.11228294345689663
121,0.1,2.0,1.0,10,0.1030794722381313,6,0.10309150412081337
122,0.1,2.0,1.0,15,0.1030794722381313,6,0.10309150412081337
123,0.1,2.0,1.0,20,0.1030794722381313,6,0.10309150412081337
124,0.1,2.0,1.5,5,0.10185661369033443,6,0.10186997718887554
125,0.1,2.0,1.5,10,0.1030794722381313,6,0.10309150412081337
126,0.1,2.0,1.5,15,0.1030794722381313,6,0.10309150412081337
127,0.1,2.0,1.5,20,0.1030794722381313,6,0.10309150412081337
128,0.3,0.1,0.1,5,0.9706874320038315,36,0.9707312662499302
129,0.3,0.1,0.1,10,0.7936249210234634,49,0.7937202311075978
130,0.3,0.1,0.1,15,0.674643976927983,75,0.6749044807268691
131,0.3,0.1,0.1,20,0.7552845713198092,63,0.7554529675457949
132,0.3,0.1,0.5,5,0.5756187200933732,74,0.5759191531125989
133,0.3,0.1,0.5,10,0.8130839290832066,52,0.8131902595539281
134,0.3,0.1,0.5,15,0.6516722744960933,58,0.6518335702822552
135,0.3,0.1,0.5,20,0.8167752970194805,57,0.816901785067373
136,0.3,0.1,1.0,5,0.9175262959342548,82,0.9177569582170618
137,0.3,0.1,1.0,10,4.376201960595912,207,4.376508521632684
138,0.3,0.1,1.0,15,1.1622528976181745,179,1.163122757341994
139,0.3,0.1,1.0,20,3.3885053345842286,91,3.3885817040475468
140,0.3,0.1,1.5,5,0.5174797134195657,2315,0.7763612666154822
141,0.3,0.1,1.5,10,0.7458757205859052,1854,0.8781719741511587
142,0.3,0.1,1.5,15,0.32361154420103533,2467,0.6965169288432109
143,0.3,0.1,1.5,20,1.3519746421064505,1975,1.4393138974521384
144,0.3,0.5,0.1,5,1.3910884467792637,12,1.3910917903800397
145,0.3,0.5,0.1,10,0.9529848701627284,17,0.9529945712117526
146,0.3,0.5,0.1,15,0.858356710175795,21,0.8583736959528837
147,0.3,0.5,0.1,20,0.5850786466802622,24,0.585110184859405
148,0.3,0.5,0.5,5,1.1516630074608822,10,1.1516659990547797
149,0.3,0.5,0.5,10,1.1563428778391853,15,1.1563489584158448
150,0.3,0.5,0.5,15,0.9086637696303713,18,0.9086750364480564
151,0.3,0.5,0.5,20,0.9155152806909801,21,0.9155312060103052
152,0.3,0.5,1.0,5,0.6709579884912981,15,0.6709696154225532
153,0.3,0.5,1.0,10,0.7602570606636451,18,0.760270378410816
154,0.3,0.5,1.0,15,0.6043677463251524,19,0.6043882224391404
155,0.3,0.5,1.0,20,0.5671535071079206,22,0.5671816491432125
156,0.3,0.5,1.5,5,0.17646093243490465,155,0.18068160199864286
157,0.3,0.5,1.5,10,0.273149984098197,347,0.2866476398609367
158,0.3,0.5,1.5,15,0.22122089419685376,203,0.227012304797021
159,0.3,0.5,1.5,20,0.21538807333341534,179,0.21999277887985483
160,0.3,1.0,0.1,5,1.4551466941828566,9,1.455148756688228
161,0.3,1.0,0.1,10,0.6159307366840698,12,0.6159382882174
162,0.3,1.0,0.1,15,0.3535172857811397,12,0.3535306591670148
163,0.3,1.0,0.1,20,0.3535172857811397,12,0.3535306591670148
164,0.3,1.0,0.5,5,1.9513725531051467,7,1.9513734300517926
165,0.3,1.0,0.5,10,1.3508034922749201,11,1.3508063426587544
166,0.3,1.0,0.5,15,0.3535172857811397,12,0.3535306591670148
167,0.3,1.0,0.5,20,0.3535172857811397,12,0.3535306591670148
168,0.3,1.0,1.0,5,0.9626562812537275,9,0.9626589106933232
169,0.3,1.0,1.0,10,1.1305198915252366,11,1.1305233589511685
170,0.3,1.0,1.0,15,0.3535172857811397,12,0.3535306591670148
171,0.3,1.0,1.0,20,0.3535172857811397,12,0.3535306591670148
172,0.3,1.0,1.5,5,0.28600336800201126,13,0.2860235768402561
173,0.3,1.0,1.5,10,0.2953393722662111,12,0.29535617025990774
174,0.3,1.0,1.5,15,0.3535172857811397,12,0.3535306591670148
175,0.3,1.0,1.5,20,0.3535172857811397,12,0.3535306591670148
176,0.3,2.0,0.1,5,0.6481840549003468,6,0.6481859081521719
177,0.3,2.0,0.1,10,0.3905683775428395,6,0.3905715531902522
178,0.3,2.0,0.1,15,0.3905683775428395,6,0.3905715531902522
179,0.3,2.0,0.1,20,0.3905683775428395,6,0.3905715531902522
180,0.3,2.0,0.5,5,2.772859906078208,6,2.7728603117964754
181,0.3,2.0,0.5,10,0.3905683775428395,6,0.3905715531902522
182,0.3,2.0,0.5,15,0.3905683775428395,6,0.3905715531902522
183,0.3,2.0,0.5,20,0.3905683775428395,6,0.3905715531902522
184,0.3,2.0,1.0,5,2.1538901317484855,6,2.153890671614627
185,0.3,2.0,1.0,10,0.3905683775428395,6,0.3905715531902522
186,0.3,2.0,1.0,15,0.3905683775428395,6,0.3905715531902522
187,0.3,2.0,1.0,20,0.3905683775428395,6,0.3905715531902522
