,eta,epsilon,sigma,testing_mse,CB_size,tradeOff_dist
0,0.05,0.1,0.01,0.9151128234821977,1213,0.9640576773858294
1,0.05,0.1,0.1,0.8231639960930874,1213,0.8772540624522296
2,0.05,0.1,1.0,0.06905043387760845,1213,0.31103647381566996
3,0.05,0.1,2.0,0.06737339420239186,1213,0.3106684726060095
4,0.05,0.1,4.0,0.09715213705506198,1213,0.31845606189765885
5,0.05,0.1,8.0,0.14198871375450564,1213,0.3348679149435773
6,0.05,0.5,0.01,0.9154821175710378,182,0.9166121085782969
7,0.05,0.5,0.1,0.8263175987888622,182,0.827569346984403
8,0.05,0.5,1.0,0.07960712420118447,182,0.09169266177608114
9,0.05,0.5,2.0,0.07266718175426089,182,0.08573662755267894
10,0.05,0.5,4.0,0.10346520679072016,182,0.1130278683168292
11,0.05,0.5,8.0,0.15815719527474897,182,0.16457201589934747
12,0.05,1.0,0.01,0.9156155334940348,65,0.9157628436448849
13,0.05,1.0,0.1,0.8743188388835097,65,0.8744731057337376
14,0.05,1.0,1.0,0.1003037462913072,65,0.10163966816686743
15,0.05,1.0,2.0,0.08086954708332501,65,0.08252068995386624
16,0.05,1.0,4.0,0.1146793494819233,65,0.11584961727427978
17,0.05,1.0,8.0,0.1832900530000845,65,0.184024520523146
18,0.05,2.0,0.01,0.9162836019073719,22,0.9163008674825901
19,0.05,2.0,0.1,0.9757211420452224,22,0.9757373558796615
20,0.05,2.0,1.0,0.1822150822901157,22,0.18230188380538925
21,0.05,2.0,2.0,0.12008732432741218,22,0.12021899221469577
22,0.05,2.0,4.0,0.1441714373573139,22,0.14428112826934048
23,0.05,2.0,8.0,0.22714574050462985,22,0.22721537812040066
24,0.1,0.1,0.01,0.9145286451657002,1213,0.9635031751134042
25,0.1,0.1,0.1,0.7556009392447953,1213,0.8141919337678413
26,0.1,0.1,1.0,0.10216628007675248,1213,0.32002136555192906
27,0.1,0.1,2.0,0.12864111842741507,1213,0.3294302095668462
28,0.1,0.1,4.0,0.1501821194164082,1213,0.3384233954935803
29,0.1,0.1,8.0,0.2531963588838372,1213,0.3950748306043209
30,0.1,0.5,0.01,0.9154310417787507,182,0.9165610957552851
31,0.1,0.5,0.1,0.7904222734437254,182,0.7917307751729419
32,0.1,0.5,1.0,0.13088190052423873,182,0.1385652261024992
33,0.1,0.5,2.0,0.15683776791444645,182,0.163304425672992
34,0.1,0.5,4.0,0.17246033356811682,182,0.1783614774956356
35,0.1,0.5,8.0,0.28728804896035876,182,0.29086882451622326
36,0.1,1.0,0.01,0.9163017432770278,65,0.9164489431264136
37,0.1,1.0,0.1,1.0161431020156524,65,1.0162758407041823
38,0.1,1.0,1.0,0.18872410094113162,65,0.18943750130594111
39,0.1,1.0,2.0,0.18038072864509033,65,0.1811269938234876
40,0.1,1.0,4.0,0.2077198311351613,65,0.20836820504054818
41,0.1,1.0,8.0,0.3355981562191737,65,0.3359998557778097
42,0.1,2.0,0.01,0.9189241479809347,22,0.9189413639441238
43,0.1,2.0,0.1,1.3950368510393232,22,1.3950481914194617
44,0.1,2.0,1.0,0.3047197674445895,22,0.3047716806012079
45,0.1,2.0,2.0,0.24502543462967052,22,0.24508999212627786
46,0.1,2.0,4.0,0.3035053497161007,22,0.30355747055754134
47,0.1,2.0,8.0,0.41932969908183065,22,0.4193674250070678
48,0.3,0.1,0.01,0.9123129475922143,1213,0.9614003536349435
49,0.3,0.1,0.1,0.6115323659874938,1213,0.6826035161609278
50,0.3,0.1,1.0,0.3744185876288746,1213,0.48183503856299326
51,0.3,0.1,2.0,0.5131482523201225,1213,0.5960678270836266
52,0.3,0.1,4.0,0.4280780778676142,1213,0.5246204021726864
53,0.3,0.1,8.0,0.4779961068835239,1213,0.5660883357046012
54,0.3,0.5,0.01,0.9169847202730331,182,0.9181128619152511
55,0.3,0.5,0.1,1.0097487419382762,182,1.0107733533517451
56,0.3,0.5,1.0,0.5826585659427878,182,0.5844324207866175
57,0.3,0.5,2.0,0.7748988567915531,182,0.7762335268827648
58,0.3,0.5,4.0,0.568040213972586,182,0.5698595745357108
59,0.3,0.5,8.0,0.5496300419290228,182,0.5515101386111586
60,0.3,1.0,0.01,0.9268348194853155,65,0.9269803467363144
61,0.3,1.0,0.1,3.060955323383662,65,3.060999391109998
62,0.3,1.0,1.0,1.1261225291086574,65,1.1262423057189244
63,0.3,1.0,2.0,0.912919259793972,65,0.9130670049496772
64,0.3,1.0,4.0,0.703822091294726,65,0.7040137191983417
65,0.3,1.0,8.0,0.6477651913492687,65,0.6479733974082228
66,0.3,2.0,0.01,0.9501457319096197,22,0.9501623821700514
67,0.3,2.0,0.1,6.243840606361474,22,6.243843140107975
68,0.3,2.0,1.0,1.480974720741889,22,1.4809854030683476
69,0.3,2.0,2.0,1.4581866700712105,22,1.4581975193362404
70,0.3,2.0,4.0,1.067329449003352,22,1.0673442712334194
71,0.3,2.0,8.0,0.8070384327721885,22,0.80705803545742
72,0.5,0.1,0.01,0.9102891900435243,1213,0.9594801379575794
73,0.5,0.1,0.1,0.5647916463971798,1213,0.6410657762390978
74,0.5,0.1,1.0,0.6420620088282297,1213,0.7100840434804473
75,0.5,0.1,2.0,0.8207641933013535,1213,0.8750026209278585
76,0.5,0.1,4.0,0.6109228505062232,1213,0.6820575158266707
77,0.5,0.1,8.0,0.5552442156155353,1213,0.6326704233639431
78,0.5,0.5,0.01,0.9213474028451962,182,0.9224702091285053
79,0.5,0.5,0.1,1.6420656882777973,182,1.642695947100143
80,0.5,0.5,1.0,1.106199433812544,182,1.1071347873530093
81,0.5,0.5,2.0,1.3161010610269988,182,1.3168873349062145
82,0.5,0.5,4.0,0.8311039621429653,182,0.8323485122770002
83,0.5,0.5,8.0,0.6400060473334176,182,0.6416213763765549
84,0.5,1.0,0.01,0.949804497679574,65,0.9499465060924999
85,0.5,1.0,0.1,7.040484358957473,65,7.040503518168982
86,0.5,1.0,1.0,2.339050496502839,65,2.339108164624966
87,0.5,1.0,2.0,1.57346660469155,65,1.5735523304626873
88,0.5,1.0,4.0,1.0255137928415619,65,1.0256453187790047
89,0.5,1.0,8.0,0.7558220432621028,65,0.756000490546071
90,0.5,2.0,0.01,1.014417972895168,22,1.014433568232904
91,0.5,2.0,0.1,15.55073220125892,22,15.550733218594425
92,0.5,2.0,1.0,3.6223170933040776,22,3.6223214607579903
93,0.5,2.0,2.0,2.8988123794194145,22,2.898817836929435
94,0.5,2.0,4.0,1.5463598580632216,22,1.546370088709138
95,0.5,2.0,8.0,0.94016102406254,22,0.9401778511490919
96,0.9,0.1,0.01,0.9068094209465641,1213,0.9561794034293162
97,0.9,0.1,0.1,0.5718017402929456,1213,0.6472503038446882
98,0.9,0.1,1.0,1.0090618471404778,1213,1.0536515254008572
99,0.9,0.1,2.0,1.1744595785297558,1213,1.2129843474774487
100,0.9,0.1,4.0,0.7931979127354118,1213,0.8491988308946344
101,0.9,0.1,8.0,0.6155778970175729,1213,0.6862301894565537
102,0.9,0.5,0.01,0.9384848623523144,182,0.9395871896021373
103,0.9,0.5,0.1,3.745818116266662,182,3.7460944475749036
104,0.9,0.5,1.0,1.9194470826327223,182,1.919986289801901
105,0.9,0.5,2.0,1.9628499816742029,182,1.963377269033748
106,0.9,0.5,4.0,1.0943020103450904,182,1.095247524464359
107,0.9,0.5,8.0,0.7106689337889173,182,0.7121239944368372
108,0.9,1.0,0.01,1.03292408067304,65,1.03305466315159
109,0.9,1.0,0.1,19.74234220872518,65,19.74234904126246
110,0.9,1.0,1.0,4.456454037765086,65,4.456484306192241
111,0.9,1.0,2.0,2.393386054849697,65,2.3934424137994204
112,0.9,1.0,4.0,1.3467189365459147,65,1.3468190950073284
113,0.9,1.0,8.0,0.8404504650040145,65,0.8406109473177615
114,0.9,2.0,0.01,1.2420910557588851,22,1.2421037925315348
115,0.9,2.0,0.1,45.578135338153395,22,45.5781356852565
116,0.9,2.0,1.0,10.111282995246347,22,10.111284559865918
117,0.9,2.0,2.0,5.0703264736695886,22,5.070329593844929
118,0.9,2.0,4.0,2.027076298314648,22,2.027084102797419
119,0.9,2.0,8.0,1.0440777837724835,22,1.0440929360896285
