,eta,epsilon,sigma,testing_mse,CB_size,tradeOff_dist
0,0.05,0.1,0.01,0.8789232420976804,203,0.8803973086763144
1,0.05,0.1,0.1,0.1804108232836379,203,0.18746045125007038
2,0.05,0.1,1.0,0.019578950080572016,203,0.05455905892936141
3,0.05,0.1,2.0,0.022812797857968154,203,0.055801248831083665
4,0.05,0.1,4.0,0.03244967315852466,203,0.060384906335069155
5,0.05,0.1,8.0,0.21395602612661188,203,0.21993302785368873
6,0.05,0.5,0.01,0.9774730098491518,25,0.9774931511824315
7,0.05,0.5,0.1,0.5067994905920366,25,0.5068383364440261
8,0.05,0.5,1.0,0.024709759647960627,25,0.025494074740221175
9,0.05,0.5,2.0,0.02735948223021951,25,0.028069857372378958
10,0.05,0.5,4.0,0.03597061795160076,25,0.036513846425979594
11,0.05,0.5,8.0,0.2267343629444984,25,0.22682117838695645
12,0.05,1.0,0.01,1.0752011478270809,12,1.0752055449604379
13,0.05,1.0,0.1,1.5773971095422976,12,1.5774001067634664
14,0.05,1.0,1.0,0.038253371794317335,12,0.038376764827617676
15,0.05,1.0,2.0,0.03349968509016308,12,0.03364051911222677
16,0.05,1.0,4.0,0.04157437899380911,12,0.04168794326565987
17,0.05,1.0,8.0,0.2494249655563671,12,0.24944391968495627
18,0.05,2.0,0.01,1.2027138433802453,6,1.202714874641318
19,0.05,2.0,0.1,3.19277086967434,6,3.192771258149578
20,0.05,2.0,1.0,0.10086906685292893,6,0.10088136236580394
21,0.05,2.0,2.0,0.04598415301263564,6,0.04601111771397743
22,0.05,2.0,4.0,0.058423243687774504,6,0.05844446961005877
23,0.05,2.0,8.0,0.30078201701586205,6,0.3007861406134437
24,0.1,0.1,0.01,0.8637597597120654,203,0.8652596593640807
25,0.1,0.1,0.1,0.1009092680490195,203,0.11303112846994348
26,0.1,0.1,1.0,0.024328644229814407,203,0.056437917706634796
27,0.1,0.1,2.0,0.05276631673176756,203,0.07333239261361388
28,0.1,0.1,4.0,0.16421417332307434,203,0.1719292015487209
29,0.1,0.1,8.0,0.4596215496463259,203,0.462434129930188
30,0.1,0.5,0.01,1.1494350252422492,25,1.1494521533663982
31,0.1,0.5,0.1,0.730919715625636,25,0.7309466507996739
32,0.1,0.5,1.0,0.035880799588771876,25,0.03642536759086464
33,0.1,0.5,2.0,0.07016161906969705,25,0.07044166675683701
34,0.1,0.5,4.0,0.18785498696536382,25,0.18795976099356215
35,0.1,0.5,8.0,0.4857164458298211,25,0.4857569776900313
36,0.1,1.0,0.01,1.5366295983649039,12,1.536632675103613
37,0.1,1.0,0.1,3.1082923045897375,12,3.1082938256215065
38,0.1,1.0,1.0,0.05233865514574436,12,0.0524289085091913
39,0.1,1.0,2.0,0.08555356568239701,12,0.0856088092778554
40,0.1,1.0,4.0,0.21954171524282423,12,0.219563249103217
41,0.1,1.0,8.0,0.5254619524876464,12,0.5254709498508262
42,0.1,2.0,0.01,2.0970760201144656,6,2.097076611562898
43,0.1,2.0,0.1,6.499770656368372,6,6.49977084719241
44,0.1,2.0,1.0,0.10307598141611021,6,0.1030880137062224
45,0.1,2.0,2.0,0.11537605034692924,6,0.11538680001914063
46,0.1,2.0,4.0,0.29848369911275174,6,0.29848785446150355
47,0.1,2.0,8.0,0.6124667618349203,6,0.6124687869414678
48,0.3,0.1,0.01,0.9035872831862009,203,0.9050211787360667
49,0.3,0.1,0.1,0.09881740989174663,203,0.11116760374638586
50,0.3,0.1,1.0,0.09132450154499754,203,0.10456347453792006
51,0.3,0.1,2.0,0.4313423648251199,203,0.43433810714456866
52,0.3,0.1,4.0,0.7993095600903228,203,0.8009301645441913
53,0.3,0.1,8.0,0.9112745224713847,203,0.9126963410304931
54,0.3,0.5,0.01,2.459669257650238,25,2.459677261889184
55,0.3,0.5,0.1,1.4050693071183038,25,1.4050833190351775
56,0.3,0.5,1.0,0.2530098469624458,25,0.25308764941213596
57,0.3,0.5,2.0,0.6254338877843468,25,0.6254653656390919
58,0.3,0.5,4.0,0.9149115071662258,25,0.9149330257293016
59,0.3,0.5,8.0,0.9586601961522903,25,0.9586807327320955
60,0.3,1.0,0.01,5.385875157453479,12,5.385876035270357
61,0.3,1.0,0.1,7.922850555887207,12,7.922851152618432
62,0.3,1.0,1.0,0.3534741900039805,12,0.35348756502028483
63,0.3,1.0,2.0,0.7916220883280517,12,0.791628060615505
64,0.3,1.0,4.0,1.0513588488363237,12,1.0513633456857052
65,0.3,1.0,8.0,1.0186565137976162,12,1.0186611550104938
66,0.3,2.0,0.01,11.027273848214445,6,11.027273960691247
67,0.3,2.0,0.1,17.29377952846642,6,17.29377960018657
68,0.3,2.0,1.0,0.39054130638299156,6,0.3905444822505289
69,0.3,2.0,2.0,1.1717447763072573,6,1.171745834824406
70,0.3,2.0,4.0,1.359603576625543,6,1.3596044888856351
71,0.3,2.0,8.0,1.1438594773273687,6,1.1438605616492952
72,0.5,0.1,0.01,1.061246172085935,203,1.0624673140346717
73,0.5,0.1,0.1,0.11502333731901108,203,0.1257923835254067
74,0.5,0.1,1.0,0.19718359851548445,203,0.20365344865362767
75,0.5,0.1,2.0,0.8303359342534764,203,0.8318960988835045
76,0.5,0.1,4.0,1.1258653713727378,203,1.1270164994716239
77,0.5,0.1,8.0,1.0547182167055857,203,1.0559469078867607
78,0.5,0.5,0.01,4.5317552430905215,25,4.531759587500581
79,0.5,0.5,0.1,2.024579290102613,25,2.024589014476123
80,0.5,0.5,1.0,0.70383362653342,25,0.7038615982309204
81,0.5,0.5,2.0,1.2084944124536572,25,1.2085107035341929
82,0.5,0.5,4.0,1.2870737724759989,25,1.287089068953893
83,0.5,0.5,8.0,1.108105705639548,25,1.1081234725859392
84,0.5,1.0,0.01,11.700328136803789,12,11.700328540878987
85,0.5,1.0,0.1,12.62864526837507,12,12.628645642747168
86,0.5,1.0,1.0,1.0143163073990513,12,1.0143209684713448
87,0.5,1.0,2.0,1.5411261775843246,12,1.5411292453459804
88,0.5,1.0,4.0,1.472606878292837,12,1.4726100887948494
89,0.5,1.0,8.0,1.1727683434349374,12,1.1727723747548489
90,0.5,2.0,0.01,27.131732196839796,6,27.131732242554257
91,0.5,2.0,0.1,30.013806653521204,6,30.013806694845936
92,0.5,2.0,1.0,1.2293539754255274,6,1.229354984339165
93,0.5,2.0,2.0,2.4054703691239405,6,2.405470884745493
94,0.5,2.0,4.0,1.8960069380490439,6,1.8960075922197968
95,0.5,2.0,8.0,1.3064763192629996,6,1.3064772686197015
96,0.9,0.1,0.01,1.6502239824106468,203,1.6510095541056855
97,0.9,0.1,0.1,0.17723724157289528,203,0.18440823036233725
98,0.9,0.1,1.0,0.42384200848125986,203,0.42689038848213523
99,0.9,0.1,2.0,1.3365522484426726,203,1.3375220627870643
100,0.9,0.1,4.0,1.418890993301058,203,1.419804566303357
101,0.9,0.1,8.0,1.1632389448455007,203,1.1643531244559246
102,0.9,0.5,0.01,10.573605298435279,25,10.573607160412363
103,0.9,0.5,0.1,3.5178073199386803,25,3.5178129165490257
104,0.9,0.5,1.0,1.739572043914647,25,1.7395833614961895
105,0.9,0.5,2.0,1.9467386721227526,25,1.9467487853247163
106,0.9,0.5,4.0,1.6207087897229482,25,1.6207209373332054
107,0.9,0.5,8.0,1.2210191529304022,25,1.2210352769055761
108,0.9,1.0,0.01,30.626380346955113,12,30.626380501325706
109,0.9,1.0,0.1,23.922033893344487,12,23.922034090978705
110,0.9,1.0,1.0,2.709132115790888,12,2.7091338609294695
111,0.9,1.0,2.0,2.5076266520326134,12,2.50762853740527
112,0.9,1.0,4.0,1.8501955462522974,12,1.8501981015547597
113,0.9,1.0,8.0,1.288937312774379,12,1.2889409807617405
114,0.9,2.0,0.01,76.68804780143226,6,76.68804781760574
115,0.9,2.0,0.1,67.98284122543184,6,67.98284124367633
116,0.9,2.0,1.0,4.856132897959185,6,4.856133153370743
117,0.9,2.0,2.0,4.158296444346645,6,4.158296742620823
118,0.9,2.0,4.0,2.381833958549126,6,2.3818344792875092
119,0.9,2.0,8.0,1.428571293719537,6,1.428572161938105
