,MSE
0,0.9131871399886581
1,0.9067977018478843
2,0.9032361524423697
3,0.9016348041720608
4,0.9015957370171823
5,0.9012561429972527
6,0.9014211285886761
7,0.9025890076956418
8,0.902777494343494
9,0.9031543655108997
10,0.9011803627014939
11,0.8986881217499784
12,0.8925389550241434
13,0.8847931652453015
14,0.8728548718546818
15,0.8599551607626187
16,0.8462552397114059
17,0.8330113491263527
18,0.8229380626421912
19,0.8162125732666015
20,0.8106761343638709
21,0.8069616376390014
22,0.8042524546482281
23,0.8025885664580423
24,0.8040671047424914
25,0.8047527890539564
26,0.8061663045387446
27,0.80554698523066
28,0.8037104512050481
29,0.8004382175643572
30,0.7965462684231082
31,0.7900672810154852
32,0.7809019242593133
33,0.7702344536136421
34,0.7605028100060993
35,0.753388815378829
36,0.7462474110985323
37,0.7418072368797765
38,0.737531318241179
39,0.7323613560911184
40,0.7236337221058519
41,0.7118780670312559
42,0.6994280915845029
43,0.6802301106662202
44,0.6626534183443827
45,0.64438672732042
46,0.6274011352478165
47,0.6128670637707279
48,0.5984686114957082
49,0.5862753743575267
50,0.5754084913124838
51,0.5660683653159523
52,0.5587861598209782
53,0.5494096918593764
54,0.5421015350189821
55,0.5351671496206084
56,0.5290549708092104
57,0.5237301668865512
58,0.5185892099418823
59,0.5132484023645114
60,0.5076924933317173
61,0.5004931328684148
62,0.49390540592196563
63,0.48449964910941323
64,0.4760941900008415
65,0.4663220348847164
66,0.45722812650163636
67,0.4475042722163878
68,0.43903003910162663
69,0.4303869287564301
70,0.4224619761927633
71,0.4160438974025137
72,0.41078876681997034
73,0.4056312971519526
74,0.40147057993004526
75,0.3983854650403198
76,0.39614768489241614
77,0.39425377480794654
78,0.3928810259542809
79,0.391986234411708
80,0.3914618208275626
81,0.39122613497745545
82,0.3912213093262768
83,0.3913980675356489
84,0.39174440494879803
85,0.3922597553706524
86,0.3929566263077905
87,0.3938647156125242
88,0.39498845205141464
89,0.3961932987719438
90,0.3976240182639098
91,0.39920734277937286
92,0.40123529576766925
93,0.40386682692616344
94,0.4067876337019224
95,0.4101742088296653
96,0.41448408283432436
97,0.41872342462228856
98,0.422737688271153
99,0.4279290435511274
100,0.4321912931231218
101,0.4368851253030347
102,0.44011967833075
103,0.4438313818310338
104,0.44698867521872054
105,0.4493665746738279
106,0.45259209281343793
107,0.45397677221040317
108,0.4562459828831187
