,MSE
0,0.8052122616955444
1,0.779837636088651
2,0.7637464753362884
3,0.7536729433671463
4,0.7471646536831874
5,0.7427531122018933
6,0.7397750286521748
7,0.7377827490040568
8,0.7363330097078752
9,0.7352235045737731
10,0.7344050876207999
11,0.7337840154178665
12,0.7334194041169183
13,0.7333732767789476
14,0.7337006009818277
15,0.7343109603975898
16,0.734850039804931
17,0.7352269097563421
18,0.7349498259042423
19,0.7343337948736371
20,0.7338887019928044
21,0.732912948163385
22,0.7308276803916649
23,0.7288041270905373
24,0.7290879514734278
25,0.7290148467500774
26,0.7301810828727363
27,0.7299188789418902
28,0.7292796171324357
29,0.7275175754323112
30,0.7254994492117297
31,0.72125531131205
32,0.714571751020545
33,0.7073150614600988
34,0.7010470489298904
35,0.698015284381206
36,0.6948420892650612
37,0.694098553161586
38,0.69323711939907
39,0.6918626889147955
40,0.6868571583776883
41,0.6785374965666721
42,0.6700728122060777
43,0.6539668841586055
44,0.639459563540425
45,0.6233760168330801
46,0.6078881655927051
47,0.5943816256634918
48,0.580691416063646
49,0.5692467665585572
50,0.5590866883430651
51,0.5507232064328935
52,0.5445147922119259
53,0.5367214565157569
54,0.5309282294162715
55,0.5255706782832342
56,0.5211641739980429
57,0.5172296399547086
58,0.5132577238580469
59,0.5088499406346871
60,0.5039760336615364
61,0.49725686741211816
62,0.49099474467037635
63,0.4817971396374934
64,0.47351535081698637
65,0.46380704421177626
66,0.4547359320581975
67,0.4450069650193872
68,0.436511532211022
69,0.42783803133838016
70,0.41987943764225527
71,0.41342804341370076
72,0.40814214305953056
73,0.40295746428890405
74,0.39877381291802905
75,0.3956703316242118
76,0.3934185694507893
77,0.39151465960891946
78,0.3901355707914592
79,0.38923774361831565
80,0.3887132905302908
81,0.3884803569030781
82,0.3884810039648909
83,0.38866946897231114
84,0.38903198792311544
85,0.38956781991933254
86,0.3902903713309178
87,0.3912305683272083
88,0.3923919167529497
89,0.3936365528920358
90,0.3951148559761651
91,0.3967443563063642
92,0.3988270038703532
93,0.40152335064430894
94,0.4045025480100117
95,0.4079442998181891
96,0.41231247551688366
97,0.4165707147517632
98,0.420570527994938
99,0.4257402884879818
100,0.42991102469358206
101,0.4344983475351325
102,0.4375878261961663
103,0.4411100051132186
104,0.4440368273988416
105,0.446157840362836
106,0.4490777818220091
107,0.4501811692265108
108,0.45214998913032795
109,0.4537901896748865
110,0.4549607263908754
111,0.45212580368164335
112,0.45308008558144014
113,0.45201091035845553
114,0.4507384683604389
115,0.4492386463095892
116,0.447284102462542
117,0.44488830625746906
118,0.4419388642261867
119,0.4389298880542391
120,0.43679794653390097
121,0.4345236720111072
122,0.43363852019342053
123,0.43239696750818024
124,0.43158333172777225
125,0.4316861878187123
126,0.4263491288908091
127,0.4227824999623231
128,0.41739836086627474
129,0.4099629582251622
130,0.40073350854900514
131,0.3908352210905021
132,0.3807165963995642
133,0.37119756471127996
134,0.36262099441942836
135,0.35492515079079623
136,0.3440674125426198
137,0.33519438362203574
138,0.326611457451354
139,0.3196226069815679
140,0.31161356383563993
141,0.3052572167534223
142,0.2998456407721402
143,0.2938892487473815
144,0.28885956984728334
145,0.28370774362296336
146,0.27889724243552677
147,0.27474467581985573
148,0.27096263501668916
149,0.26736704000877665
150,0.26407564390636523
151,0.2602897582231532
152,0.2565517589061859
153,0.2523611930494248
154,0.24742474245103965
155,0.24315382765160337
156,0.2379175816556136
157,0.23296861883655415
158,0.22883324982543532
159,0.22511557085355094
160,0.2214893793075404
161,0.218588867881235
162,0.21624458930161305
163,0.2144762950468396
164,0.21316693263454312
165,0.21221825612469192
166,0.211551758916805
167,0.21100659709559189
168,0.21066456354427732
169,0.21044288128353833
170,0.21034180077132147
171,0.21038892879385565
172,0.21059521537200884
173,0.2108387716058603
174,0.2112484048847107
175,0.21214296763768095
176,0.2132131003349718
177,0.2147788423971383
178,0.21574586720777333
179,0.2155895732195418
180,0.21311277484099764
181,0.2073643702921442
182,0.198126038430819
183,0.19124246353673835
184,0.1890919754388086
185,0.1891783977771739
186,0.18953241359202816
187,0.18997376990340772
188,0.19026293179603876
189,0.19054778424491858
190,0.19083391588135049
191,0.1909922108696941
192,0.19105809473706525
193,0.19072052987977814
194,0.1886041742493695
195,0.18752056816749046
196,0.18703808133292113
197,0.18687833577603838
198,0.18609548854363117
199,0.18386886327865362
200,0.17973062659616146
201,0.17561990971722397
202,0.17323674275215953
203,0.19027906836243672
204,0.17760441612658032
205,0.1712802026361319
206,0.17176063453538382
207,0.172540619041142
208,0.17372495024912468
209,0.17571884389358805
210,0.17820246413149132
211,0.18055807089678377
212,0.18334860791507196
213,0.18675351599295037
214,0.18989263352181723
215,0.19221570145714056
216,0.19516927079941607
217,0.19737575163700516
218,0.19845814946946597
219,0.19880395263377088
220,0.1992855713001227
221,0.19740100710386227
222,0.1953153956342602
223,0.19067153693799366
224,0.18600970560865465
225,0.18051188642653762
226,0.17629677309248032
227,0.1684344787645713
228,0.16566425454678135
229,0.16410796230854996
230,0.1628142548375686
231,0.1617578545531941
232,0.16164913497665975
233,0.16017421017796524
234,0.15912075981411317
235,0.1582758362485154
236,0.15753754646275678
237,0.15699333960926234
238,0.15644589743702722
239,0.15574179797596932
240,0.15504958070087346
241,0.15394049467069598
242,0.15276505463188303
243,0.15091656994500977
244,0.1489422068183077
245,0.14629663383221259
246,0.1429852205371515
247,0.13994052902049156
248,0.1356869480114708
249,0.13147830795427723
250,0.12790485413251332
251,0.12396732472746438
252,0.12086205266901355
253,0.11808180729717341
254,0.11598428519287797
255,0.11403886448641193
256,0.11263658036007552
257,0.1116510653409314
258,0.11097029532615
259,0.11052744612148402
260,0.11026742849392984
261,0.11012990613554446
262,0.11006294093020201
263,0.11004627762519885
264,0.11008820150739959
265,0.11019879398745537
266,0.11039710886577941
267,0.1107220772034932
268,0.10678507742338965
269,0.10706661688407554
270,0.10757996990356233
271,0.10842915734665187
272,0.10911122964253334
273,0.10941735516795334
274,0.11011501597858614
275,0.10949383856671957
276,0.10940515593762827
277,0.10851121338389629
278,0.1068205895064797
279,0.10557346012004624
280,0.10338975419428909
281,0.10117636734364037
282,0.09960037366466386
283,0.09580875109283049
284,0.09391938653547723
285,0.09273313719673575
286,0.09208415696454758
287,0.09180841340102837
288,0.09176695957508689
289,0.0919287885772211
290,0.09190557069524209
291,0.09190022027138309
292,0.0917514531267684
293,0.09126033938832508
294,0.0910119299705442
295,0.08997116049437277
296,0.0892388398088984
297,0.0884145273533936
298,0.08740694249453963
299,0.08675114423880123
300,0.08561467387322648
301,0.0850605323932282
