,eta,epsilon,sigma_init,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.05,0.1,0.1,0.001,2,0.5383108141541956,1392,0.641055491073396
1,0.05,0.1,0.1,0.001,5,0.5387858136447788,1392,0.6414544122421066
2,0.05,0.1,0.1,0.001,10,0.539763046397118,1392,0.6422754520109712
3,0.05,0.1,0.1,0.001,20,0.5425498914048872,1392,0.6446192633356956
4,0.05,0.1,0.1,0.1,2,0.2609802996942582,1392,0.4350681864127792
5,0.05,0.1,0.1,0.1,5,0.2633057225297139,1392,0.4364670818250727
6,0.05,0.1,0.1,0.1,10,0.2669932319609573,1392,0.43870148838698686
7,0.05,0.1,0.1,0.1,20,0.27353699609735904,1392,0.44271446580608437
8,0.05,0.1,0.1,0.1,2,0.2609802996942582,1392,0.4350681864127792
9,0.05,0.1,0.1,0.1,5,0.2633057225297139,1392,0.4364670818250727
10,0.05,0.1,0.1,0.1,10,0.2669932319609573,1392,0.43870148838698686
11,0.05,0.1,0.1,0.1,20,0.27353699609735904,1392,0.44271446580608437
12,0.05,0.1,0.1,1.0,2,0.14579839936862785,1392,0.37740003081406065
13,0.05,0.1,0.1,1.0,5,0.14614710339175827,1392,0.37753488028234067
14,0.05,0.1,0.1,1.0,10,0.1417304496752339,1392,0.37584721678515065
15,0.05,0.1,0.1,1.0,20,0.1438950171785427,1392,0.37666880142747833
16,0.05,0.1,1.0,0.001,2,0.2117892329607968,1392,0.4074656908233167
17,0.05,0.1,1.0,0.001,5,0.21178957429925652,1392,0.40746586824157466
18,0.05,0.1,1.0,0.001,10,0.21179000608923246,1392,0.40746609267431955
19,0.05,0.1,1.0,0.001,20,0.21179065210613449,1392,0.4074664284570469
20,0.05,0.1,1.0,0.1,2,0.1657847812155119,1392,0.38556219171837264
21,0.05,0.1,1.0,0.1,5,0.1658116610370696,1392,0.385573750320055
22,0.05,0.1,1.0,0.1,10,0.16583224073051075,1392,0.3855826008337281
23,0.05,0.1,1.0,0.1,20,0.16586934686475666,1392,0.38559856097934414
24,0.05,0.1,1.0,0.1,2,0.1657847812155119,1392,0.38556219171837264
25,0.05,0.1,1.0,0.1,5,0.1658116610370696,1392,0.385573750320055
26,0.05,0.1,1.0,0.1,10,0.16583224073051075,1392,0.3855826008337281
27,0.05,0.1,1.0,0.1,20,0.16586934686475666,1392,0.38559856097934414
28,0.05,0.1,1.0,1.0,2,0.13324238383986067,1392,0.37272931579274626
29,0.05,0.1,1.0,1.0,5,0.13329769156665866,1392,0.3727490906454368
30,0.05,0.1,1.0,1.0,10,0.13334281704559853,1392,0.37276523021555535
31,0.05,0.1,1.0,1.0,20,0.13342959084100878,1392,0.3727962791016013
32,0.05,0.1,2.0,0.001,2,0.11968127220025404,1392,0.3680994660624643
33,0.05,0.1,2.0,0.001,5,0.11968127850196604,1392,0.3680994681113587
34,0.05,0.1,2.0,0.001,10,0.11968128799249236,1392,0.36809947119704195
35,0.05,0.1,2.0,0.001,20,0.11968129462079793,1392,0.3680994733521229
36,0.05,0.1,2.0,0.1,2,0.11588358223959186,1392,0.36688228988693394
37,0.05,0.1,2.0,0.1,5,0.1158841600792242,1392,0.3668824724039938
38,0.05,0.1,2.0,0.1,10,0.11588503979637324,1392,0.3668827502739902
39,0.05,0.1,2.0,0.1,20,0.11588567508437182,1392,0.36688295093907075
40,0.05,0.1,2.0,0.1,2,0.11588358223959186,1392,0.36688228988693394
41,0.05,0.1,2.0,0.1,5,0.1158841600792242,1392,0.3668824724039938
42,0.05,0.1,2.0,0.1,10,0.11588503979637324,1392,0.3668827502739902
43,0.05,0.1,2.0,0.1,20,0.11588567508437182,1392,0.36688295093907075
44,0.05,0.1,2.0,1.0,2,0.10921014843221673,1392,0.36482936630784923
45,0.05,0.1,2.0,1.0,5,0.10921522651164353,1392,0.3648308864419097
46,0.05,0.1,2.0,1.0,10,0.10922132596765093,1392,0.36483271241232174
