,eta,epsilon,sigma_init,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.05,0.1,0.1,0.001,2,0.1042976681371119,358,0.1374671090800964
1,0.05,0.1,0.1,0.001,5,0.10464748606925131,358,0.13773270795498846
2,0.05,0.1,0.1,0.001,10,0.10537195515315378,358,0.13828395218823566
3,0.05,0.1,0.1,0.001,20,0.10750000712554034,358,0.13991230836488697
4,0.05,0.1,0.1,0.1,2,0.025673872215525462,358,0.09315766320888007
5,0.05,0.1,0.1,0.1,5,0.02557703918287423,358,0.09313102293737721
6,0.05,0.1,0.1,0.1,10,0.02539872418168896,358,0.09308220931014427
7,0.05,0.1,0.1,0.1,20,0.025591362168071074,358,0.09313495754880322
8,0.05,0.1,0.1,0.1,2,0.025673872215525462,358,0.09315766320888007
9,0.05,0.1,0.1,0.1,5,0.02557703918287423,358,0.09313102293737721
10,0.05,0.1,0.1,0.1,10,0.02539872418168896,358,0.09308220931014427
11,0.05,0.1,0.1,0.1,20,0.025591362168071074,358,0.09313495754880322
12,0.05,0.1,0.1,1.0,2,0.02595288488294057,358,0.09323494373756634
13,0.05,0.1,0.1,1.0,5,0.03926067969921832,358,0.09777833845205497
14,0.05,0.1,0.1,1.0,10,0.04050645229065232,358,0.09828517272292342
15,0.05,0.1,0.1,1.0,20,0.06211176984542235,358,0.10898199141753061
16,0.05,0.1,1.0,0.001,2,0.019238400241750053,358,0.09159322324201592
17,0.05,0.1,1.0,0.001,5,0.019238361468243176,358,0.0915932150979688
18,0.05,0.1,1.0,0.001,10,0.019238336548983888,358,0.09159320986389749
19,0.05,0.1,1.0,0.001,20,0.019238255720244502,358,0.09159319288657601
20,0.05,0.1,1.0,0.1,2,0.019424081227961038,358,0.09163240382937919
21,0.05,0.1,1.0,0.1,5,0.019420619433367477,358,0.09163167006649878
22,0.05,0.1,1.0,0.1,10,0.01941829573949114,358,0.09163117760580368
23,0.05,0.1,1.0,0.1,20,0.01941054043169827,358,0.09162953442995654
24,0.05,0.1,1.0,0.1,2,0.019424081227961038,358,0.09163240382937919
25,0.05,0.1,1.0,0.1,5,0.019420619433367477,358,0.09163167006649878
26,0.05,0.1,1.0,0.1,10,0.01941829573949114,358,0.09163117760580368
27,0.05,0.1,1.0,0.1,20,0.01941054043169827,358,0.09162953442995654
28,0.05,0.1,1.0,1.0,2,0.021991213426916574,358,0.09221071503891613
29,0.05,0.1,1.0,1.0,5,0.021981138842972158,358,0.09220831288356825
30,0.05,0.1,1.0,1.0,10,0.021974158489029248,358,0.09220664911654133
31,0.05,0.1,1.0,1.0,20,0.02186219461734053,358,0.09218003066546719
32,0.05,0.1,2.0,0.001,2,0.02123638359744125,358,0.09203361607748371
33,0.05,0.1,2.0,0.001,5,0.02123638076156454,358,0.09203361542311671
34,0.05,0.1,2.0,0.001,10,0.021236379345191687,358,0.09203361509629447
35,0.05,0.1,2.0,0.001,20,0.02123638051019413,358,0.09203361536511401
36,0.05,0.1,2.0,0.1,2,0.021254188825305668,358,0.09203772619215311
37,0.05,0.1,2.0,0.1,5,0.021253904786027875,358,0.09203766059963463
38,0.05,0.1,2.0,0.1,10,0.02125376223157075,358,0.09203762768018384
39,0.05,0.1,2.0,0.1,20,0.021253870168126875,358,0.09203765260546137
40,0.05,0.1,2.0,0.1,2,0.021254188825305668,358,0.09203772619215311
41,0.05,0.1,2.0,0.1,5,0.021253904786027875,358,0.09203766059963463
42,0.05,0.1,2.0,0.1,10,0.02125376223157075,358,0.09203762768018384
43,0.05,0.1,2.0,0.1,20,0.021253870168126875,358,0.09203765260546137
44,0.05,0.1,2.0,1.0,2,0.021414844824197237,358,0.09207495902168214
45,0.05,0.1,2.0,1.0,5,0.02141192754596451,358,0.092074280563215
46,0.05,0.1,2.0,1.0,10,0.021410408175055434,358,0.0920739272444837
47,0.05,0.1,2.0,1.0,20,0.021410788787771064,358,0.09207401575099536
48,0.05,0.5,0.1,0.001,2,0.6271695498627194,57,0.6273325547705986
49,0.05,0.5,0.1,0.001,5,0.6271882772703703,57,0.6273512773123004
50,0.05,0.5,0.1,0.001,10,0.6272146141842794,57,0.6273776073835712
51,0.05,0.5,0.1,0.001,20,0.6272623581829263,57,0.6274253389792332
52,0.05,0.5,0.1,0.1,2,0.6068714663288988,57,0.6070399217878406
53,0.05,0.5,0.1,0.1,5,0.609672423291284,57,0.6098401050454673
54,0.05,0.5,0.1,0.1,10,0.6133355953206827,57,0.613502275861611
55,0.05,0.5,0.1,0.1,20,0.6199230431033259,57,0.6200879529312661
56,0.05,0.5,0.1,0.1,2,0.6068714663288988,57,0.6070399217878406
57,0.05,0.5,0.1,0.1,5,0.609672423291284,57,0.6098401050454673
58,0.05,0.5,0.1,0.1,10,0.6133355953206827,57,0.613502275861611
