,eta,epsilon,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.05,0.1,0.1,5,1.0150279600468808,85,1.0152519467117176
1,0.05,0.1,0.1,10,0.7343768061434304,108,0.7348803531197616
2,0.05,0.1,0.1,15,1.4240790620200374,108,1.4243364176025515
3,0.05,0.1,0.1,20,1.199319170661569,161,1.199994389827033
4,0.05,0.1,0.5,5,0.9349683897951884,185,0.9361202756810726
5,0.05,0.1,0.5,10,1.000912512793035,372,1.0052307266944576
6,0.05,0.1,0.5,15,1.0622152038725095,485,1.0691272281458912
7,0.05,0.1,0.5,20,1.7220118938809332,435,1.7254502972535601
8,0.05,0.1,1.0,5,5.6374142563587935,888,5.641788636010956
9,0.05,0.1,1.0,10,1.1027067159027537,1555,1.1692921806789935
10,0.05,0.1,1.0,15,4.333636990052279,1709,4.35465945306569
11,0.05,0.1,1.0,20,1.636697793993207,1464,1.6771539855845767
12,0.05,0.1,1.5,5,0.8843850553184666,3228,1.1973926368136925
13,0.05,0.1,1.5,10,1.312374741533814,3217,1.539242075776564
14,0.05,0.1,1.5,15,0.4076154350874118,3466,0.9575868592046887
15,0.05,0.1,1.5,20,1.0376242190807514,3604,1.3742635029891244
16,0.05,0.5,0.1,5,0.35670008145503823,44,0.3568711961058652
17,0.05,0.5,0.1,10,0.45423493923405384,53,0.4544310756550047
18,0.05,0.5,0.1,15,0.2933693557722114,54,0.2936855793722299
19,0.05,0.5,0.1,20,0.3414011316936822,62,0.34175735942584606
20,0.05,0.5,0.5,5,0.6341882446348716,47,0.634300821482252
21,0.05,0.5,0.5,10,1.3769913484401697,83,1.3771476813250918
22,0.05,0.5,0.5,15,0.8192818837148584,64,0.819439571053514
23,0.05,0.5,0.5,20,0.3274842454461981,69,0.3279435218379313
24,0.05,0.5,1.0,5,1.0351687944217924,397,1.0399325764537175
25,0.05,0.5,1.0,10,0.5988612801338327,406,0.6074186306358513
26,0.05,0.5,1.0,15,1.5377999952734647,471,1.542305308770954
27,0.05,0.5,1.0,20,4.985551570573693,512,4.987196373562487
28,0.05,0.5,1.5,5,0.7009215824287228,1623,0.8099290063575849
29,0.05,0.5,1.5,10,0.893896826969288,1964,1.0198809184854676
30,0.05,0.5,1.5,15,0.9002042565260332,1983,1.0277690932756192
31,0.05,0.5,1.5,20,0.6432624207533435,2252,0.8549082710755883
32,0.05,1.0,0.1,5,1.254304331901652,27,1.254323173130533
33,0.05,1.0,0.1,10,1.510964607010773,33,1.5109882349440116
34,0.05,1.0,0.1,15,0.32096207412064426,36,0.32109461790697447
35,0.05,1.0,0.1,20,0.14808815124706404,38,0.14840061039218577
