,eta,epsilon,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.05,0.1,0.1,5,1.0385484280232518,64,1.0386728276866433
1,0.05,0.1,0.1,10,0.8598002761401358,96,0.8601386693293435
2,0.05,0.1,0.1,15,0.5231304657707574,97,0.5236933834244324
3,0.05,0.1,0.1,20,0.5159336045440612,116,0.516750797578318
4,0.05,0.1,0.5,5,0.0928279770066007,76,0.094757500706477
5,0.05,0.1,0.5,10,0.34218734439119636,136,0.34387975265563286
6,0.05,0.1,0.5,15,0.6007130405062396,143,0.6017773738345861
7,0.05,0.1,0.5,20,0.7076773422302303,162,0.7088424446455238
8,0.05,0.1,1.0,5,0.4057623391601023,112,0.4067307197405648
9,0.05,0.1,1.0,10,0.6961004165312122,168,0.6973783979267835
10,0.05,0.1,1.0,15,0.2510634174661771,257,0.25919764700860215
11,0.05,0.1,1.0,20,1.5781437051715892,311,1.580060250171718
12,0.05,0.1,1.5,5,0.06485173773989922,1331,0.3391580131559398
13,0.05,0.1,1.5,10,0.06602640550874547,906,0.2360234018575389
14,0.05,0.1,1.5,15,0.03794285879965398,1183,0.29822357474534184
15,0.05,0.1,1.5,20,0.043276619633822094,1161,0.29365637794355925
16,0.05,0.5,0.1,5,0.09088880142632146,22,0.09106269735579599
17,0.05,0.5,0.1,10,0.12119503691508085,24,0.12134346695577726
18,0.05,0.5,0.1,15,0.09448208181758964,31,0.0948159600731106
19,0.05,0.5,0.1,20,0.10476241839604614,39,0.10522915141817037
20,0.05,0.5,0.5,5,0.20884061404126714,18,0.20889405855153828
21,0.05,0.5,0.5,10,0.2078037761865293,22,0.20787721140707355
22,0.05,0.5,0.5,15,0.13211993853812368,27,0.1323012992540798
23,0.05,0.5,0.5,20,0.23342563268566616,33,0.23357762439862156
24,0.05,0.5,1.0,5,0.4029540755040652,23,0.40299509856242155
25,0.05,0.5,1.0,10,0.30847651529356335,29,0.308562288869946
26,0.05,0.5,1.0,15,0.13600040021389784,40,0.13637677398787662
27,0.05,0.5,1.0,20,0.1499951147284388,44,0.15040711441749527
28,0.05,0.5,1.5,5,0.04565371065217681,230,0.07359644639051999
29,0.05,0.5,1.5,10,0.05837266935467612,396,0.11494920248783957
30,0.05,0.5,1.5,15,0.07895366303965563,453,0.1381782939081949
31,0.05,0.5,1.5,20,0.26971554410451287,553,0.30310619381925114
32,0.05,1.0,0.1,5,0.048424348305204694,12,0.04852832300609389
33,0.05,1.0,0.1,10,0.04175099028554653,16,0.041942164820426245
34,0.05,1.0,0.1,15,0.040890314538925124,18,0.041151044313507176
35,0.05,1.0,0.1,20,0.04107656559329119,18,0.0413305560807008
36,0.05,1.0,0.5,5,0.16285363499891936,9,0.16287206308130703
37,0.05,1.0,0.5,10,0.03050015279084111,13,0.030694654587804907
38,0.05,1.0,0.5,15,0.044411164574704176,16,0.044602322404572826
39,0.05,1.0,0.5,20,0.042450932558852725,17,0.0426631477403656
40,0.05,1.0,1.0,5,0.0683653240405899,14,0.06845743225665755
41,0.05,1.0,1.0,10,0.04813676422712069,17,0.0483420166134741
42,0.05,1.0,1.0,15,0.08854309412401748,17,0.0886548476793831
43,0.05,1.0,1.0,20,0.04379602526044618,17,0.044001753699297486
44,0.05,1.0,1.5,5,0.07146543196037175,242,0.09365139395803206
45,0.05,1.0,1.5,10,0.18448709033128308,179,0.18984279581775812
46,0.05,1.0,1.5,15,0.07383762369163582,420,0.12850593487239265
47,0.05,1.0,1.5,20,0.04031749009916537,17,0.04055687374411762
48,0.05,2.0,0.1,5,0.0685403483086475,6,0.06856081221274088
49,0.05,2.0,0.1,10,0.05973511114932269,7,0.059763751589252956
50,0.05,2.0,0.1,15,0.05973511114932269,7,0.059763751589252956
51,0.05,2.0,0.1,20,0.05973511114932269,7,0.059763751589252956
52,0.05,2.0,0.5,5,0.07270567525589625,5,0.07272063558176485
53,0.05,2.0,0.5,10,0.05973511114932269,7,0.059763751589252956
54,0.05,2.0,0.5,15,0.05973511114932269,7,0.059763751589252956
55,0.05,2.0,0.5,20,0.05973511114932269,7,0.059763751589252956
56,0.05,2.0,1.0,5,0.0633801318805389,6,0.06339787943767916
57,0.05,2.0,1.0,10,0.05973511114932269,7,0.059763751589252956
58,0.05,2.0,1.0,15,0.05973511114932269,7,0.059763751589252956
59,0.05,2.0,1.0,20,0.05973511114932269,7,0.059763751589252956
60,0.05,2.0,1.5,5,0.061661787781607205,7,0.061691053422874564
61,0.05,2.0,1.5,10,0.05973511114932269,7,0.059763751589252956
62,0.05,2.0,1.5,15,0.05973511114932269,7,0.059763751589252956
63,0.05,2.0,1.5,20,0.05973511114932269,7,0.059763751589252956
64,0.1,0.1,0.1,5,2.0600628641992857,50,2.060100939293501
65,0.1,0.1,0.1,10,0.8345454812032889,75,0.8347560857501004
66,0.1,0.1,0.1,15,0.9962145841636421,88,0.9964613531519113
67,0.1,0.1,0.1,20,1.2768157939230245,116,1.277146791577336
68,0.1,0.1,0.5,5,1.4064753660824678,83,1.4066306428472302
69,0.1,0.1,0.5,10,1.4901221940378182,109,1.4903736255681261
70,0.1,0.1,0.5,15,0.8646593451486243,124,0.8652175673076962
71,0.1,0.1,0.5,20,0.5063092843615538,173,0.5081531795932293
72,0.1,0.1,1.0,5,0.782820662252368,98,0.783204740073907
73,0.1,0.1,1.0,10,0.6706768550034364,276,0.674224591261918
74,0.1,0.1,1.0,15,1.6656494730792286,276,1.6670852850991493
75,0.1,0.1,1.0,20,2.052595264043964,635,2.0587327753925986
76,0.1,0.1,1.5,5,0.21709231769673476,1875,0.5167622053739418
77,0.1,0.1,1.5,10,0.5941262403317777,1918,0.7635928856896018
78,0.1,0.1,1.5,15,0.4154869970057669,2187,0.6868253451066509
79,0.1,0.1,1.5,20,0.09986736957003356,1778,0.4556294481317441
80,0.1,0.5,0.1,5,0.34167402591338786,21,0.34171709147899293
81,0.1,0.5,0.1,10,0.27436856955060784,23,0.2744298671013174
82,0.1,0.5,0.1,15,0.2336629054446751,33,0.23381294661726323
83,0.1,0.5,0.1,20,0.39280419809804873,41,0.3929411898343709
84,0.1,0.5,0.5,5,0.21721491376057506,21,0.21728078898055866
85,0.1,0.5,0.5,10,0.1655861652982042,22,0.16568424227476855
86,0.1,0.5,0.5,15,0.41257469703617006,25,0.41262356105109593
87,0.1,0.5,0.5,20,0.2705998547498586,32,0.2707248271135187
88,0.1,0.5,1.0,5,0.41667198082736245,36,0.41676916825336047
89,0.1,0.5,1.0,10,0.16094810919188024,36,0.16120375143724602
90,0.1,0.5,1.0,15,0.6335646106627728,37,0.6336350829809464
91,0.1,0.5,1.0,20,0.10727840334426635,53,0.10809663014680475
92,0.1,0.5,1.5,5,0.3977156692492872,813,0.44673219725738195
93,0.1,0.5,1.5,10,0.18486088624302477,421,0.2128344964698076
94,0.1,0.5,1.5,15,0.07181556269634704,1016,0.2641738550091453
95,0.1,0.5,1.5,20,0.04221283951943572,1952,0.4898472460321622
96,0.1,1.0,0.1,5,0.08876176985523547,12,0.08881764626375656
97,0.1,1.0,0.1,10,0.053417990931208095,16,0.05357130066674348
98,0.1,1.0,0.1,15,0.05507078304913966,18,0.05527311073791132
99,0.1,1.0,0.1,20,0.05617467990550281,18,0.05637095584151205
100,0.1,1.0,0.5,5,0.42097086656495397,11,0.420980345291141
101,0.1,1.0,0.5,10,0.08197124506043074,14,0.08205025909012836
102,0.1,1.0,0.5,15,0.11030052773190799,16,0.11037303301956236
103,0.1,1.0,0.5,20,0.06209793409569906,17,0.06224319978080966
104,0.1,1.0,1.0,5,0.18397225474730852,14,0.18400895668909323
105,0.1,1.0,1.0,10,0.07275450649882485,18,0.07289820876323058
106,0.1,1.0,1.0,15,0.08947163816902622,20,0.08961404207293157
107,0.1,1.0,1.0,20,0.06025304212322909,17,0.06040450902129426
108,0.1,1.0,1.5,5,0.036337610714832866,316,0.08709273478576005
109,0.1,1.0,1.5,10,0.17729878251354134,606,0.2332754129366917
110,0.1,1.0,1.5,15,0.09895008962018362,382,0.13760545360138302
111,0.1,1.0,1.5,20,0.05708361378411968,27,0.05750212680983668
112,0.1,2.0,0.1,5,0.0883797379393795,6,0.08839560907213319
113,0.1,2.0,0.1,10,0.07513061909926105,7,0.07515339264622888
114,0.1,2.0,0.1,15,0.07513061909926105,7,0.07515339264622888
115,0.1,2.0,0.1,20,0.07513061909926105,7,0.07515339264622888
116,0.1,2.0,0.5,5,0.12020777935917135,5,0.12021682845368706
117,0.1,2.0,0.5,10,0.07513061909926105,7,0.07515339264622888
118,0.1,2.0,0.5,15,0.07513061909926105,7,0.07515339264622888
119,0.1,2.0,0.5,20,0.07513061909926105,7,0.07515339264622888
120,0.1,2.0,1.0,5,0.0966140714583012,6,0.09662571502322624
121,0.1,2.0,1.0,10,0.07513061909926105,7,0.07515339264622888
122,0.1,2.0,1.0,15,0.07513061909926105,7,0.07515339264622888
123,0.1,2.0,1.0,20,0.07513061909926105,7,0.07515339264622888
124,0.1,2.0,1.5,5,0.07744695887022619,7,0.07747026163791179
125,0.1,2.0,1.5,10,0.07513061909926105,7,0.07515339264622888
126,0.1,2.0,1.5,15,0.07513061909926105,7,0.07515339264622888
127,0.1,2.0,1.5,20,0.07513061909926105,7,0.07515339264622888
128,0.3,0.1,0.1,5,3.1131623078363657,50,3.1131883143423957
129,0.3,0.1,0.1,10,3.4798740525466947,70,3.479919194063672
130,0.3,0.1,0.1,15,2.70062099551001,96,2.7007278578217533
131,0.3,0.1,0.1,20,1.4164447807255962,107,1.4167001894701583
132,0.3,0.1,0.5,5,1.310429338382077,105,1.3106952395169855
133,0.3,0.1,0.5,10,1.4702674223377852,102,1.4704898414517509
134,0.3,0.1,0.5,15,1.458841119519916,108,1.4590928078782797
135,0.3,0.1,0.5,20,3.3960650357834234,178,3.39635722941075
136,0.3,0.1,1.0,5,1.5292017913311844,127,1.529533959817664
137,0.3,0.1,1.0,10,18.73033829436843,310,18.730499457074934
138,0.3,0.1,1.0,15,15.960190303358385,325,15.96039813481841
139,0.3,0.1,1.0,20,7.738341803081828,527,7.7394649869240775
140,0.3,0.1,1.5,5,,3259,
141,0.3,0.1,1.5,10,0.0230808519469243,2870,0.7178961285252873
142,0.3,0.1,1.5,15,,3290,
