,eta,epsilon,sigma,testing_mse,CB_size,tradeOff_dist
0,0.05,0.1,0.01,0.8805886505962066,1392,0.946894915795226
1,0.05,0.1,0.1,0.8191199365854388,1392,0.8900174607903675
2,0.05,0.1,1.0,0.2127208674506602,1392,0.4079507046800647
3,0.05,0.1,2.0,0.11973800492480702,1392,0.36811791565118523
4,0.05,0.1,4.0,0.12403287067468269,1392,0.36953722817573137
5,0.05,0.1,8.0,0.04760479143781458,1392,0.3513400435017874
6,0.05,0.5,0.01,0.880757474451584,378,0.8858232830549967
7,0.05,0.5,0.1,0.8376651719918552,378,0.8429899764339694
8,0.05,0.5,1.0,0.22396778532346479,378,0.243126980943493
9,0.05,0.5,2.0,0.13060712277864855,378,0.1612680393646459
10,0.05,0.5,4.0,0.14211675391471462,378,0.17072296782581878
11,0.05,0.5,8.0,0.04877114191272585,378,0.10643206416992598
12,0.05,1.0,0.01,0.8808007479721569,168,0.8818122862907452
13,0.05,1.0,0.1,0.9130304412410739,168,0.9140063113884226
14,0.05,1.0,1.0,0.24174527919750927,168,0.24540523759545496
15,0.05,1.0,2.0,0.16372937275572877,168,0.1690865403513372
16,0.05,1.0,4.0,0.15670006583363033,168,0.16228943667800466
17,0.05,1.0,8.0,0.05058645616801523,168,0.06589340006888797
18,0.05,2.0,0.01,0.880872187093343,66,0.8810271764364648
19,0.05,2.0,0.1,1.0895117306710176,66,1.0896370436502036
20,0.05,2.0,1.0,0.2833614681902229,66,0.28384290951143853
21,0.05,2.0,2.0,0.1878085568716492,66,0.188534160456962
22,0.05,2.0,4.0,0.16221538173210376,66,0.1630549161954099
23,0.05,2.0,8.0,0.05773602721245859,66,0.06005434591499401
24,0.1,0.1,0.01,0.8804038116706181,1392,0.9467230226439797
25,0.1,0.1,0.1,0.7934119927051702,1392,0.8664157201761686
26,0.1,0.1,1.0,0.19765179312224174,1392,0.40029968938838495
27,0.1,0.1,2.0,0.16703227484941813,1392,0.3861002341897394
28,0.1,0.1,4.0,0.2186887842744484,1392,0.4110941429495636
29,0.1,0.1,8.0,0.08016380742544313,1392,0.3572112064604686
30,0.1,0.5,0.01,0.8808715925004243,378,0.8859367485742048
31,0.1,0.5,0.1,0.8713157187020121,378,0.8764361024382803
32,0.1,0.5,1.0,0.23223165926120232,378,0.2507602511627614
