,MSE
0,0.8599116964458006
1,0.8568794297243525
2,0.8862126972018618
3,0.929786260674538
4,0.9771406233252481
5,1.0252672328567853
6,1.0723900179704866
7,1.1182269740315487
8,1.1633549157971372
9,1.2053718661836585
10,1.248372876798513
11,1.29375326912362
12,1.340424112562537
13,1.392287984869044
14,1.4484409478180886
15,1.5119322395271646
16,1.5813949880977214
17,1.6508547416018486
18,1.7084552954448486
19,1.7458942222067477
20,1.7588264019184923
21,1.7479098983940857
22,1.7188414280049649
23,1.6719670010724044
24,1.601537919083827
25,1.5044716024258968
26,1.3933639791614432
27,1.2890495018871815
28,1.208347506689131
29,1.1566217738013278
30,1.127684692364125
31,1.1166952408502167
32,1.1161950051431035
33,1.12414737717442
34,1.1386959999447512
35,1.1581938623498558
36,1.1831532529098439
37,1.2148506682268436
38,1.2531279065934957
39,1.2989623706993936
40,1.3507349941379292
41,1.4070369723174485
42,1.4686381703221607
43,1.5353140574210262
44,1.6059159827704768
45,1.6810217255780782
46,1.7534449933432832
47,1.820747573150927
48,1.876033684887996
49,1.9175212046838113
50,1.946703627155178
51,1.9690496735128953
52,1.9880023482820537
53,1.9994780419007323
54,1.9966590304083454
55,1.969372193289211
56,1.9195190198899745
57,1.8575185986540574
58,1.7995708973803641
59,1.7533979326787226
60,1.7194137502698807
61,1.6956762065297692
62,1.6793027017533653
63,1.666068926555297
64,1.6534646962346826
65,1.639238469923162
66,1.622025097407746
67,1.6032479874115944
68,1.5868640360574737
69,1.5726010362890073
70,1.5608429922352751
71,1.551221653527807
72,1.5462012259776496
73,1.543821635501628
74,1.542026162319952
75,1.542593682782206
76,1.5454805222474752
77,1.5501524309196493
78,1.5563988560272408
79,1.562197699369918
80,1.5688974566245804
81,1.5788483192824068
82,1.5865832346690922
83,1.5917623615267666
84,1.591790710309581
85,1.5854726237980408
86,1.568185220910386
87,1.5470565158289515
88,1.523714346045137
89,1.4960361993342346
90,1.4650856456285397
91,1.4273477143187001
92,1.3841284663231643
93,1.3377439212605007
94,1.295760813625246
95,1.261935822702496
96,1.23767765373814
97,1.2209965861657022
98,1.2108903652779321
99,1.205335442596668
100,1.2029026983657598
101,1.2047845039827982
102,1.209581450154977
103,1.2172574997819878
104,1.2279027104042854
105,1.2415333220767577
106,1.257497662132945
107,1.2765760047436476
108,1.2983549971307073
109,1.3228600805156412
110,1.348572290511813
111,1.3760958611616958
112,1.4074803770102318
113,1.4426406061380304
114,1.482688199364252
115,1.5281738840658181
116,1.5784942180288168
117,1.6335871781522577
118,1.6934139619062105
119,1.7586324703336706
120,1.8308772252714598
121,1.9043065825465597
122,1.9716743700188732
123,2.0339223691526795
124,2.0847908472260377
125,2.1299017132174347
126,2.163367784416493
127,2.1893554594673366
128,2.20858873014256
129,2.211250604370118
130,2.1971367445917367
131,2.165894008133338
132,2.1219820818051174
133,2.0697452527525035
134,2.0174693640310983
135,1.964578089994557
136,1.9153030148713772
137,1.8629367351910637
138,1.8058963897282247
139,1.7513165141241047
140,1.7061613438282806
141,1.6708011043839952
142,1.6451670356670092
143,1.631709076550301
144,1.6270011404230165
145,1.630232078204925
146,1.6383223724919247
147,1.6490019539286442
148,1.6627129851283453
149,1.6763308593026955
150,1.688548802999522
151,1.6989562117988193
152,1.7070700778223198
153,1.7110305054839745
154,1.7108941137778726
155,1.7063740327641934
156,1.6981995601352058
157,1.687126349640776
158,1.6771469575896636
159,1.6685469510332585
160,1.6638482601172366
161,1.6627012149384026
162,1.6682329201808066
163,1.681679456038196
164,1.7034259100965432
165,1.7327321552415207
166,1.7637667551820086
167,1.8037399751163954
168,1.8523018062997427
169,1.9005835022171609
170,1.9578303636224508
171,2.0118073208306857
172,2.0671905227426786
173,2.117347393111562
174,2.1574697164219714
175,2.185120789046041
176,2.2032187346607537
177,2.216141428767061
178,2.225985426842113
179,2.23661548338633
180,2.2451790827175917
181,2.2511770914928126
182,2.252612814140378
183,2.2482252240815477
184,2.2479260788335265
185,2.257406572801391
186,2.274127329707473
187,2.30922302694184
188,2.3634189893948503
189,2.4313199676266914
190,2.5082316323847333
191,2.603563037785564
192,2.7080771125780236
193,2.8167895125632607
194,2.924101614485106
195,3.024325360113136
196,3.1054575909234603
197,3.1694642401552633
198,3.21816026194339
199,3.2475239210539195
200,3.257243937572318
201,3.251294192752849
202,3.231940810817779
203,3.202655471440001
204,3.165732496217792
205,3.121513410184511
206,3.070657684246692
207,3.0111449157392896
208,2.945719875831636
209,2.8784239970518337
210,2.813498512276005
211,2.7526487612538295
212,2.70548928646612
213,2.668027724541287
214,2.6415512216895545
215,2.6250714067700325
216,2.6181264557489916
217,2.6195380672257635
218,2.6284032675976254
219,2.6416040496570496
220,2.6559943961298162
221,2.674872534507822
222,2.6979410417402265
223,2.724260042609328
224,2.7498504207972596
225,2.7811252009061294
226,2.819592924054441
227,2.862074899293331
228,2.897692924426324
229,2.9122166567975682
230,2.9012675373256656
231,2.877256035685596
232,2.848074875490475
233,2.8172038438711535
234,2.782252817778228
235,2.7351964909931747
236,2.677288797914846
237,2.624294360742324
238,2.586701406509098
239,2.564868800340457
240,2.554593558836332
241,2.5494445989547847
242,2.5503053975693284
243,2.558156317099412
244,2.578733042363017
245,2.6094905488529365
246,2.6426780144190536
247,2.6761441690149157
248,2.7077361001742033
249,2.7357355076595518
250,2.760145986574931
251,2.7809994289982525
252,2.7977655637507977
253,2.810496152580871
254,2.818546042071882
255,2.8233476521095184
256,2.824928924941978
257,2.8229804125250615
258,2.81772768363999
259,2.8087534784096517
260,2.79939941024506
261,2.7912679320565585
262,2.7809099728015996
263,2.766632111882864
264,2.7545225563035154
265,2.752179285798678
266,2.7621027761912247
267,2.77702456139648
268,2.7992887291378485
269,2.825334021434776
270,2.8497789168473813
271,2.878625172371661
272,2.910659730667227
273,2.9437602305512165
274,2.9773494249401944
275,3.017988729265271
276,3.057829319009553
277,3.104072363939861
278,3.1428998017943117
279,3.176341495281101
280,3.2005758393472825
281,3.211212993349471
282,3.211523759703737
283,3.203066130901231
284,3.188707090540607
