,MSE
0,0.8475170644901926
1,0.780705939751317
2,0.7478620252760746
3,0.7341726341174678
4,0.7309367423511491
5,0.7328328147695082
6,0.7378884878349523
7,0.7441881006533393
8,0.7514641522308275
9,0.759313308968341
10,0.7672302635021222
11,0.7751110236422829
12,0.7821044192276692
13,0.788933928934266
14,0.7943830229071246
15,0.7994384907846908
16,0.8039230237401973
17,0.8078553464281584
18,0.8108566100816574
19,0.8116891793525106
20,0.8051922813780855
21,0.7887520750256788
22,0.7749604321272183
23,0.7651240948227915
24,0.7570647886596035
25,0.7510234077853457
26,0.7472027939397006
27,0.7462878332091429
28,0.7470939518337179
29,0.7482223537358248
30,0.7486386085937211
31,0.7479458563422995
32,0.7458808882494822
33,0.7422078556359701
34,0.7372243915703245
35,0.7325526902868248
36,0.729408774819998
37,0.7284828936120238
38,0.7292258069402988
39,0.7337739056126666
40,0.7398001880881235
41,0.7486322147652915
42,0.757126978082828
43,0.7671253595340533
44,0.7788758808723559
45,0.790988101391125
46,0.8042799224722208
47,0.8151702248016932
48,0.8229092742368771
49,0.8192218800211121
50,0.7885726374582985
51,0.7316990562586974
52,0.6859277686752498
53,0.6608866059829434
54,0.6379065822219082
55,0.6210020372177903
56,0.6130069357556271
57,0.6107175809119719
58,0.6093274971393394
59,0.606786464761077
60,0.6020750644637985
61,0.5978782275882831
62,0.5972054363524733
63,0.597411560644016
64,0.5974103718674477
65,0.5953053142114332
66,0.5919021969389897
67,0.5869467342385336
68,0.5813633747927676
69,0.5765723641941765
70,0.5716993876460499
71,0.5664758194892248
72,0.5590530350109553
73,0.549054344921922
74,0.5377972283528741
75,0.5263091869464178
76,0.5152155295445757
77,0.5057612263131269
78,0.4971906324361342
79,0.490094171984557
80,0.48399106283350923
81,0.47863867244628305
82,0.4735599702870078
83,0.46801726402836696
84,0.46081831732573697
85,0.45333080218696453
86,0.44497570194946495
87,0.43535208792995383
88,0.42616860594647943
89,0.4159027557962883
90,0.4061478802605897
91,0.39719742306559763
92,0.38920188992950194
93,0.3829340705539563
94,0.3789396091794468
95,0.3765781936918089
96,0.3749626873174294
97,0.37404641908904335
98,0.37364521199463974
99,0.37358925939313614
100,0.37315190758796557
101,0.3722466863278018
102,0.3716425498528987
103,0.3716994220201501
104,0.37272576676092056
105,0.3753982818617243
106,0.37886603776701866
107,0.3837900889600367
108,0.3891411146793096
109,0.39611099676416917
110,0.40447164064917346
111,0.4121226854941451
112,0.42128492335463286
113,0.4320742954977216
114,0.44186545201984284
115,0.4507924279296591
116,0.46116086586249727
117,0.47053432278602375
118,0.4789104016135119
119,0.4873686432728701
120,0.4958012538931619
121,0.5010933117092415
122,0.503917305467119
123,0.49877559141994576
124,0.48166762976222266
125,0.4539579293225747
126,0.4271297176304726
127,0.4135676518971823
128,0.40707628209723123
129,0.4033591902295419
130,0.3994007743502732
131,0.39478563302261693
132,0.38674026768631453
133,0.3686420087881187
134,0.3408510416482612
135,0.3335175603528675
136,0.33547864380296843
137,0.34092980389949795
138,0.3479876102319948
139,0.3567709045814397
140,0.36684260929935736
141,0.37650582435714186
142,0.3854063711075568
143,0.3935914919474358
144,0.40029670300179954
145,0.4048731121273786
146,0.4069704529850391
147,0.4066019456848129
148,0.40332022427730063
149,0.395179896073273
150,0.38245932659604126
151,0.3650301150064649
152,0.3460632221868077
153,0.32899054951490814
154,0.3156184405391127
155,0.306656233730325
156,0.3014031627090212
157,0.2984061809660892
158,0.29530000798493045
159,0.29347949606042245
160,0.2928597359697979
161,0.2919887100999773
162,0.29144331133348456
163,0.2933324921962052
164,0.2953451970471476
165,0.2989227808233964
166,0.3042772739331022
167,0.3104384637893429
168,0.318708434282714
169,0.32625565852067906
170,0.33553937255849675
171,0.341477717978545
172,0.3469064074635167
173,0.34977965781756476
174,0.3471469038505296
175,0.3355399273919741
176,0.3077322764015559
177,0.261167377544941
178,0.22266320428486233
179,0.2068109746736427
180,0.1999260273733056
181,0.19452325307017673
182,0.1907262866570457
183,0.1882245200567546
184,0.18683062653523597
185,0.1864249723275062
186,0.1870649505466933
187,0.1880052863929516
188,0.18886187919959402
189,0.18910604130931188
190,0.18916211837669705
191,0.19020395058546785
192,0.19207530938422415
193,0.1939325936289051
194,0.19459465746150412
195,0.19293086459586867
196,0.18942922903467327
197,0.185169913554094
198,0.18045038292832133
199,0.1777950316719313
200,0.17828539798228055
201,0.17597563292376034
202,0.16885856223440981
203,0.15837140769411123
204,0.14833066619769972
205,0.1448934759276189
206,0.14550914572494483
207,0.14832468894865797
208,0.15284626341674404
209,0.15859080535440165
210,0.16440564333918978
211,0.17083584714704705
212,0.17818664181817398
213,0.1845614851797233
214,0.1924221903298589
215,0.20113994928528448
216,0.20956261698295792
217,0.21937541129741828
218,0.2280670727190494
219,0.23778928547130987
220,0.24656659658550034
221,0.2555869985246274
222,0.26344895925781964
223,0.273026230732753
224,0.284284561208483
225,0.2903315744881401
226,0.29966417101813747
227,0.3015469113826562
228,0.30009069374207115
229,0.2936145971002235
230,0.2655703377030053
231,0.2348216974558628
232,0.17422355319018462
233,0.15239545026628531
234,0.14406125050985202
235,0.14042951371684992
236,0.13988614684233783
237,0.14055770522616007
238,0.14205126411519103
239,0.1445707913105188
240,0.14500048363993137
241,0.14772481032665177
242,0.15243458937441914
243,0.1392567476773535
244,0.12023755659763888
245,0.10888180248704775
246,0.10306577493154316
247,0.10001865399951641
248,0.09757099105280514
249,0.09513699458655286
250,0.09236863154688549
251,0.0912845976364663
252,0.09283032327107663
253,0.09430919085862154
254,0.0949025962954955
255,0.09540849358704126
256,0.09572652491712987
257,0.0953219510180909
258,0.0928096859652701
259,0.08865636706457539
260,0.08485358159519782
261,0.08065608970133624
262,0.07660078190098318
263,0.07647291069421701
264,0.07814003704335602
265,0.07971911151856678
266,0.08153786614527056
267,0.0835438774749947
268,0.08544787401139955
269,0.08706178260753666
270,0.08902733097583646
271,0.09126712915849769
272,0.09338069159895986
273,0.09607691528459654
