,MSE
0,0.728144612805945
1,0.721133858116634
2,0.7177238196860912
3,0.7163014711229645
4,0.7150377849246405
5,0.7139318894237435
6,0.7133910272571977
7,0.7132477190093949
8,0.7133902488473571
9,0.7137339367955026
10,0.7142131258431533
11,0.7148041275915803
12,0.7155479140218144
13,0.716470376703773
14,0.7176057874419731
15,0.7191236040097433
16,0.7214585995880349
17,0.7235255289442335
18,0.7238369600203625
19,0.7232111339740666
20,0.7241359027169582
21,0.72480708208876
22,0.7244595610578441
23,0.7245751635675963
24,0.7194834308250736
25,0.7117155637310926
26,0.7042023415769927
27,0.7002432056785642
28,0.6989098822881255
29,0.6975281566394288
30,0.6978076720373574
31,0.6989933814481788
32,0.7010515980968048
33,0.7051732469018154
34,0.7107788319351606
35,0.7118203109031145
36,0.7090107436289832
37,0.7104329083769615
38,0.71556447114208
39,0.7240243793580705
40,0.7176695182960233
41,0.7111327953957961
42,0.7096392103409255
43,0.7137199160887115
44,0.7089389239929731
45,0.7066238856427349
46,0.7071926271888124
47,0.7109202069672851
48,0.7170457206139179
49,0.7178566373672332
50,0.70211636173977
51,0.6672045524259607
52,0.6484339725296769
53,0.6478374340030901
54,0.6363180559663763
55,0.6203195671626214
56,1.1915943996184715
57,1.1754339150777433
58,1.1614805438649014
59,1.1480685955251932
60,1.1337548330631109
61,1.129769562774494
62,1.130210927215705
63,1.1281832289068725
64,1.113103550627453
65,1.0425779199944043
66,0.9253506447144414
67,0.8123327751945528
68,0.7210807454898743
69,0.654921055160117
70,0.6043061400063487
71,0.5689780151580655
72,0.5467455639462506
73,0.5322103085747152
74,0.5237554715169238
75,0.5150115413937508
76,0.5080022820305674
77,0.5041991879858967
78,0.501628688179406
79,0.5005859448780453
80,0.5021250059160345
81,0.5023649737157411
82,0.5031102950023435
83,0.5038573992947653
84,0.5038199614420449
85,0.5024875503152542
86,0.4995084433854224
87,0.496027631463563
88,0.4925659449027691
89,0.4897469299733337
90,0.4841594771427619
91,0.47367598324807964
92,0.4654763317787567
93,0.4603271855752652
94,0.4567151938885966
95,0.4528273022690696
96,0.45061915159085003
97,0.4496704465065437
98,0.44969735532064037
99,0.45061200657016
100,0.4517002813879369
101,0.4497591756036591
102,0.4476720075899405
103,0.4472991739765176
104,0.44917953665075017
105,0.4530981525829004
106,0.4581765839858063
107,0.4636610828248342
108,0.46884453842108365
109,0.47520018227929306
110,0.482680106028734
111,0.4913111567214915
112,0.5012641490153744
113,0.5129674009273596
114,0.5153682300344513
115,0.515171544523275
116,0.5160541991722878
117,0.5174569244447047
118,0.5144252668535917
119,0.5112127984306614
120,0.5108027194460771
121,0.5129775873720852
122,0.5137438605397456
123,0.5107076526359358
124,0.5012891056678028
125,0.4843406001335106
126,0.464523825132961
127,0.4583548975699999
128,0.456880638927809
129,0.4590605977872727
130,0.46436589770322384
131,0.46922852601588544
132,0.471496102159211
133,0.465645282825323
134,0.4488470681077642
135,0.43854234121346736
136,0.4363256410934671
137,0.4368683278244082
138,0.4422035846511049
139,0.4545106140332077
140,0.4720039648402891
141,0.47836780306377785
142,0.4848438278420213
143,0.49019176151328525
144,0.4936596838065802
145,0.49507556389622814
146,0.4932646497072267
147,0.4897616316361731
148,0.4849746205854628
149,0.47899084799766606
150,0.4574218470332127
151,0.43018944293250144
152,0.4043955179217301
153,0.36928171390134346
154,0.34469202620976747
155,0.3303644878735491
156,0.3225732566741752
157,0.31840909500108877
158,0.3154843171959468
159,0.3157128821096923
160,0.31696981707838656
161,0.31979483079193505
162,0.32571124303446586
163,0.33460338854741845
164,0.3358421504872907
165,0.3387923564083297
166,0.3437383881330912
167,0.3531486220660779
168,0.3543820320492014
169,0.35439100787619426
170,0.35543232878520237
171,0.3565940699664858
172,0.3573740542347191
173,0.35776463804611225
174,0.354847860244757
175,0.34645113653619386
176,0.333128601938351
177,0.298261854094214
178,0.2722393403544535
179,0.2704263956469458
180,0.2702933627067503
181,0.26874032623026206
182,0.2668988846367869
183,0.26131394988281126
184,0.2576857358343271
185,0.2559798564094545
186,0.2555160318649007
187,0.25535190693195314
188,0.2548496013201824
189,0.2531567590528318
190,0.25149161391661157
191,0.2496713990358676
192,0.24854891217645783
193,0.24807272387106885
194,0.24845131596403713
195,0.24846233186831315
196,0.2466799515378107
197,0.24313692408250648
198,0.2390151386478884
199,0.22978995081840284
200,0.22430211460147298
201,0.21961301353622575
202,0.21322444094725493
203,0.21146650943308204
204,0.21486817497376864
205,0.21903644019032967
206,0.22249111520468762
207,0.22887497156643843
208,0.2372016255257056
209,0.24867594772579102
210,0.25948449578019167
211,0.2716741209503995
212,0.28401158255728354
213,0.2896770297843362
214,0.2968413839208513
215,0.3053346213403383
216,0.3170932271683435
217,0.3281891311547098
218,0.33544675456191736
219,0.34530884475039203
220,0.35591511972610895
221,0.3566590993595373
222,0.3541013847782263
223,0.3532184453950156
224,1.13463057527165
225,1.105431382741942
226,1.101149299315877
227,1.1115499984453268
228,1.1239539738505457
229,1.107063240721068
230,1.0456244961251064
231,0.8667408661353804
232,0.2885138457278881
233,0.21775452070353546
234,0.6520724849779422
235,0.6202967477240425
236,0.5968062966877911
237,0.5827000206018296
238,0.577097559235202
239,0.5808317870530649
240,0.5926984465532954
241,0.5497965935673639
242,0.40743856284431984
243,0.27205541988382775
244,0.20034824943518398
245,0.1686655146362202
246,0.15400755069858146
247,0.1674758395742619
248,0.15881577063026225
249,0.1549841614624418
250,0.1564371717685119
251,0.1566659580562926
252,0.1521866561978693
253,0.1491075077068537
254,0.14959498058053183
255,0.15175424053893843
256,0.15235911867877455
257,0.150606868584687
258,0.1461151487081318
259,0.14067372951498425
260,0.1396894597815037
261,0.14552976951515578
262,0.14620155479509434
263,0.13870552910724454
264,0.1319877638629971
265,0.12735312158973372
266,0.12318055115233979
267,0.11897838846875974
268,0.11568618376237386
269,0.11387760587543068
270,0.11439586607002035
271,0.11723581459849328
272,0.118358265295617
273,0.11460150682525927
274,0.10793843014839703
275,0.1027999029422821
276,0.1006624586968409
