,MSE
0,0.80758922922707
1,0.8072469039823711
2,0.8070962332614581
3,0.8069688176759978
4,0.806896802856167
5,0.8068542162298987
6,0.8069383420482744
7,0.8071145046952605
8,0.8073430712206292
9,0.8077325360010272
10,0.8086197792344627
11,0.8092393522969177
12,0.8095981700642689
13,0.809692398950564
14,0.8094936715095175
15,0.8090179812069644
16,0.8079109828044819
17,0.8062175522451522
18,0.804217372048958
19,0.8017984725759904
20,0.7994989273954978
21,0.7966294501958971
22,0.7929308405796054
23,0.7916316168603936
24,0.788769454756858
25,0.7860235314589655
26,0.7826543322959616
27,0.7771449155124628
28,0.774325724381504
29,0.7674366366635281
30,0.7638889411729199
31,0.7629680810474021
32,0.7574643166143954
33,0.7580442058968909
34,0.7528166748388976
35,0.7542948661258617
36,0.7556718459901935
37,0.7590523890474934
38,0.7603038759429498
39,0.7694402079933167
40,0.7713195988837058
41,0.7723044684010372
42,0.7688687474494189
43,0.7713762874360036
44,0.7722424500140526
45,0.7714679482719438
46,0.7712380456024999
47,0.7704952523286848
48,0.7682717276013958
49,0.8144758801705919
50,0.8450608208579254
51,0.8860481905358017
52,0.8846591194134131
53,0.9017226507880217
54,0.9411290357935165
55,0.9816884861890983
56,1.0085103962680164
57,0.9729975087716968
58,0.9264832153185083
59,0.9401684676682718
60,0.8978716054861513
61,0.9028915563106239
62,0.9074466034790323
63,0.8974088598788101
64,0.912305023141494
65,0.9732532200879309
66,1.02375981941761
67,1.0237121768234325
68,1.11521728921796
69,1.1151048717542285
70,1.274780275124069
71,1.2717339995876649
72,1.2725833421272217
73,1.2879874041570434
74,1.2896016783314872
75,1.291311114438186
76,1.2896343984789653
77,1.5698143219929592
78,1.5695344921744048
79,1.569741108671451
80,1.5643767062958345
81,1.5789963342561604
82,1.5817955582169392
83,1.5726768507224995
84,1.565198490343506
85,1.5464610054781844
86,1.540466924704399
87,1.5266344212059324
88,1.5222956702013302
89,1.5249699661225922
90,1.5174724726827735
91,1.5154932924765867
92,1.5160366987703375
93,1.8139850788386134
94,1.8160197915835763
95,1.8255679953603743
96,1.8289037148096363
97,1.8328817241984694
98,1.8488510053578715
99,1.8532901351851432
100,1.8574987533643106
101,1.861993242642102
102,1.8395377017571302
103,1.8418064714193565
104,1.8445593358973373
105,1.8468457796160738
106,1.84456156352946
107,1.8474756462905106
108,1.849983715935269
109,1.859733540624548
110,1.863872095839882
111,1.8626207097505223
112,1.8633848793953356
113,1.8663144792648054
114,1.8769574511679779
115,1.8322451975938414
116,1.850544537247768
117,1.8768492596474058
118,1.911569568692413
119,1.9068982685900875
120,1.9850839400642037
121,2.090546232462322
122,2.12329834339377
123,2.207492654272577
124,2.2771770514384437
125,2.2677861884606125
126,2.2491979911164632
127,2.272547131117489
128,2.3120891055547816
129,2.3111506586867816
130,2.086078004498896
131,2.252928604534995
132,2.2468570359158746
133,2.2178220629145042
134,2.3098892431869174
135,2.2353502556425995
136,2.436584786114871
137,2.704135490214369
138,2.695012642374448
139,2.5171648526126855
140,2.5054822675851165
141,2.5026921541386242
142,2.499428356046749
143,2.390227267735829
144,2.3926126857089756
145,2.393819587277393
146,2.395018570859195
147,2.3974449735481675
148,2.3509311742199057
149,2.3432559621079476
150,2.229412190413736
151,2.1849051918990443
152,2.1602801795546123
153,2.095494168594329
154,2.0759153544532554
155,2.088013036891201
156,2.0354789455822653
157,2.117101203147179
158,2.1423565449351187
159,2.166948312461576
160,2.1736422677632934
161,2.183380169395957
162,2.195535510075058
163,2.1984710391055264
164,2.21170185817017
165,2.2780307851303414
166,2.256013097281506
167,2.2722694853854057
168,2.2909225256231753
169,2.293865887301279
170,2.2714484240657584
171,2.286379344443269
172,2.3036504434236775
173,2.320086971652807
174,2.2208731785459976
175,2.2663022544938185
176,2.420208652454003
177,2.4702305371482693
178,2.464485346990598
179,2.4466711817618325
180,2.4070709387152904
181,2.3395553924485317
182,2.250036842781557
183,2.158921230570354
184,2.09972094822488
185,2.0707595787454607
186,2.0927902941259697
187,2.070575753478367
188,2.012046565431933
189,1.9238089590992797
190,1.923484519445072
191,1.940327389773029
192,2.0453796113824803
193,2.026227737521041
194,2.025731872100175
195,2.149737210006287
196,2.5435146370445585
197,2.5677759871082753
198,2.5696563076211545
199,2.4543828776937437
200,2.461358095245588
201,2.467794490458252
202,2.4769233566458113
203,2.2413813224209407
204,2.4112271309314073
205,2.4427143143631964
206,2.5859055531070996
207,2.2319489584561705
208,2.235357556713518
209,2.1068489998391646
210,2.1473956008929616
211,2.1582045989087604
212,2.1839411616794893
213,2.196950052479771
214,2.216245939795259
215,2.154852739917299
216,2.14450611112889
217,2.1194143929976503
218,2.0852032358584784
219,1.9927629703073628
220,1.9547107940055704
221,1.9201771675498691
222,1.8948272199121567
223,1.84180743196824
224,1.8244360634741945
225,1.8301679808558753
226,1.839662626388139
227,1.9258906997111311
228,1.9271867519851038
229,1.9415185356727733
230,1.9926405223879198
231,2.0329780370495594
232,2.0170544935285704
233,2.0303281511894173
234,2.024609041082292
235,2.030654777680625
236,2.0283629215028776
237,2.0442350555667788
238,2.077686688598651
239,2.1084039696565062
240,2.1428145504029086
241,2.1658012129270148
242,2.188766923952648
243,2.210318140974209
244,2.2361721781456367
245,2.2662973860920674
246,2.3269270422868766
247,2.3575462034978747
248,2.3761622086896463
249,2.395161158099957
250,2.41411048926025
251,2.4289119397768624
252,2.4430364282580634
253,2.456256616336218
254,2.4659153986544835
255,2.525695851711279
256,2.528057630643949
257,2.5268398014962083
258,2.52206567755891
259,2.5183115806806446
260,2.6850873136699227
261,2.644195442357403
262,2.6529574124123347
263,2.6158921055017172
264,2.605241859422607
265,2.5901157139595283
266,2.5833594772572512
267,2.571513890924036
268,2.5619681803894108
269,2.532383909653521
270,2.4736148800809463
271,2.4228708772447143
272,2.3831112821880467
273,2.302015400302719
274,2.2799971279342266
275,2.262890309358677
276,2.216183559442188
277,2.2018988510420514
278,2.1913096659466555
279,2.1864255878703127
280,2.181732462374721
281,2.1621265196664887
282,2.161197822275512
283,2.1622514038272858
284,2.1645223916630973
285,2.1618294021858135
286,2.1569980182539417
287,2.1469108152318057
288,2.1370025017091363
289,2.126150240739618
290,2.128733717262598
291,2.1094946832108468
292,2.081106595621832
293,2.0240387780415623
294,2.0040299217703383
295,1.9297102136784434
296,1.9105622266948543
297,1.8928428624250528
298,1.8757801502946456
299,1.8635775180185212
300,1.8402838347220818
301,1.8157666160011317
302,1.7891202233258205
303,1.7615804539802138
304,1.8017992388680526
305,1.7298742084909555
306,1.6606793237170607
307,1.5977025610805058
308,1.542176589383416
309,1.4950562709283708
310,1.4574993309507414
311,1.4199917788854521
312,1.4034206342214208
313,1.3834495984116875
314,1.378636932258041
315,1.3905323000192615
316,1.4139719505179624
317,1.4475814656578894
318,1.5088561233391913
319,1.5606600853043489
320,1.6173449082433486
321,1.6796309412826855
322,1.741049986586961
323,1.802375218734666
324,1.8613287114645174
325,1.9099678153062662
326,1.958654643668331
327,2.0074230656775525
328,2.0642052990429396
329,2.103563234356768
330,2.138858279526887
331,2.1641924413281517
332,2.184741094994693
333,2.197747903231427
334,2.183375510493323
335,2.1682520436202077
336,2.1556451752912755
337,2.148811727852484
338,2.1471047339001075
339,2.147824685779561
340,2.149698343013225
341,2.1507376201856943
342,2.1526755386317538
343,2.1547916863058765
344,2.1544263006759112
345,2.1471216609902837
346,2.1363541425024732
347,2.216978552496772
348,2.191091249887239
349,2.1605487611758796
350,2.128992413824847
351,2.097690493094024
352,2.065950411505059
353,2.0352019090869695
354,1.9957754358255246
355,1.9819993114245105
356,2.000940057723737
357,1.9302399618649584
358,1.8960604877048415
359,1.8840003791675515
360,1.8622656261982615
361,1.8523189375348004
362,1.8110706165429362
363,1.8039867046501592
364,1.8340749560206953
365,1.8730434962835765
366,1.8264531131698358
367,1.7729357069175449
368,1.7539790232877173
369,1.7310752472005624
370,1.7318608095023413
371,2.125700286085727
372,2.8551791175137877
373,2.531469210609992
374,2.5455762994027977
375,1.9749012246148154
376,1.9740176951965864
377,1.9066008450360108
378,1.8975101886522847
379,1.9006414364250594
380,1.9067430507739052
381,1.9231791386543478
382,1.9263243606579554
383,1.7896294030820665
384,1.8415490360732178
385,1.8447356231927565
386,1.846305141194165
387,1.8449390587570615
388,1.8253408050916586
389,1.818262395307363
390,1.8053269681346031
391,1.789737315209511
392,1.762485967192326
393,1.7277885678378062
394,1.6834504734059217
395,1.6324003187367524
396,1.565604872569138
397,1.4982187244513046
398,1.4353177689429404
399,1.377832485059845
400,1.319984695310561
401,1.2802734474338255
402,1.2489357866502346
403,1.222698659000357
404,1.1816436380964734
405,1.1480050846508743
406,1.122862036051983
407,1.1046049423410889
408,1.0917978933298274
409,1.0833324686634798
410,1.0784535978012446
411,1.0752314262624867
412,1.0753758021239281
413,1.078917385990516
414,1.0857497639501028
415,1.0982399520116966
416,1.1164341709271948
417,1.1394112277907378
418,1.1659346897370462
419,1.1990512154072408
420,1.2391160675758326
421,1.2775396636875418
422,1.3254427010571732
423,1.3807220720161653
424,1.4446753527492557
425,1.5168190264954429
426,1.5787290998895094
427,1.6149214181491485
428,1.6721922138603955
429,1.7122749950992027
430,1.7890690487349996
431,1.819185180263392
432,1.8402491180203793
433,1.8522882401828435
434,2.069339596838925
435,2.0752830297394786
436,2.0811231313142375
437,2.0848121566970734
438,2.0841992466456967
439,1.9496101537811061
440,1.9457781833404824
441,1.9387669168606263
442,1.83219941706824
443,1.8228546050145291
444,1.8132072314821066
445,1.8012930929297326
446,1.7887052895711872
447,1.7755978238777002
448,1.7597974614429215
449,1.7413408523460248
450,1.7251427275310978
451,1.707249592608075
452,1.6935180604219942
453,1.6839075012568823
454,1.6759710428847725
455,1.6635344255083715
456,1.6525620138175454
457,1.6435656309785724
458,1.637453634808086
459,1.6365678426905013
460,1.6288180175298663
461,1.603129266289574
462,1.5777651465897167
463,1.5486619349555133
464,1.517304535946184
465,1.4852823817665688
466,1.451566065596564
467,1.4171042706296884
468,1.3812226991711118
469,1.212274099251562
470,1.18526996414483
471,1.1207655763005835
472,1.0794197643233716
473,1.031809944127289
474,0.985921207085988
475,0.952058336068976
476,0.9886751689381017
477,0.9840424362920782
478,0.9874877960673745
479,0.9979377823748543
480,1.0155874345697484
481,1.037821182608485
482,1.065505151592351
483,1.0748341189953312
484,1.0807478590624515
485,1.092520122377918
486,1.0973305271765592
487,1.093618761088879
488,1.0870983035340018
489,1.0563175397035174
490,1.060253676686394
491,1.0653609751413646
492,1.0791433503681107
493,1.0834005259399588
494,1.0838828853904119
495,1.07961503650658
496,1.2494732193481157
497,1.2345468195769143
498,1.2164545077666797
499,1.271286380106305
500,1.2584880781535612
501,1.1044080994545475
502,1.089979702687176
503,1.0828897348789654
504,1.0824009777474808
505,1.0883222358112792
506,1.0980381792099407
