,eta,epsilon,sigma,testing_mse,CB_size,tradeOff_dist
0,0.05,0.1,0.01,0.880506190838753,1230,0.9327055669424144
1,0.05,0.1,0.1,0.7968563887457772,1230,0.8541830171485273
2,0.05,0.1,1.0,0.1669635864407521,1230,0.3500362291208704
3,0.05,0.1,2.0,0.10554035268591042,1230,0.32524957885455646
4,0.05,0.1,4.0,0.08669532650123304,1230,0.3196319792154023
5,0.05,0.1,8.0,0.05609090745524188,1230,0.3127214613664251
6,0.05,0.5,0.01,0.8810814890316696,309,0.8844636883101895
7,0.05,0.5,0.1,0.83287385353816,309,0.8364510036651904
8,0.05,0.5,1.0,0.18879692937220116,309,0.20399927981581678
9,0.05,0.5,2.0,0.1280922622066478,309,0.14959630096435075
10,0.05,0.5,4.0,0.09361877940124982,309,0.12139152145673057
11,0.05,0.5,8.0,0.059752770750237286,309,0.09768223603772803
12,0.05,1.0,0.01,0.8808187660979512,133,0.8814508434026921
13,0.05,1.0,0.1,0.9696562933568549,133,0.9702304972899765
14,0.05,1.0,1.0,0.20546520043249217,133,0.2081582071736884
15,0.05,1.0,2.0,0.14723469888834745,133,0.15097002080460326
16,0.05,1.0,4.0,0.10118279222345343,133,0.10654505181909928
17,0.05,1.0,8.0,0.06177530231143792,133,0.07021451844646909
18,0.05,2.0,0.01,0.8807444655342802,50,0.880836025358446
19,0.05,2.0,0.1,1.275184113876327,50,1.2752473541562646
20,0.05,2.0,1.0,0.30681222311761425,50,0.3070749586898494
21,0.05,2.0,2.0,0.1650464674657875,50,0.1655343662897081
22,0.05,2.0,4.0,0.12182288004604838,50,0.12248307680130302
23,0.05,2.0,8.0,0.06889121902315895,50,0.07005205249310585
24,0.1,0.1,0.01,0.8802796003583137,1230,0.9324916607171306
25,0.1,0.1,0.1,0.7652742950505245,1230,0.824798926505774
26,0.1,0.1,1.0,0.1735951663882626,1230,0.3532475113760443
27,0.1,0.1,2.0,0.16558534013835208,1230,0.34938092015554273
28,0.1,0.1,4.0,0.13328615782646344,1230,0.3352815568565335
29,0.1,0.1,8.0,0.08249892381912917,1230,0.3185193792084156
30,0.1,0.5,0.01,0.8821986958629975,309,0.8855766283091336
31,0.1,0.5,0.1,0.8899471291619336,309,0.8932957619560093
32,0.1,0.5,1.0,0.24563559646816685,309,0.25750392594535737
33,0.1,0.5,2.0,0.21245381119947124,309,0.22607089047062334
34,0.1,0.5,4.0,0.15508546761439587,309,0.17327125523345133
35,0.1,0.5,8.0,0.09589185075807329,309,0.12315304570658657
36,0.1,1.0,0.01,0.880815405075084,133,0.8814474847899814
37,0.1,1.0,0.1,1.3480970103876373,133,1.3485100815496653
38,0.1,1.0,1.0,0.3183390890077015,133,0.32008384247764415
39,0.1,1.0,2.0,0.2735011485895812,133,0.2755299782325331
40,0.1,1.0,4.0,0.17243885454969693,133,0.17563897398758493
41,0.1,1.0,8.0,0.1110337773001687,133,0.11594132277382149
42,0.1,2.0,0.01,0.8806394865312471,50,0.8807310572689137
43,0.1,2.0,0.1,2.5834644479211444,50,2.5834956635675823
44,0.1,2.0,1.0,0.5242419284061668,50,0.5243957374912734
45,0.1,2.0,2.0,0.31884888468241634,50,0.3191017099033172
46,0.1,2.0,4.0,0.22338362644391624,50,0.22374435090798409
47,0.1,2.0,8.0,0.1355406088196782,50,0.13613429633714286
48,0.3,0.1,0.01,0.880689040498325,1230,0.9328781852706496
49,0.3,0.1,0.1,0.7357357257644,1230,0.797468231759779
50,0.3,0.1,1.0,0.34872770264834185,1230,0.4650371308770842
51,0.3,0.1,2.0,0.46539127942545466,1230,0.5578866959027269
52,0.3,0.1,4.0,0.51131654849497,1230,0.5967353980323348
53,0.3,0.1,8.0,0.4106723371663275,1230,0.5131279479950919
54,0.3,0.5,0.01,0.8942010581982206,309,0.8975338200356672
55,0.3,0.5,0.1,1.5832900318705778,309,1.585174675121242
56,0.3,0.5,1.0,0.6620408628652543,309,0.6665354677197385
57,0.3,0.5,2.0,0.6438299138638811,309,0.6484507565042796
58,0.3,0.5,4.0,0.6826223646101774,309,0.6869823274953949
59,0.3,0.5,8.0,0.517442356929145,309,0.5231806746902916
60,0.3,1.0,0.01,0.8813274610192622,133,0.8819591737555992
61,0.3,1.0,0.1,4.189310500369715,133,4.189443442646404
62,0.3,1.0,1.0,0.9782800904178275,133,0.9788492355480045
63,0.3,1.0,2.0,0.8671842616901217,133,0.8678262696807706
64,0.3,1.0,4.0,0.7994718156100898,133,0.8001681539400912
65,0.3,1.0,8.0,0.6420601707663872,133,0.6429270203604468
66,0.3,2.0,0.01,0.8804744880437031,50,0.8805660759396884
67,0.3,2.0,0.1,14.602227129911352,50,14.60223265269798
68,0.3,2.0,1.0,1.7611636683941108,50,1.76120945854586
69,0.3,2.0,2.0,1.0111507698735411,50,1.0112305223913363
70,0.3,2.0,4.0,1.2616349848494293,50,1.2616989042541091
71,0.3,2.0,8.0,0.8312212561330063,50,0.8313182703678135
72,0.5,0.1,0.01,0.8830029511709168,1230,0.9350629573865861
73,0.5,0.1,0.1,0.7382027646278189,1230,0.7997448619429542
74,0.5,0.1,1.0,0.5301058620366691,1230,0.6129116963035051
75,0.5,0.1,2.0,0.7282378376097839,1230,0.7905560515400372
