,MSE
0,0.8588200174292334
1,0.8613292944975877
2,0.9068914758125356
3,0.9709122816743738
4,1.0406842462261887
5,1.1102294604102307
6,1.177251188871604
7,1.2413570346835958
8,1.302937069746839
9,1.3626706079004873
10,1.4181492004488043
11,1.4715227752724003
12,1.5247265057548836
13,1.5777475757470043
14,1.627737855618846
15,1.675507377554529
16,1.7188178857603629
17,1.7549063215819594
18,1.777420192635126
19,1.780232681160132
20,1.7571084620060122
21,1.700150145744764
22,1.6172569811097304
23,1.5096622743312924
24,1.3890171967700584
25,1.273067492314166
26,1.1811112850167649
27,1.1246394379599207
28,1.1013660409070132
29,1.101240366322699
30,1.1152746542493126
31,1.1349972784304323
32,1.1549341322069515
33,1.1730154180997403
34,1.1884950695511747
35,1.2022457179535044
36,1.2164561312551752
37,1.2317881691150903
38,1.2518890374182043
39,1.279967970844828
40,1.316420690720911
41,1.361301293252307
42,1.416404585269143
43,1.4812538570048521
44,1.556747235553522
45,1.6392700791294097
46,1.727870105349632
47,1.8165580645081285
48,1.8973206853581985
49,1.9602733183417471
50,1.993131943452849
51,1.9920119317081337
52,1.9555212776514619
53,1.8820673737372797
54,1.7708869389602135
55,1.6315560905990651
56,1.4976285105103682
57,1.393911790529405
58,1.3266297101606104
59,1.286803292353142
60,1.2617451907986588
61,1.2418697441568756
62,1.2205709680078605
63,1.1950751295580473
64,1.1646997082444002
65,1.133696146779101
66,1.1073671658993052
67,1.0864631372493503
68,1.07398393523903
69,1.068617409657003
70,1.068388061027583
71,1.0707140116679448
72,1.0750721572221038
73,1.0805715263725397
74,1.086676083707165
75,1.0927258543330012
76,1.0989448680883094
77,1.1049340345991865
78,1.1109965302367446
79,1.117224933208116
80,1.1212780322282732
81,1.1239244202310374
82,1.1258011385609528
83,1.1241174412498225
84,1.1175317941779594
85,1.103247932169943
86,1.0798176234871586
87,1.0452457068396739
88,1.0003757562833622
89,0.948139919415113
90,0.8929300509244479
91,0.8411261942362624
92,0.7984726212398884
93,0.769679648369084
94,0.7529825962450658
95,0.7459431182336691
96,0.7456748706677843
97,0.7493376953387297
98,0.7557836122210612
99,0.7637177200809547
100,0.7730620593613826
101,0.7836045022495826
102,0.7952293672964371
103,0.807631020322092
104,0.8212834356482404
105,0.8365256781408114
106,0.853558255522711
107,0.8727295202308134
108,0.8942422655154946
109,0.9182357966262691
110,0.944596175902827
111,0.9733966323305653
112,1.0033803039822091
113,1.0354601691526786
114,1.069938624827263
115,1.1068359958385934
116,1.1462115188865198
117,1.1879663154807836
118,1.2313973491264343
119,1.2750308219600046
120,1.319283422019962
121,1.3592041230587495
122,1.393446769130907
123,1.419081718097654
124,1.4335629070819162
125,1.4349041774382312
126,1.424971685608436
127,1.403024402902254
128,1.3773380992546225
129,1.350705095714909
130,1.3280178951219062
131,1.3023620530388658
132,1.2774416260668626
133,1.2491364286682662
134,1.2094127756608926
135,1.163306383323641
136,1.1116988144259419
137,1.0575391224878292
138,1.0065256337899569
139,0.9687053060286749
140,0.9461989992860704
141,0.938363634164458
142,0.9407476654558808
143,0.9494725167667862
144,0.9628806398142743
145,0.977807803664359
146,0.9927556352824911
147,1.0061736057374986
148,1.0178595371139505
149,1.0273615279418895
150,1.0344012920378751
151,1.039027284198704
152,1.0412662699392894
153,1.0422049403844758
154,1.0430578915828221
