,QKLMS,QKLMS_AKB,QKLMS_AMK
0,1.342965262,1.768798352,1.11678158
1,2.391973611,2.526982133,1.51476738
2,3.370237869,3.454055421,2.033689751
3,4.415730466,4.543141,2.624949915
4,5.494303884,5.596457171,3.32328588
5,6.442989862,6.597076131,3.987566534
6,7.230722766,7.320465979,4.649457109
7,7.665117385,7.746915566,5.212127047
8,7.780532375,7.851361375,5.713081878
9,7.60639933,7.652126158,6.075323185
10,7.278899952,7.269368224,6.562558081
11,6.901611182,6.80153717,7.110731339
12,6.491814025,6.3583676,7.8066503
13,6.107686909,6.009101748,8.710295759
14,5.843832805,5.71096091,9.747367993
15,5.671109149,5.514857311,11.12927703
16,5.530320068,5.421515088,12.74500894
17,5.460826347,5.368082608,14.55884004
18,5.480130983,5.356647364,16.72080736
19,5.514419791,5.4218417,19.14994968
20,5.587831587,5.506489457,21.91801808
21,5.7097846,5.594209102,25.06573314
22,5.82635214,5.742819449,28.55159923
23,5.962778806,5.911428247,32.50426361
24,6.127048255,6.064766643,36.71967799
25,6.281304018,6.236105963,41.15211252
26,6.433109207,6.40690136,45.7969087
27,6.573914458,6.56099068,50.54071262
28,6.674405788,6.659941139,55.22969641
29,6.762397301,6.77684149,59.76895743
30,6.818638032,6.820553953,64.04161085
31,6.870859907,6.877379429,67.9691643
32,6.876730795,6.874040858,71.34959616
33,6.82892621,6.82276505,74.04399683
34,6.731262056,6.736738395,75.83859722
35,6.603860036,6.616471298,76.50645999
36,6.438836836,6.444100096,75.86029773
37,6.243916851,6.248945662,73.74476345
38,6.006746941,6.018063235,70.18682301
39,5.759767742,5.733669762,65.20627982
40,5.458291179,5.39827203,59.0678309
41,5.152303768,5.08448092,52.10616285
42,4.822398435,4.767804201,44.73654105
43,4.505245178,4.456173058,37.67180227
44,4.192334485,4.145670958,31.35913616
45,3.898313652,3.849010866,25.68271275
46,3.615435772,3.567301367,20.9191044
47,3.35388009,3.29759756,17.26533984
48,3.118258494,3.0269875,14.33495676
49,2.903282916,2.80616275,11.98663752
50,2.705258352,2.608718073,10.15380126
51,2.517983951,2.428128094,8.737632203
52,2.348159347,2.261903174,7.625833156
53,2.189786734,2.109690523,6.749225196
54,2.046706446,1.969724941,5.983915783
55,1.915599151,1.841775252,5.355470546
56,1.796290112,1.724906048,4.795457005
57,1.687605271,1.618515905,4.337386294
58,1.588704494,1.52217543,3.937653894
59,1.500015216,1.4354055,3.58817973
60,1.419571107,1.357435388,3.291180935
61,1.347503616,1.288179928,3.011453697
62,1.281905144,1.227002401,2.775743148
63,1.225000648,1.173738669,2.565881635
64,1.17570329,1.127201819,2.397730525
65,1.133511097,1.088489596,2.250182077
66,1.09798454,1.056124374,2.118621146
