,eta,mu,K,epsilon,r2,mse
0,0.03,0.0005,1,0.01,0.28232120714757114,12406325015.583708
1,0.03,0.0005,1,0.2942857142857143,,
2,0.03,0.0005,1,0.5785714285714286,,
3,0.03,0.0005,1,0.862857142857143,,
4,0.03,0.0005,1,1.1471428571428572,,
5,0.03,0.0005,1,1.4314285714285715,,
6,0.03,0.0005,1,1.715714285714286,,
7,0.03,0.0005,1,2.0,,
8,0.03,0.0005,6,0.01,0.28354401836414356,12385186598.87614
9,0.03,0.0005,6,0.2942857142857143,0.31553215735514384,11832216031.93392
10,0.03,0.0005,6,0.5785714285714286,0.32551283543708,11659682668.270947
11,0.03,0.0005,6,0.862857142857143,0.4455516628704361,9584602949.51715
12,0.03,0.0005,6,1.1471428571428572,,
13,0.03,0.0005,6,1.4314285714285715,,
14,0.03,0.0005,6,1.715714285714286,,
15,0.03,0.0005,6,2.0,,
16,0.03,0.0005,12,0.01,0.17402599362821014,14278395961.43579
17,0.03,0.0005,12,0.2942857142857143,0.25061361334077525,12954445871.525045
18,0.03,0.0005,12,0.5785714285714286,0.10833892278575785,15413911122.688025
19,0.03,0.0005,12,0.862857142857143,0.28584471063558325,12345415135.145302
20,0.03,0.0005,12,1.1471428571428572,,
21,0.03,0.0005,12,1.4314285714285715,,
22,0.03,0.0005,12,1.715714285714286,0.10084789374731817,15543406576.472692
23,0.03,0.0005,12,2.0,,
24,0.03,0.0005,17,0.01,0.35008764992118857,11234864297.261597
25,0.03,0.0005,17,0.2942857142857143,0.3176408027783141,11795764431.687386
26,0.03,0.0005,17,0.5785714285714286,0.21152928765841184,13630086356.181292
27,0.03,0.0005,17,0.862857142857143,0.3639597521754304,10995060904.811453
28,0.03,0.0005,17,1.1471428571428572,0.39969812608169963,10377261010.728752
29,0.03,0.0005,17,1.4314285714285715,0.29735637296216655,12146416048.484802
30,0.03,0.0005,17,1.715714285714286,0.15774901049000822,14559771898.828484
31,0.03,0.0005,17,2.0,0.1505030229013643,14685031385.354912
32,0.03,0.0005,23,0.01,0.27703572122087794,12497693824.199644
33,0.03,0.0005,23,0.2942857142857143,0.21836111993945584,13511986263.807493
34,0.03,0.0005,23,0.5785714285714286,0.2000754882945215,13828085180.985537
35,0.03,0.0005,23,0.862857142857143,0.2430701083359671,13084848463.573736
36,0.03,0.0005,23,1.1471428571428572,,
37,0.03,0.0005,23,1.4314285714285715,0.19954074200048177,13837329199.884811
38,0.03,0.0005,23,1.715714285714286,0.18140408632175142,14150852808.617565
39,0.03,0.0005,23,2.0,0.23424330844552876,13237435037.64966
40,0.03,0.0005,28,0.01,0.14035574197701994,14860444768.647867
41,0.03,0.0005,28,0.2942857142857143,,
42,0.03,0.0005,28,0.5785714285714286,0.20780859451262979,13694405002.502668
43,0.03,0.0005,28,0.862857142857143,0.24936024965650683,12976112440.726513
44,0.03,0.0005,28,1.1471428571428572,0.5748657256445244,7349184670.701132
45,0.03,0.0005,28,1.4314285714285715,0.41313470350792414,10144986421.724596
46,0.03,0.0005,28,1.715714285714286,0.3043108945330715,12026195058.543589
47,0.03,0.0005,28,2.0,0.6453262529626,6131152019.627372
48,0.03,0.0005,34,0.01,0.14855114429844463,14718772998.706116
49,0.03,0.0005,34,0.2942857142857143,,
50,0.03,0.0005,34,0.5785714285714286,,
51,0.03,0.0005,34,0.862857142857143,0.37320853957813005,10835179543.315628
52,0.03,0.0005,34,1.1471428571428572,0.14570480825772425,14767976863.131865
53,0.03,0.0005,34,1.4314285714285715,0.510405788287766,8463486697.313407
54,0.03,0.0005,34,1.715714285714286,0.09431507687085172,15656337667.991512
55,0.03,0.0005,34,2.0,0.05897584108771747,16267237766.04981
56,0.03,0.0005,40,0.01,,
57,0.03,0.0005,40,0.2942857142857143,,
58,0.03,0.0005,40,0.5785714285714286,,
59,0.03,0.0005,40,0.862857142857143,0.09592136392339112,15628570205.108955
60,0.03,0.0005,40,1.1471428571428572,0.4190392722662474,10042915690.60898
61,0.03,0.0005,40,1.4314285714285715,0.3293698834460128,11593006891.201733
62,0.03,0.0005,40,1.715714285714286,0.3341036636436929,11511175274.788301
63,0.03,0.0005,40,2.0,0.24336311473780337,13079783338.772738
64,0.03,0.007571428571428571,1,0.01,0.016649782393567514,16998917238.841854
65,0.03,0.007571428571428571,1,0.2942857142857143,0.01389810189373808,17046484817.764236
66,0.03,0.007571428571428571,1,0.5785714285714286,0.01197225805117108,17079776375.043203
67,0.03,0.007571428571428571,1,0.862857142857143,0.010350182179029943,17107816775.108164
68,0.03,0.007571428571428571,1,1.1471428571428572,,
