,eta,mu,K,epsilon,r2,mse
0,0.03,0.0005,1,0.01,0.9980804310860169,0.1401541089765683
1,0.03,0.0005,1,0.2942857142857143,0.9969108813083177,0.22554682699940112
2,0.03,0.0005,1,0.5785714285714286,0.9968684215507811,0.22864695507584054
3,0.03,0.0005,1,0.862857142857143,0.9957308054758109,0.311708087282882
4,0.03,0.0005,1,1.1471428571428572,0.9957308054758109,0.311708087282882
5,0.03,0.0005,1,1.4314285714285715,0.9957308054758109,0.311708087282882
6,0.03,0.0005,1,1.715714285714286,0.9957308054758109,0.311708087282882
7,0.03,0.0005,1,2.0,0.9957308054758109,0.311708087282882
8,0.03,0.0005,6,0.01,0.9982599824889528,0.1270444640398003
9,0.03,0.0005,6,0.2942857142857143,0.9969544336066173,0.22236692888916465
10,0.03,0.0005,6,0.5785714285714286,0.9968630766189176,0.22903720632309846
11,0.03,0.0005,6,0.862857142857143,0.9957308054758109,0.311708087282882
12,0.03,0.0005,6,1.1471428571428572,0.9957308054758109,0.311708087282882
13,0.03,0.0005,6,1.4314285714285715,0.9957308054758109,0.311708087282882
14,0.03,0.0005,6,1.715714285714286,0.9957308054758109,0.311708087282882
15,0.03,0.0005,6,2.0,0.9957308054758109,0.311708087282882
16,0.03,0.0005,12,0.01,0.9982683740203416,0.1264317704312597
17,0.03,0.0005,12,0.2942857142857143,0.9968838594270422,0.22751978439909218
18,0.03,0.0005,12,0.5785714285714286,0.9968630766189176,0.22903720632309846
19,0.03,0.0005,12,0.862857142857143,0.9957308054758109,0.311708087282882
20,0.03,0.0005,12,1.1471428571428572,0.9957308054758109,0.311708087282882
21,0.03,0.0005,12,1.4314285714285715,0.9957308054758109,0.311708087282882
22,0.03,0.0005,12,1.715714285714286,0.9957308054758109,0.311708087282882
23,0.03,0.0005,12,2.0,0.9957308054758109,0.311708087282882
24,0.03,0.0005,17,0.01,0.9982693845992493,0.12635798470503554
25,0.03,0.0005,17,0.2942857142857143,0.9968838594270422,0.22751978439909218
26,0.03,0.0005,17,0.5785714285714286,0.9968630766189176,0.22903720632309846
27,0.03,0.0005,17,0.862857142857143,0.9957308054758109,0.311708087282882
28,0.03,0.0005,17,1.1471428571428572,0.9957308054758109,0.311708087282882
29,0.03,0.0005,17,1.4314285714285715,0.9957308054758109,0.311708087282882
30,0.03,0.0005,17,1.715714285714286,0.9957308054758109,0.311708087282882
31,0.03,0.0005,17,2.0,0.9957308054758109,0.311708087282882
32,0.03,0.0005,23,0.01,0.998270876131305,0.1262490829902968
33,0.03,0.0005,23,0.2942857142857143,0.9968838594270422,0.22751978439909218
34,0.03,0.0005,23,0.5785714285714286,0.9968630766189176,0.22903720632309846
35,0.03,0.0005,23,0.862857142857143,0.9957308054758109,0.311708087282882
36,0.03,0.0005,23,1.1471428571428572,0.9957308054758109,0.311708087282882
37,0.03,0.0005,23,1.4314285714285715,0.9957308054758109,0.311708087282882
38,0.03,0.0005,23,1.715714285714286,0.9957308054758109,0.311708087282882
39,0.03,0.0005,23,2.0,0.9957308054758109,0.311708087282882
40,0.03,0.0005,28,0.01,0.9982709462642091,0.1262439623537835
41,0.03,0.0005,28,0.2942857142857143,0.9968838594270422,0.22751978439909218
42,0.03,0.0005,28,0.5785714285714286,0.9968630766189176,0.22903720632309846
43,0.03,0.0005,28,0.862857142857143,0.9957308054758109,0.311708087282882
44,0.03,0.0005,28,1.1471428571428572,0.9957308054758109,0.311708087282882
45,0.03,0.0005,28,1.4314285714285715,0.9957308054758109,0.311708087282882
46,0.03,0.0005,28,1.715714285714286,0.9957308054758109,0.311708087282882
47,0.03,0.0005,28,2.0,0.9957308054758109,0.311708087282882
48,0.03,0.0005,34,0.01,0.9982717363639958,0.1261862745412705
