,eta,mu,K,epsilon,r2,mse
0,0.03,0.0005,1,0.01,0.8502702154311068,0.1439383193400197
1,0.03,0.0005,1,0.2942857142857143,0.8495281823786202,0.1446516509645672
2,0.03,0.0005,1,0.5785714285714286,0.8495281823786202,0.1446516509645672
3,0.03,0.0005,1,0.862857142857143,0.8495281823786202,0.1446516509645672
4,0.03,0.0005,1,1.1471428571428572,0.8495281823786202,0.1446516509645672
5,0.03,0.0005,1,1.4314285714285715,0.8495281823786202,0.1446516509645672
6,0.03,0.0005,1,1.715714285714286,0.8495281823786202,0.1446516509645672
7,0.03,0.0005,1,2.0,0.8495281823786202,0.1446516509645672
8,0.03,0.0005,6,0.01,0.8506017722969579,0.14361958691030544
9,0.03,0.0005,6,0.2942857142857143,0.8495281823786202,0.1446516509645672
10,0.03,0.0005,6,0.5785714285714286,0.8495281823786202,0.1446516509645672
11,0.03,0.0005,6,0.862857142857143,0.8495281823786202,0.1446516509645672
12,0.03,0.0005,6,1.1471428571428572,0.8495281823786202,0.1446516509645672
13,0.03,0.0005,6,1.4314285714285715,0.8495281823786202,0.1446516509645672
14,0.03,0.0005,6,1.715714285714286,0.8495281823786202,0.1446516509645672
15,0.03,0.0005,6,2.0,0.8495281823786202,0.1446516509645672
16,0.03,0.0005,12,0.01,0.8504145691608922,0.14379954913263857
17,0.03,0.0005,12,0.2942857142857143,0.8495281823786202,0.1446516509645672
18,0.03,0.0005,12,0.5785714285714286,0.8495281823786202,0.1446516509645672
19,0.03,0.0005,12,0.862857142857143,0.8495281823786202,0.1446516509645672
20,0.03,0.0005,12,1.1471428571428572,0.8495281823786202,0.1446516509645672
21,0.03,0.0005,12,1.4314285714285715,0.8495281823786202,0.1446516509645672
22,0.03,0.0005,12,1.715714285714286,0.8495281823786202,0.1446516509645672
23,0.03,0.0005,12,2.0,0.8495281823786202,0.1446516509645672
24,0.03,0.0005,17,0.01,0.8503534646847972,0.14385829012140428
25,0.03,0.0005,17,0.2942857142857143,0.8495281823786202,0.1446516509645672
26,0.03,0.0005,17,0.5785714285714286,0.8495281823786202,0.1446516509645672
27,0.03,0.0005,17,0.862857142857143,0.8495281823786202,0.1446516509645672
28,0.03,0.0005,17,1.1471428571428572,0.8495281823786202,0.1446516509645672
29,0.03,0.0005,17,1.4314285714285715,0.8495281823786202,0.1446516509645672
30,0.03,0.0005,17,1.715714285714286,0.8495281823786202,0.1446516509645672
31,0.03,0.0005,17,2.0,0.8495281823786202,0.1446516509645672
32,0.03,0.0005,23,0.01,0.8486670138966113,0.14547950992613493
33,0.03,0.0005,23,0.2942857142857143,0.8495281823786202,0.1446516509645672
34,0.03,0.0005,23,0.5785714285714286,0.8495281823786202,0.1446516509645672
35,0.03,0.0005,23,0.862857142857143,0.8495281823786202,0.1446516509645672
36,0.03,0.0005,23,1.1471428571428572,0.8495281823786202,0.1446516509645672
37,0.03,0.0005,23,1.4314285714285715,0.8495281823786202,0.1446516509645672
38,0.03,0.0005,23,1.715714285714286,0.8495281823786202,0.1446516509645672
39,0.03,0.0005,23,2.0,0.8495281823786202,0.1446516509645672
40,0.03,0.0005,28,0.01,0.8380022362955573,0.15573177982988595
41,0.03,0.0005,28,0.2942857142857143,0.8495281823786202,0.1446516509645672
42,0.03,0.0005,28,0.5785714285714286,0.8495281823786202,0.1446516509645672
43,0.03,0.0005,28,0.862857142857143,0.8495281823786202,0.1446516509645672
44,0.03,0.0005,28,1.1471428571428572,0.8495281823786202,0.1446516509645672
45,0.03,0.0005,28,1.4314285714285715,0.8495281823786202,0.1446516509645672
46,0.03,0.0005,28,1.715714285714286,0.8495281823786202,0.1446516509645672
47,0.03,0.0005,28,2.0,0.8495281823786202,0.1446516509645672
48,0.03,0.0005,34,0.01,0.8123783881560109,0.18036451169983106
49,0.03,0.0005,34,0.2942857142857143,0.8495281823786202,0.1446516509645672
50,0.03,0.0005,34,0.5785714285714286,0.8495281823786202,0.1446516509645672
51,0.03,0.0005,34,0.862857142857143,0.8495281823786202,0.1446516509645672
52,0.03,0.0005,34,1.1471428571428572,0.8495281823786202,0.1446516509645672
53,0.03,0.0005,34,1.4314285714285715,0.8495281823786202,0.1446516509645672
54,0.03,0.0005,34,1.715714285714286,0.8495281823786202,0.1446516509645672
55,0.03,0.0005,34,2.0,0.8495281823786202,0.1446516509645672
56,0.03,0.0005,40,0.01,0.8441670546223599,0.14980541326526822
57,0.03,0.0005,40,0.2942857142857143,0.8495281823786202,0.1446516509645672
58,0.03,0.0005,40,0.5785714285714286,0.8495281823786202,0.1446516509645672
59,0.03,0.0005,40,0.862857142857143,0.8495281823786202,0.1446516509645672
60,0.03,0.0005,40,1.1471428571428572,0.8495281823786202,0.1446516509645672
61,0.03,0.0005,40,1.4314285714285715,0.8495281823786202,0.1446516509645672
62,0.03,0.0005,40,1.715714285714286,0.8495281823786202,0.1446516509645672
63,0.03,0.0005,40,2.0,0.8495281823786202,0.1446516509645672
64,0.03,0.007571428571428571,1,0.01,0.85145741097957,0.1427970438585532
65,0.03,0.007571428571428571,1,0.2942857142857143,0.8495281823786202,0.1446516509645672
66,0.03,0.007571428571428571,1,0.5785714285714286,0.8495281823786202,0.1446516509645672
67,0.03,0.007571428571428571,1,0.862857142857143,0.8495281823786202,0.1446516509645672
68,0.03,0.007571428571428571,1,1.1471428571428572,0.8495281823786202,0.1446516509645672
69,0.03,0.007571428571428571,1,1.4314285714285715,0.8495281823786202,0.1446516509645672
70,0.03,0.007571428571428571,1,1.715714285714286,0.8495281823786202,0.1446516509645672
71,0.03,0.007571428571428571,1,2.0,0.8495281823786202,0.1446516509645672
72,0.03,0.007571428571428571,6,0.01,0.8524015301546564,0.14188944269082363
73,0.03,0.007571428571428571,6,0.2942857142857143,0.8495281823786202,0.1446516509645672
74,0.03,0.007571428571428571,6,0.5785714285714286,0.8495281823786202,0.1446516509645672
75,0.03,0.007571428571428571,6,0.862857142857143,0.8495281823786202,0.1446516509645672
76,0.03,0.007571428571428571,6,1.1471428571428572,0.8495281823786202,0.1446516509645672
77,0.03,0.007571428571428571,6,1.4314285714285715,0.8495281823786202,0.1446516509645672
78,0.03,0.007571428571428571,6,1.715714285714286,0.8495281823786202,0.1446516509645672
79,0.03,0.007571428571428571,6,2.0,0.8495281823786202,0.1446516509645672
80,0.03,0.007571428571428571,12,0.01,0.8566788102528908,0.13777760542037656
81,0.03,0.007571428571428571,12,0.2942857142857143,0.8495281823786202,0.1446516509645672
82,0.03,0.007571428571428571,12,0.5785714285714286,0.8495281823786202,0.1446516509645672
83,0.03,0.007571428571428571,12,0.862857142857143,0.8495281823786202,0.1446516509645672
84,0.03,0.007571428571428571,12,1.1471428571428572,0.8495281823786202,0.1446516509645672
85,0.03,0.007571428571428571,12,1.4314285714285715,0.8495281823786202,0.1446516509645672
86,0.03,0.007571428571428571,12,1.715714285714286,0.8495281823786202,0.1446516509645672
87,0.03,0.007571428571428571,12,2.0,0.8495281823786202,0.1446516509645672
88,0.03,0.007571428571428571,17,0.01,0.7634607614593958,0.22739003165957924
89,0.03,0.007571428571428571,17,0.2942857142857143,0.8495281823786202,0.1446516509645672
90,0.03,0.007571428571428571,17,0.5785714285714286,0.8495281823786202,0.1446516509645672
91,0.03,0.007571428571428571,17,0.862857142857143,0.8495281823786202,0.1446516509645672
92,0.03,0.007571428571428571,17,1.1471428571428572,0.8495281823786202,0.1446516509645672
93,0.03,0.007571428571428571,17,1.4314285714285715,0.8495281823786202,0.1446516509645672
94,0.03,0.007571428571428571,17,1.715714285714286,0.8495281823786202,0.1446516509645672
95,0.03,0.007571428571428571,17,2.0,0.8495281823786202,0.1446516509645672
96,0.03,0.007571428571428571,23,0.01,0.7607062788600357,0.23003797239591808
97,0.03,0.007571428571428571,23,0.2942857142857143,0.8495281823786202,0.1446516509645672
98,0.03,0.007571428571428571,23,0.5785714285714286,0.8495281823786202,0.1446516509645672
99,0.03,0.007571428571428571,23,0.862857142857143,0.8495281823786202,0.1446516509645672
100,0.03,0.007571428571428571,23,1.1471428571428572,0.8495281823786202,0.1446516509645672
101,0.03,0.007571428571428571,23,1.4314285714285715,0.8495281823786202,0.1446516509645672
102,0.03,0.007571428571428571,23,1.715714285714286,0.8495281823786202,0.1446516509645672
103,0.03,0.007571428571428571,23,2.0,0.8495281823786202,0.1446516509645672
104,0.03,0.007571428571428571,28,0.01,0.530092047072042,0.4517321732860579
105,0.03,0.007571428571428571,28,0.2942857142857143,0.8495281823786202,0.1446516509645672
106,0.03,0.007571428571428571,28,0.5785714285714286,0.8495281823786202,0.1446516509645672
107,0.03,0.007571428571428571,28,0.862857142857143,0.8495281823786202,0.1446516509645672
108,0.03,0.007571428571428571,28,1.1471428571428572,0.8495281823786202,0.1446516509645672
109,0.03,0.007571428571428571,28,1.4314285714285715,0.8495281823786202,0.1446516509645672
110,0.03,0.007571428571428571,28,1.715714285714286,0.8495281823786202,0.1446516509645672
111,0.03,0.007571428571428571,28,2.0,0.8495281823786202,0.1446516509645672
112,0.03,0.007571428571428571,34,0.01,0.3570097368714301,0.618119755486185
113,0.03,0.007571428571428571,34,0.2942857142857143,0.8495281823786202,0.1446516509645672
114,0.03,0.007571428571428571,34,0.5785714285714286,0.8495281823786202,0.1446516509645672
115,0.03,0.007571428571428571,34,0.862857142857143,0.8495281823786202,0.1446516509645672
116,0.03,0.007571428571428571,34,1.1471428571428572,0.8495281823786202,0.1446516509645672
117,0.03,0.007571428571428571,34,1.4314285714285715,0.8495281823786202,0.1446516509645672
118,0.03,0.007571428571428571,34,1.715714285714286,0.8495281823786202,0.1446516509645672
119,0.03,0.007571428571428571,34,2.0,0.8495281823786202,0.1446516509645672
