,eta,mu,K,epsilon,r2,mse
0,0.03,0.0005,1,0.01,0.8608267642828658,0.4169278778474015
1,0.03,0.0005,1,0.2942857142857143,0.8610008476840117,0.41640636792752145
2,0.03,0.0005,1,0.5785714285714286,0.8605652432583846,0.41771132881185985
3,0.03,0.0005,1,0.862857142857143,0.8605652432583846,0.41771132881185985
4,0.03,0.0005,1,1.1471428571428572,0.8605652432583846,0.41771132881185985
5,0.03,0.0005,1,1.4314285714285715,0.8605652432583846,0.41771132881185985
6,0.03,0.0005,1,1.715714285714286,0.8605652432583846,0.41771132881185985
7,0.03,0.0005,1,2.0,0.8605652432583846,0.41771132881185985
8,0.03,0.0005,6,0.01,0.8574802399090666,0.42695321999126373
9,0.03,0.0005,6,0.2942857142857143,0.8609881327384714,0.41644445869428254
10,0.03,0.0005,6,0.5785714285714286,0.8605652432583846,0.41771132881185985
11,0.03,0.0005,6,0.862857142857143,0.8605652432583846,0.41771132881185985
12,0.03,0.0005,6,1.1471428571428572,0.8605652432583846,0.41771132881185985
13,0.03,0.0005,6,1.4314285714285715,0.8605652432583846,0.41771132881185985
14,0.03,0.0005,6,1.715714285714286,0.8605652432583846,0.41771132881185985
15,0.03,0.0005,6,2.0,0.8605652432583846,0.41771132881185985
16,0.03,0.0005,12,0.01,0.8578304924369733,0.4259039518441349
17,0.03,0.0005,12,0.2942857142857143,0.8609881327384714,0.41644445869428254
18,0.03,0.0005,12,0.5785714285714286,0.8605652432583846,0.41771132881185985
19,0.03,0.0005,12,0.862857142857143,0.8605652432583846,0.41771132881185985
20,0.03,0.0005,12,1.1471428571428572,0.8605652432583846,0.41771132881185985
21,0.03,0.0005,12,1.4314285714285715,0.8605652432583846,0.41771132881185985
22,0.03,0.0005,12,1.715714285714286,0.8605652432583846,0.41771132881185985
23,0.03,0.0005,12,2.0,0.8605652432583846,0.41771132881185985
24,0.03,0.0005,17,0.01,0.8599473785128555,0.4195622956002857
25,0.03,0.0005,17,0.2942857142857143,0.8609881327384714,0.41644445869428254
26,0.03,0.0005,17,0.5785714285714286,0.8605652432583846,0.41771132881185985
27,0.03,0.0005,17,0.862857142857143,0.8605652432583846,0.41771132881185985
28,0.03,0.0005,17,1.1471428571428572,0.8605652432583846,0.41771132881185985
29,0.03,0.0005,17,1.4314285714285715,0.8605652432583846,0.41771132881185985
30,0.03,0.0005,17,1.715714285714286,0.8605652432583846,0.41771132881185985
31,0.03,0.0005,17,2.0,0.8605652432583846,0.41771132881185985
32,0.03,0.0005,23,0.01,0.868599319311093,0.3936432652803892
33,0.03,0.0005,23,0.2942857142857143,0.8609881327384714,0.41644445869428254
34,0.03,0.0005,23,0.5785714285714286,0.8605652432583846,0.41771132881185985
35,0.03,0.0005,23,0.862857142857143,0.8605652432583846,0.41771132881185985
36,0.03,0.0005,23,1.1471428571428572,0.8605652432583846,0.41771132881185985
37,0.03,0.0005,23,1.4314285714285715,0.8605652432583846,0.41771132881185985
38,0.03,0.0005,23,1.715714285714286,0.8605652432583846,0.41771132881185985
39,0.03,0.0005,23,2.0,0.8605652432583846,0.41771132881185985
40,0.03,0.0005,28,0.01,0.8785410768395807,0.3638602696701526
41,0.03,0.0005,28,0.2942857142857143,0.8609881327384714,0.41644445869428254
42,0.03,0.0005,28,0.5785714285714286,0.8605652432583846,0.41771132881185985
43,0.03,0.0005,28,0.862857142857143,0.8605652432583846,0.41771132881185985
44,0.03,0.0005,28,1.1471428571428572,0.8605652432583846,0.41771132881185985
45,0.03,0.0005,28,1.4314285714285715,0.8605652432583846,0.41771132881185985
46,0.03,0.0005,28,1.715714285714286,0.8605652432583846,0.41771132881185985
47,0.03,0.0005,28,2.0,0.8605652432583846,0.41771132881185985
48,0.03,0.0005,34,0.01,0.8825074565773217,0.35197799734766155
49,0.03,0.0005,34,0.2942857142857143,0.8609881327384714,0.41644445869428254
50,0.03,0.0005,34,0.5785714285714286,0.8605652432583846,0.41771132881185985
51,0.03,0.0005,34,0.862857142857143,0.8605652432583846,0.41771132881185985
52,0.03,0.0005,34,1.1471428571428572,0.8605652432583846,0.41771132881185985
53,0.03,0.0005,34,1.4314285714285715,0.8605652432583846,0.41771132881185985
54,0.03,0.0005,34,1.715714285714286,0.8605652432583846,0.41771132881185985
55,0.03,0.0005,34,2.0,0.8605652432583846,0.41771132881185985
56,0.03,0.0005,40,0.01,0.8822411147717927,0.35277589015506106
57,0.03,0.0005,40,0.2942857142857143,0.8609881327384714,0.41644445869428254
58,0.03,0.0005,40,0.5785714285714286,0.8605652432583846,0.41771132881185985
59,0.03,0.0005,40,0.862857142857143,0.8605652432583846,0.41771132881185985
60,0.03,0.0005,40,1.1471428571428572,0.8605652432583846,0.41771132881185985
61,0.03,0.0005,40,1.4314285714285715,0.8605652432583846,0.41771132881185985
62,0.03,0.0005,40,1.715714285714286,0.8605652432583846,0.41771132881185985
63,0.03,0.0005,40,2.0,0.8605652432583846,0.41771132881185985
64,0.03,0.007571428571428571,1,0.01,0.8516217721964251,0.4445037102007002
65,0.03,0.007571428571428571,1,0.2942857142857143,0.861237008080883,0.4156988910007132
66,0.03,0.007571428571428571,1,0.5785714285714286,0.8605652432583846,0.41771132881185985
67,0.03,0.007571428571428571,1,0.862857142857143,0.8605652432583846,0.41771132881185985
68,0.03,0.007571428571428571,1,1.1471428571428572,0.8605652432583846,0.41771132881185985
69,0.03,0.007571428571428571,1,1.4314285714285715,0.8605652432583846,0.41771132881185985
70,0.03,0.007571428571428571,1,1.715714285714286,0.8605652432583846,0.41771132881185985
71,0.03,0.007571428571428571,1,2.0,0.8605652432583846,0.41771132881185985
72,0.03,0.007571428571428571,6,0.01,0.8486199881242495,0.45349629743573394
73,0.03,0.007571428571428571,6,0.2942857142857143,0.8609881327384714,0.41644445869428254
74,0.03,0.007571428571428571,6,0.5785714285714286,0.8605652432583846,0.41771132881185985
75,0.03,0.007571428571428571,6,0.862857142857143,0.8605652432583846,0.41771132881185985
