,eta,mu,K,epsilon,r2,mse
0,0.03,0.0005,1,0.01,0.7030123676429246,1.0081274686679125
1,0.03,0.0005,1,0.2942857142857143,0.7026377710640194,1.0093990404766986
2,0.03,0.0005,1,0.5785714285714286,0.7080077801312203,0.9911704913459654
3,0.03,0.0005,1,0.862857142857143,0.6172875570875609,1.2991211897913177
4,0.03,0.0005,1,1.1471428571428572,0.6172875570875609,1.2991211897913177
5,0.03,0.0005,1,1.4314285714285715,0.6172875570875609,1.2991211897913177
6,0.03,0.0005,1,1.715714285714286,0.6172875570875609,1.2991211897913177
7,0.03,0.0005,1,2.0,0.6172875570875609,1.2991211897913177
8,0.03,0.0005,6,0.01,0.6814892188276185,1.0811880111582786
9,0.03,0.0005,6,0.2942857142857143,0.7031620511929105,1.0076193663703492
10,0.03,0.0005,6,0.5785714285714286,0.7079994344030864,0.9911988210030328
11,0.03,0.0005,6,0.862857142857143,0.6172875570875609,1.2991211897913177
12,0.03,0.0005,6,1.1471428571428572,0.6172875570875609,1.2991211897913177
13,0.03,0.0005,6,1.4314285714285715,0.6172875570875609,1.2991211897913177
14,0.03,0.0005,6,1.715714285714286,0.6172875570875609,1.2991211897913177
15,0.03,0.0005,6,2.0,0.6172875570875609,1.2991211897913177
16,0.03,0.0005,12,0.01,0.6872665380005982,1.0615768438267714
17,0.03,0.0005,12,0.2942857142857143,0.7033617490341905,1.0069414900640863
18,0.03,0.0005,12,0.5785714285714286,0.7079994344030864,0.9911988210030328
19,0.03,0.0005,12,0.862857142857143,0.6172875570875609,1.2991211897913177
20,0.03,0.0005,12,1.1471428571428572,0.6172875570875609,1.2991211897913177
21,0.03,0.0005,12,1.4314285714285715,0.6172875570875609,1.2991211897913177
22,0.03,0.0005,12,1.715714285714286,0.6172875570875609,1.2991211897913177
23,0.03,0.0005,12,2.0,0.6172875570875609,1.2991211897913177
24,0.03,0.0005,17,0.01,0.711015682154178,0.9809601380449247
25,0.03,0.0005,17,0.2942857142857143,0.7027648994299658,1.0089675019754476
26,0.03,0.0005,17,0.5785714285714286,0.7079994344030864,0.9911988210030328
27,0.03,0.0005,17,0.862857142857143,0.6172875570875609,1.2991211897913177
28,0.03,0.0005,17,1.1471428571428572,0.6172875570875609,1.2991211897913177
29,0.03,0.0005,17,1.4314285714285715,0.6172875570875609,1.2991211897913177
30,0.03,0.0005,17,1.715714285714286,0.6172875570875609,1.2991211897913177
31,0.03,0.0005,17,2.0,0.6172875570875609,1.2991211897913177
32,0.03,0.0005,23,0.01,0.7238775308563455,0.9373004648403648
33,0.03,0.0005,23,0.2942857142857143,0.7027648994299658,1.0089675019754476
34,0.03,0.0005,23,0.5785714285714286,0.7079994344030864,0.9911988210030328
35,0.03,0.0005,23,0.862857142857143,0.6172875570875609,1.2991211897913177
36,0.03,0.0005,23,1.1471428571428572,0.6172875570875609,1.2991211897913177
37,0.03,0.0005,23,1.4314285714285715,0.6172875570875609,1.2991211897913177
