,eta,mu,K,epsilon,r2,mse
0,0.03,0.0005,1,0.01,0.5477978990932606,0.5176765865253853
1,0.03,0.0005,1,0.2942857142857143,0.5479333674030858,0.5175215037160129
2,0.03,0.0005,1,0.5785714285714286,0.476978467408813,0.5987499861857586
3,0.03,0.0005,1,0.862857142857143,0.476978467408813,0.5987499861857586
4,0.03,0.0005,1,1.1471428571428572,0.476978467408813,0.5987499861857586
5,0.03,0.0005,1,1.4314285714285715,0.476978467408813,0.5987499861857586
6,0.03,0.0005,1,1.715714285714286,0.476978467408813,0.5987499861857586
7,0.03,0.0005,1,2.0,0.476978467408813,0.5987499861857586
8,0.03,0.0005,6,0.01,0.529282394333646,0.5388729570918471
9,0.03,0.0005,6,0.2942857142857143,0.5477761105918186,0.5177015297908619
10,0.03,0.0005,6,0.5785714285714286,0.476978467408813,0.5987499861857586
11,0.03,0.0005,6,0.862857142857143,0.476978467408813,0.5987499861857586
12,0.03,0.0005,6,1.1471428571428572,0.476978467408813,0.5987499861857586
13,0.03,0.0005,6,1.4314285714285715,0.476978467408813,0.5987499861857586
14,0.03,0.0005,6,1.715714285714286,0.476978467408813,0.5987499861857586
15,0.03,0.0005,6,2.0,0.476978467408813,0.5987499861857586
16,0.03,0.0005,12,0.01,0.5403269913209352,0.5262292094036699
17,0.03,0.0005,12,0.2942857142857143,0.5477761105918186,0.5177015297908619
18,0.03,0.0005,12,0.5785714285714286,0.476978467408813,0.5987499861857586
19,0.03,0.0005,12,0.862857142857143,0.476978467408813,0.5987499861857586
20,0.03,0.0005,12,1.1471428571428572,0.476978467408813,0.5987499861857586
21,0.03,0.0005,12,1.4314285714285715,0.476978467408813,0.5987499861857586
22,0.03,0.0005,12,1.715714285714286,0.476978467408813,0.5987499861857586
23,0.03,0.0005,12,2.0,0.476978467408813,0.5987499861857586
24,0.03,0.0005,17,0.01,0.5743329507277226,0.4872995163484465
25,0.03,0.0005,17,0.2942857142857143,0.5477761105918186,0.5177015297908619
26,0.03,0.0005,17,0.5785714285714286,0.476978467408813,0.5987499861857586
27,0.03,0.0005,17,0.862857142857143,0.476978467408813,0.5987499861857586
28,0.03,0.0005,17,1.1471428571428572,0.476978467408813,0.5987499861857586
29,0.03,0.0005,17,1.4314285714285715,0.476978467408813,0.5987499861857586
30,0.03,0.0005,17,1.715714285714286,0.476978467408813,0.5987499861857586
31,0.03,0.0005,17,2.0,0.476978467408813,0.5987499861857586
32,0.03,0.0005,23,0.01,0.637379399341587,0.4151245524428619
33,0.03,0.0005,23,0.2942857142857143,0.5477761105918186,0.5177015297908619
34,0.03,0.0005,23,0.5785714285714286,0.476978467408813,0.5987499861857586
35,0.03,0.0005,23,0.862857142857143,0.476978467408813,0.5987499861857586
36,0.03,0.0005,23,1.1471428571428572,0.476978467408813,0.5987499861857586
37,0.03,0.0005,23,1.4314285714285715,0.476978467408813,0.5987499861857586
38,0.03,0.0005,23,1.715714285714286,0.476978467408813,0.5987499861857586
39,0.03,0.0005,23,2.0,0.476978467408813,0.5987499861857586
40,0.03,0.0005,28,0.01,0.6580518103424722,0.3914589764963337
41,0.03,0.0005,28,0.2942857142857143,0.5477761105918186,0.5177015297908619
42,0.03,0.0005,28,0.5785714285714286,0.476978467408813,0.5987499861857586
43,0.03,0.0005,28,0.862857142857143,0.476978467408813,0.5987499861857586
44,0.03,0.0005,28,1.1471428571428572,0.476978467408813,0.5987499861857586
45,0.03,0.0005,28,1.4314285714285715,0.476978467408813,0.5987499861857586
46,0.03,0.0005,28,1.715714285714286,0.476978467408813,0.5987499861857586
47,0.03,0.0005,28,2.0,0.476978467408813,0.5987499861857586
48,0.03,0.0005,34,0.01,0.668364409159665,0.3796532132254748
49,0.03,0.0005,34,0.2942857142857143,0.5477761105918186,0.5177015297908619
50,0.03,0.0005,34,0.5785714285714286,0.476978467408813,0.5987499861857586
51,0.03,0.0005,34,0.862857142857143,0.476978467408813,0.5987499861857586
52,0.03,0.0005,34,1.1471428571428572,0.476978467408813,0.5987499861857586
53,0.03,0.0005,34,1.4314285714285715,0.476978467408813,0.5987499861857586
54,0.03,0.0005,34,1.715714285714286,0.476978467408813,0.5987499861857586
55,0.03,0.0005,34,2.0,0.476978467408813,0.5987499861857586
56,0.03,0.0005,40,0.01,0.6620402294393928,0.386893072933333
57,0.03,0.0005,40,0.2942857142857143,0.5477761105918186,0.5177015297908619
58,0.03,0.0005,40,0.5785714285714286,0.476978467408813,0.5987499861857586
59,0.03,0.0005,40,0.862857142857143,0.476978467408813,0.5987499861857586
60,0.03,0.0005,40,1.1471428571428572,0.476978467408813,0.5987499861857586
61,0.03,0.0005,40,1.4314285714285715,0.476978467408813,0.5987499861857586
62,0.03,0.0005,40,1.715714285714286,0.476978467408813,0.5987499861857586
63,0.03,0.0005,40,2.0,0.476978467408813,0.5987499861857586
64,0.03,0.007571428571428571,1,0.01,0.5109741445152761,0.5598320642083848
65,0.03,0.007571428571428571,1,0.2942857142857143,0.5500378699871519,0.515112289535299
66,0.03,0.007571428571428571,1,0.5785714285714286,0.476978467408813,0.5987499861857586
67,0.03,0.007571428571428571,1,0.862857142857143,0.476978467408813,0.5987499861857586
68,0.03,0.007571428571428571,1,1.1471428571428572,0.476978467408813,0.5987499861857586
69,0.03,0.007571428571428571,1,1.4314285714285715,0.476978467408813,0.5987499861857586
70,0.03,0.007571428571428571,1,1.715714285714286,0.476978467408813,0.5987499861857586
71,0.03,0.007571428571428571,1,2.0,0.476978467408813,0.5987499861857586
72,0.03,0.007571428571428571,6,0.01,0.5315230236910065,0.536307906299157
73,0.03,0.007571428571428571,6,0.2942857142857143,0.5477761105918186,0.5177015297908619
74,0.03,0.007571428571428571,6,0.5785714285714286,0.476978467408813,0.5987499861857586
75,0.03,0.007571428571428571,6,0.862857142857143,0.476978467408813,0.5987499861857586
76,0.03,0.007571428571428571,6,1.1471428571428572,0.476978467408813,0.5987499861857586
77,0.03,0.007571428571428571,6,1.4314285714285715,0.476978467408813,0.5987499861857586
78,0.03,0.007571428571428571,6,1.715714285714286,0.476978467408813,0.5987499861857586
79,0.03,0.007571428571428571,6,2.0,0.476978467408813,0.5987499861857586
80,0.03,0.007571428571428571,12,0.01,0.5654046828673063,0.4975205109442189
81,0.03,0.007571428571428571,12,0.2942857142857143,0.5477761105918186,0.5177015297908619
82,0.03,0.007571428571428571,12,0.5785714285714286,0.476978467408813,0.5987499861857586
83,0.03,0.007571428571428571,12,0.862857142857143,0.476978467408813,0.5987499861857586
84,0.03,0.007571428571428571,12,1.1471428571428572,0.476978467408813,0.5987499861857586
85,0.03,0.007571428571428571,12,1.4314285714285715,0.476978467408813,0.5987499861857586
86,0.03,0.007571428571428571,12,1.715714285714286,0.476978467408813,0.5987499861857586
87,0.03,0.007571428571428571,12,2.0,0.476978467408813,0.5987499861857586
88,0.03,0.007571428571428571,17,0.01,0.2402738251510954,0.869727168673372
89,0.03,0.007571428571428571,17,0.2942857142857143,0.5477761105918186,0.5177015297908619
90,0.03,0.007571428571428571,17,0.5785714285714286,0.476978467408813,0.5987499861857586
91,0.03,0.007571428571428571,17,0.862857142857143,0.476978467408813,0.5987499861857586
92,0.03,0.007571428571428571,17,1.1471428571428572,0.476978467408813,0.5987499861857586
93,0.03,0.007571428571428571,17,1.4314285714285715,0.476978467408813,0.5987499861857586
94,0.03,0.007571428571428571,17,1.715714285714286,0.476978467408813,0.5987499861857586
95,0.03,0.007571428571428571,17,2.0,0.476978467408813,0.5987499861857586
96,0.03,0.007571428571428571,23,0.01,0.4804096201001069,0.5948220358080076
97,0.03,0.007571428571428571,23,0.2942857142857143,0.5477761105918186,0.5177015297908619
98,0.03,0.007571428571428571,23,0.5785714285714286,0.476978467408813,0.5987499861857586
99,0.03,0.007571428571428571,23,0.862857142857143,0.476978467408813,0.5987499861857586
100,0.03,0.007571428571428571,23,1.1471428571428572,0.476978467408813,0.5987499861857586
101,0.03,0.007571428571428571,23,1.4314285714285715,0.476978467408813,0.5987499861857586
102,0.03,0.007571428571428571,23,1.715714285714286,0.476978467408813,0.5987499861857586
103,0.03,0.007571428571428571,23,2.0,0.476978467408813,0.5987499861857586
104,0.03,0.007571428571428571,28,0.01,0.43407149083246144,0.6478694775097302
105,0.03,0.007571428571428571,28,0.2942857142857143,0.5477761105918186,0.5177015297908619
106,0.03,0.007571428571428571,28,0.5785714285714286,0.476978467408813,0.5987499861857586
107,0.03,0.007571428571428571,28,0.862857142857143,0.476978467408813,0.5987499861857586
108,0.03,0.007571428571428571,28,1.1471428571428572,0.476978467408813,0.5987499861857586
109,0.03,0.007571428571428571,28,1.4314285714285715,0.476978467408813,0.5987499861857586
110,0.03,0.007571428571428571,28,1.715714285714286,0.476978467408813,0.5987499861857586
111,0.03,0.007571428571428571,28,2.0,0.476978467408813,0.5987499861857586
112,0.03,0.007571428571428571,34,0.01,0.5744568338542785,0.4871576961447037
113,0.03,0.007571428571428571,34,0.2942857142857143,0.5477761105918186,0.5177015297908619
114,0.03,0.007571428571428571,34,0.5785714285714286,0.476978467408813,0.5987499861857586
115,0.03,0.007571428571428571,34,0.862857142857143,0.476978467408813,0.5987499861857586
116,0.03,0.007571428571428571,34,1.1471428571428572,0.476978467408813,0.5987499861857586
117,0.03,0.007571428571428571,34,1.4314285714285715,0.476978467408813,0.5987499861857586
118,0.03,0.007571428571428571,34,1.715714285714286,0.476978467408813,0.5987499861857586
119,0.03,0.007571428571428571,34,2.0,0.476978467408813,0.5987499861857586
120,0.03,0.007571428571428571,40,0.01,0.4372589846923578,0.6442204654028579
121,0.03,0.007571428571428571,40,0.2942857142857143,0.5477761105918186,0.5177015297908619
122,0.03,0.007571428571428571,40,0.5785714285714286,0.476978467408813,0.5987499861857586
123,0.03,0.007571428571428571,40,0.862857142857143,0.476978467408813,0.5987499861857586
124,0.03,0.007571428571428571,40,1.1471428571428572,0.476978467408813,0.5987499861857586
125,0.03,0.007571428571428571,40,1.4314285714285715,0.476978467408813,0.5987499861857586
126,0.03,0.007571428571428571,40,1.715714285714286,0.476978467408813,0.5987499861857586
127,0.03,0.007571428571428571,40,2.0,0.476978467408813,0.5987499861857586
128,0.03,0.014642857142857143,1,0.01,0.50756434138463,0.5637355738158302
129,0.03,0.014642857142857143,1,0.2942857142857143,0.5520660534527206,0.5127904447424562
130,0.03,0.014642857142857143,1,0.5785714285714286,0.476978467408813,0.5987499861857586
131,0.03,0.014642857142857143,1,0.862857142857143,0.476978467408813,0.5987499861857586
132,0.03,0.014642857142857143,1,1.1471428571428572,0.476978467408813,0.5987499861857586
133,0.03,0.014642857142857143,1,1.4314285714285715,0.476978467408813,0.5987499861857586
134,0.03,0.014642857142857143,1,1.715714285714286,0.476978467408813,0.5987499861857586
135,0.03,0.014642857142857143,1,2.0,0.476978467408813,0.5987499861857586
136,0.03,0.014642857142857143,6,0.01,0.5355743508490021,0.5316699861969653
137,0.03,0.014642857142857143,6,0.2942857142857143,0.5477761105918186,0.5177015297908619
138,0.03,0.014642857142857143,6,0.5785714285714286,0.476978467408813,0.5987499861857586
139,0.03,0.014642857142857143,6,0.862857142857143,0.476978467408813,0.5987499861857586
140,0.03,0.014642857142857143,6,1.1471428571428572,0.476978467408813,0.5987499861857586
141,0.03,0.014642857142857143,6,1.4314285714285715,0.476978467408813,0.5987499861857586
142,0.03,0.014642857142857143,6,1.715714285714286,0.476978467408813,0.5987499861857586
143,0.03,0.014642857142857143,6,2.0,0.476978467408813,0.5987499861857586
144,0.03,0.014642857142857143,12,0.01,0.4193516505332048,0.6647206081547193
145,0.03,0.014642857142857143,12,0.2942857142857143,0.5477761105918186,0.5177015297908619
146,0.03,0.014642857142857143,12,0.5785714285714286,0.476978467408813,0.5987499861857586
147,0.03,0.014642857142857143,12,0.862857142857143,0.476978467408813,0.5987499861857586
148,0.03,0.014642857142857143,12,1.1471428571428572,0.476978467408813,0.5987499861857586
149,0.03,0.014642857142857143,12,1.4314285714285715,0.476978467408813,0.5987499861857586
150,0.03,0.014642857142857143,12,1.715714285714286,0.476978467408813,0.5987499861857586
151,0.03,0.014642857142857143,12,2.0,0.476978467408813,0.5987499861857586
152,0.03,0.014642857142857143,17,0.01,0.34822585013235297,0.7461447357551183
153,0.03,0.014642857142857143,17,0.2942857142857143,0.5477761105918186,0.5177015297908619
154,0.03,0.014642857142857143,17,0.5785714285714286,0.476978467408813,0.5987499861857586
155,0.03,0.014642857142857143,17,0.862857142857143,0.476978467408813,0.5987499861857586
156,0.03,0.014642857142857143,17,1.1471428571428572,0.476978467408813,0.5987499861857586
157,0.03,0.014642857142857143,17,1.4314285714285715,0.476978467408813,0.5987499861857586
158,0.03,0.014642857142857143,17,1.715714285714286,0.476978467408813,0.5987499861857586
159,0.03,0.014642857142857143,17,2.0,0.476978467408813,0.5987499861857586
160,0.03,0.014642857142857143,23,0.01,0.44139387652475337,0.639486881270555
161,0.03,0.014642857142857143,23,0.2942857142857143,0.5477761105918186,0.5177015297908619
162,0.03,0.014642857142857143,23,0.5785714285714286,0.476978467408813,0.5987499861857586
163,0.03,0.014642857142857143,23,0.862857142857143,0.476978467408813,0.5987499861857586
164,0.03,0.014642857142857143,23,1.1471428571428572,0.476978467408813,0.5987499861857586
165,0.03,0.014642857142857143,23,1.4314285714285715,0.476978467408813,0.5987499861857586
166,0.03,0.014642857142857143,23,1.715714285714286,0.476978467408813,0.5987499861857586
