,Best_R2,Best_R2_CB_size,Best_R2_epsilon,Best_R2_sigma,Best_MSE,Best_MSE_CB_size,Best_MSE_epsilon,Best_MSE_sigma
lorenz,0.9854603013956925,4,17.151170568561874,28.9810413888663,1.3551363887225563,4,17.151170568561874,28.9810413888663
chua,0.9984482554501317,3,6.1180602006688956,12.777612104315294,0.27923958497206175,3,6.1180602006688956,12.777612104315294
duffing,0.9996725272313252,34,1.103010033444816,8.287761322216216,0.0006795059950002423,34,1.103010033444816,8.287761322216216
nose_hoover,0.9995576852356546,8,1.103010033444816,1.9341703975023956,0.00032709671894639214,8,1.103010033444816,1.9341703975023956
rikitake,0.999775468632472,1,1.103010033444816,0.8404237358057086,0.0004647135878727209,1,1.103010033444816,0.8404237358057086
rossler,0.9951034864027907,7,1.103010033444816,1.11839963151112,2.175587750941678e-05,7,1.103010033444816,1.11839963151112
wang,0.9988977878823214,10,1.103010033444816,1.6430179795481452,0.00037384816856358424,10,1.103010033444816,1.6430179795481452
Sistema 1,0.708910178459294,5,1.103010033444816,2.4476917418266093,0.28398483446432254,5,1.103010033444816,2.4476917418266093
Sistema 2,0.9707353745854327,7,1.103010033444816,1.0469660992779795,0.015137868600805352,7,1.103010033444816,1.0469660992779795
Sistema 3,0.8936103100871339,23,90.37090301003343,284.5,572.6018096959851,23,90.37090301003343,284.5
