,epsilon,sigma,r2,mse
0,0.01,0.1,-1.4895159843320016e-05,17281157003.745556
1,0.01,169.58983050847456,4.505784497843557e-06,17280821737.974213
2,0.01,339.07966101694916,6.267828099237871e-05,17279816464.902695
3,0.01,508.5694915254237,0.0001596224771290844,17278141181.98226
4,0.01,678.0593220338983,0.0002953384174546603,17275795888.443108
5,0.01,847.5491525423729,0.00046982657081939827,17272780576.183075
6,0.01,1017.0389830508474,0.0006830868290693681,17269095247.071163
7,0.01,1186.5288135593219,0.0009351177799907795,17264739925.5117
8,0.01,1356.0186440677965,0.0012259223101930283,17259714561.62147
9,0.01,1525.508474576271,0.0015554967134684405,17254019219.447086
10,0.01,1694.9983050847457,0.001923844176486944,17247653843.920017
11,0.01,1864.4881355932202,0.002330964956374304,17240618430.596905
12,0.01,2033.9779661016946,0.002776854291862696,17232913061.756733
13,0.01,2203.4677966101694,0.0032615173875104597,17224537647.460056
14,0.01,2372.957627118644,0.0037849555260206502,17215492165.540615
15,0.01,2542.4474576271186,0.004347162920035674,17205776716.009148
16,0.01,2711.937288135593,0.00494813918274184,17195391305.550148
17,0.01,2881.4271186440674,0.005587889702296511,17184335841.051407
18,0.01,3050.916949152542,0.006266416185596313,17172610293.016212
19,0.01,3220.4067796610166,0.0069837143539540625,17160214735.384136
20,0.01,3389.8966101694914,0.007739780198636859,17147149237.429686
21,0.01,3559.3864406779658,0.00853461483983764,17133413779.794914
22,0.01,3728.8762711864406,0.009368222807828896,17119008284.192644
23,0.01,3898.366101694915,0.010240607127126156,17103932698.356524
24,0.01,4067.8559322033893,0.011151766641105731,17088187042.27405
25,0.01,4237.345762711864,0.012101697392822408,17071771384.324799
26,0.01,4406.835593220339,0.013090396018498596,17054685782.637867
27,0.01,4576.325423728814,0.014117862166835526,17036930243.28402
28,0.01,4745.815254237288,0.015184098477725727,17018504720.643538
29,0.01,4915.3050847457625,0.016289108653727125,16999409150.732887
30,0.01,5084.794915254238,0.017432895182459163,16979643490.563766
31,0.01,5254.284745762712,0.01861545806363618,16959207740.141113
32,0.01,5423.774576271187,0.019836795013612574,16938101938.92838
33,0.01,5593.264406779661,0.021096902760340375,16916326143.469494
34,0.01,5762.754237288135,0.022395778619126117,16893880400.158377
35,0.01,5932.244067796611,0.023733421605169003,16870764726.013271
36,0.01,6101.733898305085,0.02510983270508016,16846979103.984652
37,0.01,6271.223728813559,0.026525014349196963,16822523492.074099
38,0.01,6440.713559322034,0.02797896941838318,16797397840.497696
39,0.01,6610.203389830509,0.029471700213481666,16771602109.49481
40,0.01,6779.693220338983,0.031003207738140692,16745136281.721495
41,0.01,6949.183050847458,0.03257349147242217,16718000366.162748
42,0.01,7118.672881355932,0.0341825496281698,16690194393.71952
43,0.01,7288.162711864406,0.03583037973791081,16661718407.03196
44,0.01,7457.652542372882,0.03751697936451126,16632572448.215935
45,0.01,7627.142372881356,0.03924234672664173,16602756548.054419
46,0.01,7796.6322033898305,0.04100648109401983,16572270719.167347
47,0.01,7966.122033898305,0.042809382888005953,16541114954.273237
48,0.01,8135.611864406779,0.04465105350155141,16509289229.300634
49,0.01,8305.101694915254,0.046531494909862525,16476793510.116198
50,0.01,8474.591525423728,0.04845070917133043,16443627761.149076
51,0.01,8644.081355932203,0.05040869791772351,16409791954.200842
52,0.01,8813.571186440679,0.0524054619098111,16375286076.12472
53,0.01,8983.061016949152,0.05444100069866975,16340110134.67851
54,0.01,9152.550847457627,0.056515312393512485,16304264162.53671
55,0.01,9322.040677966103,0.05862839350180149,16267748220.053522
56,0.01,9491.530508474576,0.06078023878194494,16230562397.808361
57,0.01,9661.020338983051,0.06297084103552708,16192706820.19633
58,0.01,9830.510169491525,0.0652001907647981,16154181651.347086
59,0.01,10000.0,0.06746827563023683,16114987104.49866
60,169.50135593220338,0.1,-1.4895159843764105e-05,17281157003.745564
61,169.50135593220338,169.58983050847456,3.872297292151217e-06,17280832685.203014
62,169.50135593220338,339.07966101694916,6.253162354385999e-05,17279818999.27534
63,169.50135593220338,508.5694915254237,0.0001595728252580253,17278142040.01126
64,169.50135593220338,678.0593220338983,0.0002953171267384702,17275796256.365837
65,169.50135593220338,847.5491525423729,0.00046981579382943117,17272780762.41916
66,169.50135593220338,1017.0389830508474,0.000683080577689732,17269095355.100628
67,169.50135593220338,1186.5288135593219,0.0009351135494826135,17264739998.618687
68,169.50135593220338,1356.0186440677965,0.0012259188426320122,17259714621.54405
69,169.50135593220338,1525.508474576271,0.001555493337968783,17254019277.778755
