,epsilon,sigma,r2,mse
0,0.01,0.1,-3.4505455704298225,325.16872749716936
1,0.01,169.58983050847456,0.9999878860662008,0.0008850763071915033
2,0.01,339.07966101694916,0.9999884292279316,0.0008453914627047735
3,0.01,508.5694915254237,0.9999884653637366,0.0008427512844278863
4,0.01,678.0593220338983,0.9999884730720043,0.0008421880978369663
5,0.01,847.5491525423729,0.9999884757647636,0.0008419913576638282
6,0.01,1017.0389830508474,0.9999884769945221,0.000841901508231882
7,0.01,1186.5288135593219,0.9999884776566124,0.0008418531341491292
8,0.01,1356.0186440677965,0.9999884780543266,0.0008418240760927214
9,0.01,1525.508474576271,0.9999884783124293,0.0008418052184175015
10,0.01,1694.9983050847457,0.9999884784897748,0.0008417922610772541
11,0.01,1864.4881355932202,0.9999884786170845,0.0008417829594938186
12,0.01,2033.9779661016946,0.9999884787116892,0.0008417760474212007
13,0.01,2203.4677966101694,0.9999884787839837,0.0008417707653955858
14,0.01,2372.957627118644,0.9999884788405186,0.0008417666348078342
15,0.01,2542.4474576271186,0.9999884788855936,0.0008417633415027106
16,0.01,2711.937288135593,0.9999884789221292,0.0008417606721201585
17,0.01,2881.4271186440674,0.9999884789521666,0.0008417584775012761
18,0.01,3050.916949152542,0.9999884789771692,0.0008417566507447672
19,0.01,3220.4067796610166,0.9999884789982084,0.0008417551135630316
20,0.01,3389.8966101694914,0.999988479016084,0.0008417538075281077
21,0.01,3559.3864406779658,0.9999884790314028,0.0008417526882985156
22,0.01,3728.8762711864406,0.9999884790446322,0.0008417517217185297
23,0.01,3898.366101694915,0.9999884790561373,0.0008417508811252096
24,0.01,4067.8559322033893,0.9999884790662064,0.0008417501454530735
25,0.01,4237.345762711864,0.9999884790750697,0.0008417494978768281
26,0.01,4406.835593220339,0.999988479082913,0.000841748924824042
27,0.01,4576.325423728814,0.9999884790898875,0.0008417484152466326
28,0.01,4745.815254237288,0.9999884790961173,0.0008417479600762651
29,0.01,4915.3050847457625,0.9999884791017052,0.0008417475518123709
30,0.01,5084.794915254238,0.9999884791067366,0.0008417471842070223
31,0.01,5254.284745762712,0.9999884791112832,0.0008417468520214748
32,0.01,5423.774576271187,0.9999884791154054,0.0008417465508362691
33,0.01,5593.264406779661,0.9999884791191548,0.0008417462769018402
34,0.01,5762.754237288135,0.9999884791225748,0.0008417460270200233
35,0.01,5932.244067796611,0.9999884791257033,0.0008417457984493503
36,0.01,6101.733898305085,0.9999884791285724,0.0008417455888288301
37,0.01,6271.223728813559,0.99998847913121,0.000841745396116189
38,0.01,6440.713559322034,0.9999884791336404,0.0008417452185375138
39,0.01,6610.203389830509,0.999988479135885,0.0008417450545459587
40,0.01,6779.693220338983,0.9999884791379621,0.0008417449027876829
41,0.01,6949.183050847458,0.9999884791398881,0.0008417447620736191
42,0.01,7118.672881355932,0.9999884791416772,0.0008417446313559434
43,0.01,7288.162711864406,0.9999884791433421,0.000841744509708388
44,0.01,7457.652542372882,0.9999884791448942,0.0008417443963096749
45,0.01,7627.142372881356,0.9999884791463434,0.0008417442904295457
46,0.01,7796.6322033898305,0.9999884791476985,0.0008417441914168955
47,0.01,7966.122033898305,0.9999884791489677,0.000841744098689689
48,0.01,8135.611864406779,0.999988479150158,0.0008417440117263406
49,0.01,8305.101694915254,0.9999884791512758,0.0008417439300583263
50,0.01,8474.591525423728,0.9999884791523268,0.0008417438532638269
51,0.01,8644.081355932203,0.9999884791533163,0.000841743780962249
52,0.01,8813.571186440679,0.9999884791542492,0.0008417437128094738
53,0.01,8983.061016949152,0.9999884791551295,0.0008417436484937399
54,0.01,9152.550847457627,0.9999884791559611,0.0008417435877320575
55,0.01,9322.040677966103,0.9999884791567476,0.0008417435302670725
56,0.01,9491.530508474576,0.9999884791574922,0.000841743475864334
57,0.01,9661.020338983051,0.9999884791581979,0.0008417434243098826
58,0.01,9830.510169491525,0.9999884791588671,0.0008417433754081396
59,0.01,10000.0,0.9999884791595026,0.0008417433289800446
60,169.50135593220338,0.1,-3.614191168929519,337.12511131182157
61,169.50135593220338,169.58983050847456,0.9999875420258036,0.0009102128160466522
62,169.50135593220338,339.07966101694916,0.9999884221010962,0.0008459121683115778
63,169.50135593220338,508.5694915254237,0.9999884676403055,0.0008425849522397821
64,169.50135593220338,678.0593220338983,0.9999884753809077,0.0008420194032019784
65,169.50135593220338,847.5491525423729,0.9999884775422293,0.000841861491278526
66,169.50135593220338,1017.0389830508474,0.9999884783410689,0.0008418031259371289
67,169.50135593220338,1186.5288135593219,0.999988478695396,0.0008417772378502247
68,169.50135593220338,1356.0186440677965,0.9999884788741686,0.0008417641762389109
69,169.50135593220338,1525.508474576271,0.9999884789734671,0.0008417569212313865
70,169.50135593220338,1694.9983050847457,0.9999884790328898,0.0008417525796483901
71,169.50135593220338,1864.4881355932202,0.9999884790706287,0.0008417498223485501
72,169.50135593220338,2033.9779661016946,0.9999884790957871,0.0008417479842036675
73,169.50135593220338,2203.4677966101694,0.9999884791132474,0.0008417467085078772
74,169.50135593220338,2372.957627118644,0.9999884791257823,0.0008417457926832004
75,169.50135593220338,2542.4474576271186,0.9999884791350439,0.0008417451160005158
76,169.50135593220338,2711.937288135593,0.9999884791420586,0.0008417446034869742
77,169.50135593220338,2881.4271186440674,0.9999884791474867,0.0008417442068999211
78,169.50135593220338,3050.916949152542,0.9999884791517663,0.0008417438942193581
79,169.50135593220338,3220.4067796610166,0.9999884791551964,0.000841743643605225
80,169.50135593220338,3389.8966101694914,0.9999884791579858,0.0008417434397966326
81,169.50135593220338,3559.3864406779658,0.9999884791602839,0.0008417432718976732
82,169.50135593220338,3728.8762711864406,0.999988479162199,0.0008417431319771534
83,169.50135593220338,3898.366101694915,0.9999884791638115,0.0008417430141604863
84,169.50135593220338,4067.8559322033893,0.9999884791651821,0.0008417429140272541
85,169.50135593220338,4237.345762711864,0.9999884791663567,0.0008417428282032378
86,169.50135593220338,4406.835593220339,0.9999884791673712,0.0008417427540789027
87,169.50135593220338,4576.325423728814,0.9999884791682536,0.0008417426896118051
88,169.50135593220338,4745.815254237288,0.9999884791690259,0.0008417426331856825
89,169.50135593220338,4915.3050847457625,0.9999884791697058,0.0008417425835085169
90,169.50135593220338,5084.794915254238,0.9999884791703076,0.0008417425395377809
91,169.50135593220338,5254.284745762712,0.999988479170843,0.0008417425004249587
92,169.50135593220338,5423.774576271187,0.9999884791713213,0.0008417424654738682
93,169.50135593220338,5593.264406779661,0.9999884791717506,0.0008417424341090366
94,169.50135593220338,5762.754237288135,0.9999884791721374,0.000841742405851447
95,169.50135593220338,5932.244067796611,0.9999884791724871,0.0008417423802997761
96,169.50135593220338,6101.733898305085,0.9999884791728044,0.0008417423571157423
97,169.50135593220338,6271.223728813559,0.9999884791730932,0.0008417423360125755
98,169.50135593220338,6440.713559322034,0.999988479173357,0.00084174231674587
99,169.50135593220338,6610.203389830509,0.9999884791735983,0.0008417422991062776
100,169.50135593220338,6779.693220338983,0.99998847917382,0.0008417422829136294
101,169.50135593220338,6949.183050847458,0.999988479174024,0.0008417422680121729
102,169.50135593220338,7118.672881355932,0.9999884791742121,0.0008417422542666993
103,169.50135593220338,7288.162711864406,0.999988479174386,0.0008417422415593592
104,169.50135593220338,7457.652542372882,0.9999884791745471,0.0008417422297870528
105,169.50135593220338,7627.142372881356,0.9999884791746967,0.0008417422188592538
106,169.50135593220338,7796.6322033898305,0.9999884791748358,0.0008417422086962111
107,169.50135593220338,7966.122033898305,0.9999884791749654,0.000841742199227435
108,169.50135593220338,8135.611864406779,0.9999884791750864,0.0008417421903904361
109,169.50135593220338,8305.101694915254,0.9999884791751994,0.000841742182129647
110,169.50135593220338,8474.591525423728,0.9999884791753053,0.0008417421743955267
111,169.50135593220338,8644.081355932203,0.9999884791754046,0.0008417421671437831
112,169.50135593220338,8813.571186440679,0.9999884791754977,0.0008417421603347163
113,169.50135593220338,8983.061016949152,0.9999884791755853,0.0008417421539326616
114,169.50135593220338,9152.550847457627,0.9999884791756678,0.0008417421479054982
115,169.50135593220338,9322.040677966103,0.9999884791757456,0.0008417421422242372
116,169.50135593220338,9491.530508474576,0.999988479175819,0.0008417421368626568
117,169.50135593220338,9661.020338983051,0.9999884791758883,0.0008417421317969927
118,169.50135593220338,9830.510169491525,0.9999884791759539,0.0008417421270056653
119,169.50135593220338,10000.0,0.999988479176016,0.0008417421224690372
120,338.9927118644068,0.1,-3.614191168929519,337.12511131182157
121,338.9927118644068,169.58983050847456,0.9999875420258036,0.0009102128160466522
122,338.9927118644068,339.07966101694916,0.9999884221010962,0.0008459121683115778
123,338.9927118644068,508.5694915254237,0.9999884676403055,0.0008425849522397821
124,338.9927118644068,678.0593220338983,0.9999884753809077,0.0008420194032019784
125,338.9927118644068,847.5491525423729,0.9999884775422293,0.000841861491278526
126,338.9927118644068,1017.0389830508474,0.9999884783410689,0.0008418031259371289
127,338.9927118644068,1186.5288135593219,0.999988478695396,0.0008417772378502247
128,338.9927118644068,1356.0186440677965,0.9999884788741686,0.0008417641762389109
129,338.9927118644068,1525.508474576271,0.9999884789734671,0.0008417569212313865
130,338.9927118644068,1694.9983050847457,0.9999884790328898,0.0008417525796483901
131,338.9927118644068,1864.4881355932202,0.9999884790706287,0.0008417498223485501
132,338.9927118644068,2033.9779661016946,0.9999884790957871,0.0008417479842036675
133,338.9927118644068,2203.4677966101694,0.9999884791132474,0.0008417467085078772
134,338.9927118644068,2372.957627118644,0.9999884791257823,0.0008417457926832004
135,338.9927118644068,2542.4474576271186,0.9999884791350439,0.0008417451160005158
136,338.9927118644068,2711.937288135593,0.9999884791420586,0.0008417446034869742
137,338.9927118644068,2881.4271186440674,0.9999884791474867,0.0008417442068999211
138,338.9927118644068,3050.916949152542,0.9999884791517663,0.0008417438942193581
139,338.9927118644068,3220.4067796610166,0.9999884791551964,0.000841743643605225
140,338.9927118644068,3389.8966101694914,0.9999884791579858,0.0008417434397966326
141,338.9927118644068,3559.3864406779658,0.9999884791602839,0.0008417432718976732
142,338.9927118644068,3728.8762711864406,0.999988479162199,0.0008417431319771534
143,338.9927118644068,3898.366101694915,0.9999884791638115,0.0008417430141604863
144,338.9927118644068,4067.8559322033893,0.9999884791651821,0.0008417429140272541
145,338.9927118644068,4237.345762711864,0.9999884791663567,0.0008417428282032378
146,338.9927118644068,4406.835593220339,0.9999884791673712,0.0008417427540789027
147,338.9927118644068,4576.325423728814,0.9999884791682536,0.0008417426896118051
148,338.9927118644068,4745.815254237288,0.9999884791690259,0.0008417426331856825
149,338.9927118644068,4915.3050847457625,0.9999884791697058,0.0008417425835085169
150,338.9927118644068,5084.794915254238,0.9999884791703076,0.0008417425395377809
151,338.9927118644068,5254.284745762712,0.999988479170843,0.0008417425004249587
152,338.9927118644068,5423.774576271187,0.9999884791713213,0.0008417424654738682
153,338.9927118644068,5593.264406779661,0.9999884791717506,0.0008417424341090366
154,338.9927118644068,5762.754237288135,0.9999884791721374,0.000841742405851447
155,338.9927118644068,5932.244067796611,0.9999884791724871,0.0008417423802997761
156,338.9927118644068,6101.733898305085,0.9999884791728044,0.0008417423571157423
157,338.9927118644068,6271.223728813559,0.9999884791730932,0.0008417423360125755
158,338.9927118644068,6440.713559322034,0.999988479173357,0.00084174231674587
159,338.9927118644068,6610.203389830509,0.9999884791735983,0.0008417422991062776
160,338.9927118644068,6779.693220338983,0.99998847917382,0.0008417422829136294
161,338.9927118644068,6949.183050847458,0.999988479174024,0.0008417422680121729
162,338.9927118644068,7118.672881355932,0.9999884791742121,0.0008417422542666993
163,338.9927118644068,7288.162711864406,0.999988479174386,0.0008417422415593592
164,338.9927118644068,7457.652542372882,0.9999884791745471,0.0008417422297870528
165,338.9927118644068,7627.142372881356,0.9999884791746967,0.0008417422188592538
166,338.9927118644068,7796.6322033898305,0.9999884791748358,0.0008417422086962111
167,338.9927118644068,7966.122033898305,0.9999884791749654,0.000841742199227435
168,338.9927118644068,8135.611864406779,0.9999884791750864,0.0008417421903904361
169,338.9927118644068,8305.101694915254,0.9999884791751994,0.000841742182129647
170,338.9927118644068,8474.591525423728,0.9999884791753053,0.0008417421743955267
171,338.9927118644068,8644.081355932203,0.9999884791754046,0.0008417421671437831
172,338.9927118644068,8813.571186440679,0.9999884791754977,0.0008417421603347163
173,338.9927118644068,8983.061016949152,0.9999884791755853,0.0008417421539326616
174,338.9927118644068,9152.550847457627,0.9999884791756678,0.0008417421479054982
175,338.9927118644068,9322.040677966103,0.9999884791757456,0.0008417421422242372
176,338.9927118644068,9491.530508474576,0.999988479175819,0.0008417421368626568
177,338.9927118644068,9661.020338983051,0.9999884791758883,0.0008417421317969927
178,338.9927118644068,9830.510169491525,0.9999884791759539,0.0008417421270056653
179,338.9927118644068,10000.0,0.999988479176016,0.0008417421224690372
180,508.48406779661013,0.1,-3.614191168929519,337.12511131182157
181,508.48406779661013,169.58983050847456,0.9999875420258036,0.0009102128160466522
182,508.48406779661013,339.07966101694916,0.9999884221010962,0.0008459121683115778
183,508.48406779661013,508.5694915254237,0.9999884676403055,0.0008425849522397821
184,508.48406779661013,678.0593220338983,0.9999884753809077,0.0008420194032019784
185,508.48406779661013,847.5491525423729,0.9999884775422293,0.000841861491278526
186,508.48406779661013,1017.0389830508474,0.9999884783410689,0.0008418031259371289
187,508.48406779661013,1186.5288135593219,0.999988478695396,0.0008417772378502247
188,508.48406779661013,1356.0186440677965,0.9999884788741686,0.0008417641762389109
189,508.48406779661013,1525.508474576271,0.9999884789734671,0.0008417569212313865
190,508.48406779661013,1694.9983050847457,0.9999884790328898,0.0008417525796483901
191,508.48406779661013,1864.4881355932202,0.9999884790706287,0.0008417498223485501
192,508.48406779661013,2033.9779661016946,0.9999884790957871,0.0008417479842036675
193,508.48406779661013,2203.4677966101694,0.9999884791132474,0.0008417467085078772
194,508.48406779661013,2372.957627118644,0.9999884791257823,0.0008417457926832004
195,508.48406779661013,2542.4474576271186,0.9999884791350439,0.0008417451160005158
196,508.48406779661013,2711.937288135593,0.9999884791420586,0.0008417446034869742
197,508.48406779661013,2881.4271186440674,0.9999884791474867,0.0008417442068999211
198,508.48406779661013,3050.916949152542,0.9999884791517663,0.0008417438942193581
199,508.48406779661013,3220.4067796610166,0.9999884791551964,0.000841743643605225
200,508.48406779661013,3389.8966101694914,0.9999884791579858,0.0008417434397966326
201,508.48406779661013,3559.3864406779658,0.9999884791602839,0.0008417432718976732
202,508.48406779661013,3728.8762711864406,0.999988479162199,0.0008417431319771534
203,508.48406779661013,3898.366101694915,0.9999884791638115,0.0008417430141604863
204,508.48406779661013,4067.8559322033893,0.9999884791651821,0.0008417429140272541
205,508.48406779661013,4237.345762711864,0.9999884791663567,0.0008417428282032378
206,508.48406779661013,4406.835593220339,0.9999884791673712,0.0008417427540789027
207,508.48406779661013,4576.325423728814,0.9999884791682536,0.0008417426896118051
208,508.48406779661013,4745.815254237288,0.9999884791690259,0.0008417426331856825
209,508.48406779661013,4915.3050847457625,0.9999884791697058,0.0008417425835085169
210,508.48406779661013,5084.794915254238,0.9999884791703076,0.0008417425395377809
211,508.48406779661013,5254.284745762712,0.999988479170843,0.0008417425004249587
212,508.48406779661013,5423.774576271187,0.9999884791713213,0.0008417424654738682
213,508.48406779661013,5593.264406779661,0.9999884791717506,0.0008417424341090366
214,508.48406779661013,5762.754237288135,0.9999884791721374,0.000841742405851447
215,508.48406779661013,5932.244067796611,0.9999884791724871,0.0008417423802997761
216,508.48406779661013,6101.733898305085,0.9999884791728044,0.0008417423571157423
217,508.48406779661013,6271.223728813559,0.9999884791730932,0.0008417423360125755
218,508.48406779661013,6440.713559322034,0.999988479173357,0.00084174231674587
219,508.48406779661013,6610.203389830509,0.9999884791735983,0.0008417422991062776
220,508.48406779661013,6779.693220338983,0.99998847917382,0.0008417422829136294
221,508.48406779661013,6949.183050847458,0.999988479174024,0.0008417422680121729
222,508.48406779661013,7118.672881355932,0.9999884791742121,0.0008417422542666993
223,508.48406779661013,7288.162711864406,0.999988479174386,0.0008417422415593592
224,508.48406779661013,7457.652542372882,0.9999884791745471,0.0008417422297870528
225,508.48406779661013,7627.142372881356,0.9999884791746967,0.0008417422188592538
226,508.48406779661013,7796.6322033898305,0.9999884791748358,0.0008417422086962111
227,508.48406779661013,7966.122033898305,0.9999884791749654,0.000841742199227435
228,508.48406779661013,8135.611864406779,0.9999884791750864,0.0008417421903904361
229,508.48406779661013,8305.101694915254,0.9999884791751994,0.000841742182129647
230,508.48406779661013,8474.591525423728,0.9999884791753053,0.0008417421743955267
231,508.48406779661013,8644.081355932203,0.9999884791754046,0.0008417421671437831
232,508.48406779661013,8813.571186440679,0.9999884791754977,0.0008417421603347163
233,508.48406779661013,8983.061016949152,0.9999884791755853,0.0008417421539326616
234,508.48406779661013,9152.550847457627,0.9999884791756678,0.0008417421479054982
235,508.48406779661013,9322.040677966103,0.9999884791757456,0.0008417421422242372
236,508.48406779661013,9491.530508474576,0.999988479175819,0.0008417421368626568
237,508.48406779661013,9661.020338983051,0.9999884791758883,0.0008417421317969927
238,508.48406779661013,9830.510169491525,0.9999884791759539,0.0008417421270056653
239,508.48406779661013,10000.0,0.999988479176016,0.0008417421224690372
240,677.9754237288136,0.1,-3.614191168929519,337.12511131182157
241,677.9754237288136,169.58983050847456,0.9999875420258036,0.0009102128160466522
242,677.9754237288136,339.07966101694916,0.9999884221010962,0.0008459121683115778
243,677.9754237288136,508.5694915254237,0.9999884676403055,0.0008425849522397821
244,677.9754237288136,678.0593220338983,0.9999884753809077,0.0008420194032019784
245,677.9754237288136,847.5491525423729,0.9999884775422293,0.000841861491278526
246,677.9754237288136,1017.0389830508474,0.9999884783410689,0.0008418031259371289
247,677.9754237288136,1186.5288135593219,0.999988478695396,0.0008417772378502247
