,epsilon,sigma,r2,mse
0,0.01,0.1,-11.646727492212541,642.4876125568175
1,0.01,169.58983050847456,0.9741197677923047,1.314785078889145
2,0.01,339.07966101694916,0.9827685278003504,0.8754049172965257
3,0.01,508.5694915254237,0.9830826589898508,0.8594462119242474
4,0.01,678.0593220338983,0.9831569612235365,0.8556714595420418
5,0.01,847.5491525423729,0.9831890161161786,0.8540429851831909
6,0.01,1017.0389830508474,0.983206032956008,0.8531784841648867
7,0.01,1186.5288135593219,0.9832161799955388,0.8526629873925654
8,0.01,1356.0186440677965,0.9832227227743867,0.85233059671173
9,0.01,1525.508474576271,0.9832271892973793,0.852103685386591
10,0.01,1694.9983050847457,0.9832303746508725,0.8519418609017796
11,0.01,1864.4881355932202,0.983232726337534,0.8518223889237868
12,0.01,2033.9779661016946,0.9832345120688452,0.851731668992679
13,0.01,2203.4677966101694,0.983235900037516,0.851661156468536
14,0.01,2372.957627118644,0.9832370002551658,0.8516052624665846
15,0.01,2542.4474576271186,0.9832378871480499,0.8515602059338162
16,0.01,2711.937288135593,0.9832386125343593,0.8515233543674036
17,0.01,2881.4271186440674,0.9832392133952478,0.851492829025731
18,0.01,3050.916949152542,0.9832397166977508,0.8514672599112091
19,0.01,3220.4067796610166,0.9832401424823277,0.8514456289148541
20,0.01,3389.8966101694914,0.9832405058938836,0.8514271666349433
21,0.01,3559.3864406779658,0.9832408185502545,0.8514112828543076
22,0.01,3728.8762711864406,0.9832410894841932,0.8513975186849158
23,0.01,3898.366101694915,0.9832413258043127,0.8513855129902015
24,0.01,4067.8559322033893,0.9832415331669089,0.8513749784151959
25,0.01,4237.345762711864,0.9832417161180865,0.8513656840056021
26,0.01,4406.835593220339,0.9832418783453987,0.8513574424238535
27,0.01,4576.325423728814,0.9832420228653572,0.8513501004230726
28,0.01,4745.815254237288,0.983242152164838,0.8513435316633082
29,0.01,4915.3050847457625,0.9832422683088982,0.8513376312341259
30,0.01,5084.794915254238,0.9832423730238253,0.8513323114354979
31,0.01,5254.284745762712,0.9832424677617145,0.8513274984971078
32,0.01,5423.774576271187,0.983242553751125,0.8513231300048583
33,0.01,5593.264406779661,0.9832426320371437,0.8513191528655368
34,0.01,5762.754237288135,0.9832427035133136,0.8513155216847608
35,0.01,5932.244067796611,0.9832427689472626,0.8513121974649815
36,0.01,6101.733898305085,0.9832428290014134,0.8513091465533522
37,0.01,6271.223728813559,0.9832428842498254,0.8513063397861144
38,0.01,6440.713559322034,0.983242935191973,0.8513037517886453
39,0.01,6610.203389830509,0.9832429822640797,0.8513013603996122
40,0.01,6779.693220338983,0.9832430258484934,0.8512991461947137
41,0.01,6949.183050847458,0.9832430662814793,0.8512970920907889
42,0.01,7118.672881355932,0.9832431038597278,0.8512951830151674
43,0.01,7288.162711864406,0.9832431388458156,0.8512934056282503
44,0.01,7457.652542372882,0.9832431714728068,0.8512917480897495
45,0.01,7627.142372881356,0.9832432019481466,0.8512901998609036
46,0.01,7796.6322033898305,0.9832432304569675,0.8512887515364833
47,0.01,7966.122033898305,0.9832432571649089,0.8512873947015597
48,0.01,8135.611864406779,0.9832432822205296,0.8512861218089535
49,0.01,8305.101694915254,0.9832433057573785,0.8512849260740232
50,0.01,8474.591525423728,0.9832433278957785,0.8512838013840377
51,0.01,8644.081355932203,0.983243348744368,0.8512827422198772
52,0.01,8813.571186440679,0.9832433684014366,0.8512817435881704
53,0.01,8983.061016949152,0.9832433869560858,0.8512808009623178
54,0.01,9152.550847457627,0.9832434044892411,0.8512799102310915
55,0.01,9322.040677966103,0.9832434210745359,0.8512790676537195
56,0.01,9491.530508474576,0.9832434367790859,0.8512782698205366
57,0.01,9661.020338983051,0.9832434516641698,0.851277513618425
58,0.01,9830.510169491525,0.9832434657858278,0.8512767962003941
59,0.01,10000.0,0.9832434791953899,0.8512761149587377
60,169.50135593220338,0.1,-12.90191166509092,706.2543287328648
61,169.50135593220338,169.58983050847456,0.9510601542431104,2.486275178982438
62,169.50135593220338,339.07966101694916,0.9806576690467133,0.982642192860828
63,169.50135593220338,508.5694915254237,0.9825482939756981,0.8865933851663552
64,169.50135593220338,678.0593220338983,0.9829411439285533,0.8666355558814004
65,169.50135593220338,847.5491525423729,0.9830762598464587,0.8597713055394056
66,169.50135593220338,1017.0389830508474,0.9831373152527986,0.8566695274488176
67,169.50135593220338,1186.5288135593219,0.9831699396204482,0.8550121222350746
68,169.50135593220338,1356.0186440677965,0.9831894291456873,0.8540220021784497
69,169.50135593220338,1525.508474576271,0.9832020252905666,0.8533820842980441
70,169.50135593220338,1694.9983050847457,0.9832106532639577,0.852943760152232
71,169.50135593220338,1864.4881355932202,0.9832168320116134,0.8526298632304952
72,169.50135593220338,2033.9779661016946,0.9832214147673005,0.8523970469733113
73,169.50135593220338,2203.4677966101694,0.983224911482455,0.8522194044825686
74,169.50135593220338,2372.957627118644,0.9832276425889834,0.8520806569596169
75,169.50135593220338,2542.4474576271186,0.9832298179039333,0.8519701451367279
76,169.50135593220338,2711.937288135593,0.9832315796336991,0.8518806445483836
77,169.50135593220338,2881.4271186440674,0.9832330270214478,0.8518071133760164
78,169.50135593220338,3050.916949152542,0.9832342310888204,0.8517459435301388
79,169.50135593220338,3220.4067796610166,0.9832352437813234,0.8516944960399504
80,169.50135593220338,3389.8966101694914,0.9832361038245666,0.851650803540817
81,169.50135593220338,3559.3864406779658,0.983236840579689,0.8516133744082695
82,169.50135593220338,3728.8762711864406,0.9832374766443703,0.8515810606196799
83,169.50135593220338,3898.366101694915,0.9832380296460885,0.851552966651979
84,169.50135593220338,4067.8559322033893,0.9832385135027161,0.8515283854399904
85,169.50135593220338,4237.345762711864,0.9832389393242871,0.8515067525642371
86,169.50135593220338,4406.835593220339,0.9832393160683454,0.8514876129575132
87,169.50135593220338,4576.325423728814,0.9832396510230944,0.8514705963595703
88,169.50135593220338,4745.815254237288,0.9832399501682919,0.8514553989827108
89,169.50135593220338,4915.3050847457625,0.9832402184480792,0.8514417696513188
90,169.50135593220338,5084.794915254238,0.9832404599795248,0.8514294992072884
91,169.50135593220338,5254.284745762712,0.9832406782136621,0.8514184123288837
92,169.50135593220338,5423.774576271187,0.9832408760610216,0.8514083611533755
93,169.50135593220338,5593.264406779661,0.983241055990346,0.8513992202620221
94,169.50135593220338,5762.754237288135,0.9832412201068537,0.8513908827040771
95,169.50135593220338,5932.244067796611,0.9832413702147625,0.8513832568204635
96,169.50135593220338,6101.733898305085,0.9832415078675935,0.8513762636881481
97,169.50135593220338,6271.223728813559,0.9832416344089172,0.8513698350501427
98,169.50135593220338,6440.713559322034,0.983241751005565,0.851363911628301
99,169.50135593220338,6610.203389830509,0.9832418586748581,0.8513584417399703
100,169.50135593220338,6779.693220338983,0.9832419583070591,0.8513533801574424
101,169.50135593220338,6949.183050847458,0.9832420506839787,0.851348687162626
102,169.50135593220338,7118.672881355932,0.9832421364944768,0.8513443277596098
103,169.50135593220338,7288.162711864406,0.9832422163474333,0.8513402710156484
104,169.50135593220338,7457.652542372882,0.9832422907826545,0.8513364895071418
105,169.50135593220338,7627.142372881356,0.9832423602800795,0.851332958851904
106,169.50135593220338,7796.6322033898305,0.9832424252675847,0.8513296573126665
107,169.50135593220338,7966.122033898305,0.9832424861276252,0.8513265654596796
108,169.50135593220338,8135.611864406779,0.9832425432029077,0.851323665882534
109,169.50135593220338,8305.101694915254,0.9832425968012519,0.8513209429431629
110,169.50135593220338,8474.591525423728,0.9832426471997721,0.8513183825634213
111,169.50135593220338,8644.081355932203,0.9832426946484842,0.8513159720418187
112,169.50135593220338,8813.571186440679,0.9832427393734287,0.8513136998949111
113,169.50135593220338,8983.061016949152,0.9832427815793793,0.8513115557196328
114,169.50135593220338,9152.550847457627,0.9832428214522028,0.8513095300734619
115,169.50135593220338,9322.040677966103,0.983242859160917,0.8513076143698245
116,169.50135593220338,9491.530508474576,0.9832428948594938,0.8513058007865629
117,169.50135593220338,9661.020338983051,0.9832429286884381,0.8513040821856305
118,169.50135593220338,9830.510169491525,0.9832429607761793,0.851302452042471
119,169.50135593220338,10000.0,0.9832429912402966,0.8513009043837626
120,338.9927118644068,0.1,-12.90191166509092,706.2543287328648
121,338.9927118644068,169.58983050847456,0.9652664876172047,1.7645554124793337
122,338.9927118644068,339.07966101694916,0.9809716464908169,0.9666912981662865
123,338.9927118644068,508.5694915254237,0.9823526946296237,0.8965303555766407
124,338.9927118644068,678.0593220338983,0.9827639252442207,0.8756387394692011
125,338.9927118644068,847.5491525423729,0.982942810438305,0.8665508927246767
126,338.9927118644068,1017.0389830508474,0.9830370635623125,0.8617625817045428
127,338.9927118644068,1186.5288135593219,0.983092922263458,0.8589248101496766
128,338.9927118644068,1356.0186440677965,0.9831287897082459,0.8571026479354236
129,338.9927118644068,1525.508474576271,0.9831532056603283,0.8558622522068542
130,338.9927118644068,1694.9983050847457,0.9831705835628695,0.8549794082362074
131,338.9927118644068,1864.4881355932202,0.9831833948967461,0.8543285581786646
132,338.9927118644068,2033.9779661016946,0.9831931126548387,0.8538348700526103
133,338.9927118644068,2203.4677966101694,0.9832006596634348,0.853451461812188
134,338.9927118644068,2372.957627118644,0.983206638230156,0.8531477346178169
135,338.9927118644068,2542.4474576271186,0.9832114551534971,0.8529030220169368
136,338.9927118644068,2711.937288135593,0.9832153932855974,0.8527029543636517
137,338.9927118644068,2881.4271186440674,0.9832186542744341,0.8525372874009075
138,338.9927118644068,3050.916949152542,0.9832213850355681,0.8523985574249109
139,338.9927118644068,3220.4067796610166,0.9832236946700511,0.8522812218101616
140,338.9927118644068,3389.8966101694914,0.9832256655776042,0.8521810944302433
141,338.9927118644068,3559.3864406779658,0.9832273609358084,0.8520949656949031
142,338.9927118644068,3728.8762711864406,0.9832288298432639,0.8520203412638256
143,338.9927118644068,3898.366101694915,0.983230110925246,0.851955258869606
144,338.9927118644068,4067.8559322033893,0.9832312349057974,0.8518981576486441
145,338.9927118644068,4237.345762711864,0.9832322264716291,0.8518477834499169
146,338.9927118644068,4406.835593220339,0.9832331056423087,0.8518031192258129
147,338.9927118644068,4576.325423728814,0.9832338887907788,0.8517633331870004
148,338.9927118644068,4745.815254237288,0.9832345894126296,0.8517277397213745
149,338.9927118644068,4915.3050847457625,0.983235218712429,0.8516957696068964
150,338.9927118644068,5084.794915254238,0.9832357860552093,0.8516669470748518
151,338.9927118644068,5254.284745762712,0.9832362993174317,0.8516408719799258
152,338.9927118644068,5423.774576271187,0.9832367651622227,0.8516172058174508
153,338.9927118644068,5593.264406779661,0.9832371892570021,0.8515956606673343
154,338.9927118644068,5762.754237288135,0.9832375764468844,0.8515759903847899
155,338.9927118644068,5932.244067796611,0.9832379308938376,0.8515579835306888
156,338.9927118644068,6101.733898305085,0.9832382561891176,0.8515414576596345
157,338.9927118644068,6271.223728813559,0.9832385554446852,0.851526254675676
158,338.9927118644068,6440.713559322034,0.9832388313679828,0.8515122370334943
159,338.9927118644068,6610.203389830509,0.9832390863234429,0.8514992846135941
160,338.9927118644068,6779.693220338983,0.9832393223833534,0.8514872921381949
161,338.9927118644068,6949.183050847458,0.9832395413701348,0.8514761670234621
162,338.9927118644068,7118.672881355932,0.9832397448916462,0.851465827585848
163,338.9927118644068,7288.162711864406,0.9832399343708047,0.8514562015373468
164,338.9927118644068,7457.652542372882,0.9832401110705418,0.8514472247176702
165,338.9927118644068,7627.142372881356,0.9832402761149157,0.8514388400216447
166,338.9927118644068,7796.6322033898305,0.983240430507044,0.8514309964882122
167,338.9927118644068,7966.122033898305,0.9832405751443908,0.8514236485237915
168,338.9927118644068,8135.611864406779,0.9832407108318462,0.8514167552378172
169,338.9927118644068,8305.101694915254,0.9832408382929541,0.8514102798723143
170,338.9927118644068,8474.591525423728,0.9832409581795836,0.851404189310596
171,338.9927118644068,8644.081355932203,0.9832410710802837,0.8513984536527864
172,338.9927118644068,8813.571186440679,0.9832411775275247,0.8513930458479779
173,338.9927118644068,8983.061016949152,0.9832412780039903,0.851387941374547
174,338.9927118644068,9152.550847457627,0.9832413729480616,0.8513831179615541
175,338.9927118644068,9322.040677966103,0.9832414627586092,0.8513785553453062
176,338.9927118644068,9491.530508474576,0.983241547799191,0.8513742350560928
177,338.9927118644068,9661.020338983051,0.9832416284017386,0.8513701402309009
178,338.9927118644068,9830.510169491525,0.9832417048698023,0.8513662554485508
179,338.9927118644068,10000.0,0.9832417774814151,0.8513625665842389
180,508.48406779661013,0.1,-12.90191166509092,706.2543287328648
181,508.48406779661013,169.58983050847456,0.9652664876172047,1.7645554124793337
182,508.48406779661013,339.07966101694916,0.9809716464908169,0.9666912981662865
183,508.48406779661013,508.5694915254237,0.9823526946296237,0.8965303555766407
184,508.48406779661013,678.0593220338983,0.9827639252442207,0.8756387394692011
185,508.48406779661013,847.5491525423729,0.982942810438305,0.8665508927246767
186,508.48406779661013,1017.0389830508474,0.9830370635623125,0.8617625817045428
187,508.48406779661013,1186.5288135593219,0.983092922263458,0.8589248101496766
188,508.48406779661013,1356.0186440677965,0.9831287897082459,0.8571026479354236
189,508.48406779661013,1525.508474576271,0.9831532056603283,0.8558622522068542
190,508.48406779661013,1694.9983050847457,0.9831705835628695,0.8549794082362074
191,508.48406779661013,1864.4881355932202,0.9831833948967461,0.8543285581786646
192,508.48406779661013,2033.9779661016946,0.9831931126548387,0.8538348700526103
193,508.48406779661013,2203.4677966101694,0.9832006596634348,0.853451461812188
194,508.48406779661013,2372.957627118644,0.983206638230156,0.8531477346178169
195,508.48406779661013,2542.4474576271186,0.9832114551534971,0.8529030220169368
196,508.48406779661013,2711.937288135593,0.9832153932855974,0.8527029543636517
197,508.48406779661013,2881.4271186440674,0.9832186542744341,0.8525372874009075
198,508.48406779661013,3050.916949152542,0.9832213850355681,0.8523985574249109
199,508.48406779661013,3220.4067796610166,0.9832236946700511,0.8522812218101616
200,508.48406779661013,3389.8966101694914,0.9832256655776042,0.8521810944302433
201,508.48406779661013,3559.3864406779658,0.9832273609358084,0.8520949656949031
202,508.48406779661013,3728.8762711864406,0.9832288298432639,0.8520203412638256
203,508.48406779661013,3898.366101694915,0.983230110925246,0.851955258869606
204,508.48406779661013,4067.8559322033893,0.9832312349057974,0.8518981576486441
205,508.48406779661013,4237.345762711864,0.9832322264716291,0.8518477834499169
206,508.48406779661013,4406.835593220339,0.9832331056423087,0.8518031192258129
207,508.48406779661013,4576.325423728814,0.9832338887907788,0.8517633331870004
208,508.48406779661013,4745.815254237288,0.9832345894126296,0.8517277397213745
209,508.48406779661013,4915.3050847457625,0.983235218712429,0.8516957696068964
210,508.48406779661013,5084.794915254238,0.9832357860552093,0.8516669470748518
211,508.48406779661013,5254.284745762712,0.9832362993174317,0.8516408719799258
212,508.48406779661013,5423.774576271187,0.9832367651622227,0.8516172058174508
213,508.48406779661013,5593.264406779661,0.9832371892570021,0.8515956606673343
214,508.48406779661013,5762.754237288135,0.9832375764468844,0.8515759903847899
215,508.48406779661013,5932.244067796611,0.9832379308938376,0.8515579835306888
216,508.48406779661013,6101.733898305085,0.9832382561891176,0.8515414576596345
217,508.48406779661013,6271.223728813559,0.9832385554446852,0.851526254675676
218,508.48406779661013,6440.713559322034,0.9832388313679828,0.8515122370334943
219,508.48406779661013,6610.203389830509,0.9832390863234429,0.8514992846135941
220,508.48406779661013,6779.693220338983,0.9832393223833534,0.8514872921381949
221,508.48406779661013,6949.183050847458,0.9832395413701348,0.8514761670234621
222,508.48406779661013,7118.672881355932,0.9832397448916462,0.851465827585848
223,508.48406779661013,7288.162711864406,0.9832399343708047,0.8514562015373468
224,508.48406779661013,7457.652542372882,0.9832401110705418,0.8514472247176702
225,508.48406779661013,7627.142372881356,0.9832402761149157,0.8514388400216447
226,508.48406779661013,7796.6322033898305,0.983240430507044,0.8514309964882122
227,508.48406779661013,7966.122033898305,0.9832405751443908,0.8514236485237915
228,508.48406779661013,8135.611864406779,0.9832407108318462,0.8514167552378172
229,508.48406779661013,8305.101694915254,0.9832408382929541,0.8514102798723143
