,epsilon,sigma,r2,mse
0,0.01,0.1,0.5847233149737578,0.39918194792096856
1,0.01,169.58983050847456,0.999480449249957,0.0004994146984987133
2,0.01,339.07966101694916,0.9994805985907725,0.0004992711456343639
3,0.01,508.5694915254237,0.9994806137552263,0.0004992565689041706
4,0.01,678.0593220338983,0.9994806181321189,0.0004992523616453555
5,0.01,847.5491525423729,0.9994806199943015,0.0004992505716347444
6,0.01,1017.0389830508474,0.9994806209624111,0.0004992496410458215
7,0.01,1186.5288135593219,0.9994806215313662,0.0004992490941415228
8,0.01,1356.0186440677965,0.9994806218946877,0.0004992487449011351
9,0.01,1525.508474576271,0.9994806221410727,0.0004992485080652205
10,0.01,1694.9983050847457,0.9994806223159597,0.0004992483399562582
11,0.01,1864.4881355932202,0.9994806224446313,0.0004992482162714977
12,0.01,2033.9779661016946,0.9994806225420839,0.0004992481225958224
13,0.01,2203.4677966101694,0.9994806226176783,0.0004992480499312449
14,0.01,2372.957627118644,0.9994806226775065,0.0004992479924217693
15,0.01,2542.4474576271186,0.9994806227256738,0.000499247946121244
16,0.01,2711.937288135593,0.9994806227650295,0.0004992479082908927
17,0.01,2881.4271186440674,0.9994806227976016,0.0004992478769811474
18,0.01,3050.916949152542,0.999480622824866,0.0004992478507733699
19,0.01,3220.4067796610166,0.9994806228479177,0.0004992478286151615
20,0.01,3389.8966101694914,0.9994806228675827,0.0004992478097123871
21,0.01,3559.3864406779658,0.9994806228844938,0.0004992477934566237
22,0.01,3728.8762711864406,0.9994806228991429,0.0004992477793753403
23,0.01,3898.366101694915,0.9994806229119162,0.0004992477670970096
24,0.01,4067.8559322033893,0.9994806229231212,0.0004992477563262485
25,0.01,4237.345762711864,0.9994806229330048,0.0004992477468258184
26,0.01,4406.835593220339,0.9994806229417668,0.0004992477384034048
27,0.01,4576.325423728814,0.9994806229495709,0.0004992477309017759
28,0.01,4745.815254237288,0.9994806229565518,0.0004992477241913699
29,0.01,4915.3050847457625,0.9994806229628215,0.0004992477181646488
30,0.01,5084.794915254238,0.9994806229684735,0.0004992477127317503
31,0.01,5254.284745762712,0.9994806229735862,0.0004992477078171125
32,0.01,5423.774576271187,0.9994806229782264,0.000499247703356826
33,0.01,5593.264406779661,0.9994806229824503,0.0004992476992965408
34,0.01,5762.754237288135,0.9994806229863066,0.0004992476955898005
35,0.01,5932.244067796611,0.9994806229898364,0.0004992476921967045
36,0.01,6101.733898305085,0.9994806229930759,0.0004992476890828287
37,0.01,6271.223728813559,0.9994806229960559,0.0004992476862183463
38,0.01,6440.713559322034,0.9994806229988034,0.000499247683577311
39,0.01,6610.203389830509,0.999480623001342,0.0004992476811370659
40,0.01,6779.693220338983,0.9994806230036924,0.0004992476788777553
41,0.01,6949.183050847458,0.9994806230058728,0.0004992476767819193
42,0.01,7118.672881355932,0.9994806230078991,0.000499247674834155
43,0.01,7288.162711864406,0.9994806230097855,0.000499247673020832
44,0.01,7457.652542372882,0.9994806230115446,0.0004992476713298534
45,0.01,7627.142372881356,0.9994806230131877,0.0004992476697504535
46,0.01,7796.6322033898305,0.9994806230147247,0.0004992476682730247
