,epsilon,sigma,r2,mse
0,0.01,0.1,-2.5874479711139213,10.76676597502343
1,0.01,169.58983050847456,0.9994116183052036,0.0017658703520913338
2,0.01,339.07966101694916,0.9993951835619782,0.0018151948400261491
3,0.01,508.5694915254237,0.9993920421152868,0.001824623052399247
4,0.01,678.0593220338983,0.9993909349684663,0.0018279458575832883
5,0.01,847.5491525423729,0.9993904211461008,0.0018294879580423036
6,0.01,1017.0389830508474,0.9993901416630379,0.0018303267517352216
7,0.01,1186.5288135593219,0.9993899730160414,0.0018308329006072334
8,0.01,1356.0186440677965,0.9993898635056535,0.0018311615667586502
9,0.01,1525.508474576271,0.9993897884017506,0.0018313869710438358
10,0.01,1694.9983050847457,0.9993897346682817,0.0018315482376851044
11,0.01,1864.4881355932202,0.9993896949050272,0.0018316675764630007
12,0.01,2033.9779661016946,0.9993896646580308,0.0018317583547359587
13,0.01,2203.4677966101694,0.9993896411164702,0.0018318290084361247
14,0.01,2372.957627118644,0.9993896224355239,0.0018318850743020457
15,0.01,2542.4474576271186,0.999389607363752,0.0018319303081960115
16,0.01,2711.937288135593,0.9993895950279813,0.0018319673307137221
17,0.01,2881.4271186440674,0.9993895848039623,0.00183199801537339
18,0.01,3050.916949152542,0.9993895762358288,0.0018320237303354801
19,0.01,3220.4067796610166,0.9993895689843973,0.0018320454935681564
20,0.01,3389.8966101694914,0.9993895627930813,0.0018320640751479007
21,0.01,3559.3864406779658,0.9993895574648799,0.0018320800663200406
22,0.01,3728.8762711864406,0.9993895528465132,0.0018320939271129376
23,0.01,3898.366101694915,0.9993895488172755,0.001832106019792757
24,0.01,4067.8559322033893,0.9993895452810679,0.0018321166327742015
25,0.01,4237.345762711864,0.9993895421606159,0.0018321259979766425
26,0.01,4406.835593220339,0.9993895393932114,0.0018321343036014877
27,0.01,4576.325423728814,0.9993895369275381,0.001832141703660956
28,0.01,4745.815254237288,0.9993895347212752,0.0018321483251690313
29,0.01,4915.3050847457625,0.99938953273927,0.0018321542736278171
30,0.01,5084.794915254238,0.9993895309521282,0.0018321596372559263
31,0.01,5254.284745762712,0.9993895293351186,0.0018321644902780595
