,epsilon,sigma,r2,mse
0,0.01,0.1,0.0035817276728009606,1.1403089243357534
1,0.01,169.58983050847456,0.9983811356005807,0.001852641178122732
2,0.01,339.07966101694916,0.998349930281424,0.0018883527913170397
3,0.01,508.5694915254237,0.9983441768692203,0.0018949370415897436
4,0.01,678.0593220338983,0.9983421661639437,0.0018972381085560941
5,0.01,847.5491525423729,0.998341236041141,0.0018983025484224836
6,0.01,1017.0389830508474,0.9983407309317666,0.0018988805995716952
7,0.01,1186.5288135593219,0.9983404264134972,0.0018992290926792925
8,0.01,1356.0186440677965,0.9983402287873958,0.0018994552575473092
9,0.01,1525.508474576271,0.9983400933033396,0.0018996103065690726
10,0.01,1694.9983050847457,0.9983399963960363,0.0018997212080507635
11,0.01,1864.4881355932202,0.998339924697426,0.0018998032605054731
12,0.01,2033.9779661016946,0.9983398701657269,0.001899865667011773
13,0.01,2203.4677966101694,0.9983398277277818,0.0018999142333306126
14,0.01,2372.957627118644,0.9983397940548807,0.0018999527688639938
15,0.01,2542.4474576271186,0.9983397668894846,0.0018999838571575806
16,0.01,2711.937288135593,0.9983397446567076,0.001900009300522691
17,0.01,2881.4271186440674,0.9983397262307928,0.0019000303872848659
18,0.01,3050.916949152542,0.9983397107897379,0.001900048058149764
19,0.01,3220.4067796610166,0.998339697721999,0.001900063012973137
20,0.01,3389.8966101694914,0.998339686564991,0.0019000757811411556
21,0.01,3559.3864406779658,0.998339676963577,0.0019000867690749054
22,0.01,3728.8762711864406,0.9983396686414537,0.0019000962929783137
23,0.01,3898.366101694915,0.9983396613810471,0.0019001046018449377
24,0.01,4067.8559322033893,0.9983396550091451,0.0019001118938997497
25,0.01,4237.345762711864,0.9983396493864707,0.001900118328532745
26,0.01,4406.835593220339,0.9983396444000048,0.0019001240350836667
27,0.01,4576.325423728814,0.9983396399572625,0.0019001291193928365
28,0.01,4745.815254237288,0.998339635981974,0.001900133668744492
29,0.01,4915.3050847457625,0.9983396324107877,0.0019001377556381244
30,0.01,5084.794915254238,0.9983396291907323,0.0019001414406949594
31,0.01,5254.284745762712,0.9983396262772395,0.0019001447749190322
32,0.01,5423.774576271187,0.9983396236325945,0.0019001478014716005
33,0.01,5593.264406779661,0.9983396212247088,0.0019001505570750265
34,0.01,5762.754237288135,0.9983396190261421,0.0019001530731319932
35,0.01,5932.244067796611,0.9983396170133177,0.001900155376624149
36,0.01,6101.733898305085,0.9983396151658869,0.0019001574908385122
37,0.01,6271.223728813559,0.9983396134662134,0.0019001594359583495
38,0.01,6440.713559322034,0.9983396118989502,0.001900161229546667
39,0.01,6610.203389830509,0.9983396104506925,0.001900162886944068
40,0.01,6779.693220338983,0.9983396091096901,0.001900164421597872
41,0.01,6949.183050847458,0.9983396078656076,0.0019001658453357394
42,0.01,7118.672881355932,0.9983396067093253,0.0019001671685942552
43,0.01,7288.162711864406,0.9983396056327717,0.0019001684006107317
44,0.01,7457.652542372882,0.9983396046287816,0.0019001695495848635
45,0.01,7627.142372881356,0.9983396036909773,0.001900170622815511
46,0.01,7796.6322033898305,0.9983396028136665,0.0019001716268169043
47,0.01,7966.122033898305,0.998339601991756,0.0019001725674177273
48,0.01,8135.611864406779,0.9983396012206777,0.0019001734498459053
49,0.01,8305.101694915254,0.9983396004963244,0.0019001742788014042
50,0.01,8474.591525423728,0.9983395998149961,0.0019001750585189443
51,0.01,8644.081355932203,0.9983395991733514,0.001900175792822192
52,0.01,8813.571186440679,0.9983395985683673,0.0019001764851707239
53,0.01,8983.061016949152,0.9983395979973033,0.0019001771387008525
54,0.01,9152.550847457627,0.9983395974576703,0.001900177756261207
55,0.01,9322.040677966103,0.9983395969472031,0.0019001783404438296
56,0.01,9491.530508474576,0.9983395964638374,0.0019001788936114125
57,0.01,9661.020338983051,0.9983395960056879,0.001900179417921233
58,0.01,9830.510169491525,0.9983395955710309,0.0019001799153462134
59,0.01,10000.0,0.9983395951582871,0.00190018038769351
60,169.50135593220338,0.1,-0.13480335935539123,1.298677908642586
61,169.50135593220338,169.58983050847456,0.9982335969400669,0.0020214855840723325
62,169.50135593220338,339.07966101694916,0.9983137703449464,0.0019297345076244037
63,169.50135593220338,508.5694915254237,0.9983281649527351,0.0019132612050167441
64,169.50135593220338,678.0593220338983,0.9983331708878186,0.0019075323734518465
65,169.50135593220338,847.5491525423729,0.9983354823770811,0.0019048870869213036
66,169.50135593220338,1017.0389830508474,0.9983367365532884,0.0019034517977847324
67,169.50135593220338,1186.5288135593219,0.9983374922966559,0.0019025869191183205
68,169.50135593220338,1356.0186440677965,0.9983379826105622,0.0019020258000194505
69,169.50135593220338,1525.508474576271,0.9983383186817995,0.0019016411974466813
70,169.50135593220338,1694.9983050847457,0.9983385590290934,0.0019013661421091843
71,169.50135593220338,1864.4881355932202,0.9983387368364293,0.0019011626579925477
