,Ka,embedding,epsilon,eta,mu,split0_r2,split1_r2,split2_r2,split3_r2,split4_r2,split5_r2,split6_r2,split7_r2,split8_r2,split9_r2,r2_mean,r2_std
0,10,4,6.127633760716439,0.11610044354231798,0.4336547993389047,-0.12088081416408651,-0.23368194704374035,-0.3821036893423944,-0.15237082475809044,-0.5237889686329197,0.13153598226174418,0.03089594377066086,-0.4087333530612283,-0.2631709978825364,0.22090631855234574,-0.17013923503002454,0.2294991537081849
1,10,6,4.4758721126269245,0.5530198332197334,0.9736627605010293,0.1818016443841451,-0.20114449332989626,0.35046012637892937,0.07796490639488161,-0.6830960707746481,0.15863581325737755,0.3235926230571161,-0.3785825151430571,0.32315598368737375,0.5481081467439626,0.07008961646561847,0.360272262114379
2,6,4,4.027847961008297,0.43042814454794176,0.3473961604172684,0.7001251810361434,0.1073539718422591,0.21538716222918608,0.6098275618813924,-0.28745406254847544,0.24075109091029984,0.5584025976476564,0.6950974541976948,0.4189952484780055,0.5925996155572781,0.385108582123144,0.29986520461254446
3,9,7,3.78241539840548,0.742186925988257,0.15035078041264516,0.3149637955768098,0.1602645121888672,0.31571856807179083,0.17698036131099673,0.39773920379073047,0.49411739236215635,0.610480714086107,0.48403338135365825,0.3572339095243465,0.4306965705538442,0.3742228408819307,0.13337875120588827
4,5,6,4.836080452737105,0.367429344323224,0.5304774795512048,0.05996051923535619,-0.030226819192003575,0.2120848576130999,-0.04049983035714445,-0.2910709360119573,0.49861085486085494,0.5321203362958571,0.07678661877943929,0.3442775113211655,0.6239414908440846,0.1985984603388752,0.28052254158281587
5,8,4,5.920197920751071,0.11224257163317986,0.7686156243223572,0.24078902429619647,-0.5329844249115755,-0.3649868785542869,-0.175402514769746,0.015988324714300152,-0.42433397702218334,-0.12201809372262176,-0.39895902666597427,-0.09020020378145825,-0.009398862924895123,-0.18615066333422445,0.22849695985933083
6,9,7,1.9633234332675997,0.27549697064293055,0.22655035442437188,0.4008113218478189,0.22881568807456126,0.5675905464833069,0.5467311204890014,0.45877654655309613,0.4992163330605342,0.742818785171105,0.7381846065112543,0.7087175714277876,0.5152347174180979,0.5406897237036563,0.153219791818713
7,5,4,3.341410077932141,0.01961105637099604,0.23232138825158766,0.5130228173830178,0.48656569133257505,0.48712646714110575,0.07984337316581788,-0.0716025568999661,-0.29973266931495657,0.276364368291135,0.37749734280928204,0.15429826519123094,0.08188867039623673,0.2085271769495479,0.255564419115522
8,6,8,6.918202991034834,0.05041567913046524,0.44703195379934146,0.16946805330739392,-0.4164008800135817,-0.37729090420609257,-0.5639298171037475,-0.6527339758021136,-0.3815769489429728,0.23865150219332168,0.40406278864338674,-0.36736342540526934,0.029704122338830942,-0.19174094849908443,0.3496499070035325
9,6,5,9.798090677467487,0.18897050452326994,0.18090958513604516,-0.2110749519337511,-0.691299426886806,-0.7607802462439606,-0.1973736142019991,-0.6227364171904914,-0.22239825184756207,-0.20092534250371533,-0.7044748404777608,-0.28008978079653035,0.3904450887084005,-0.3500707783374176,0.33459080017209847
10,7,7,7.606861412184562,0.15411628486585807,0.3350472290083525,-0.09070300305957839,-0.655669574745148,-0.14829797360363553,-0.4581272633611656,-0.791114092074257,-0.15598811516341765,0.1110384750355444,0.22663994734484047,-0.21548837016127104,0.2323308292142962,-0.1945379140573792,0.3325438863761967
11,9,7,9.983738380592262,0.01582779100343241,0.2188767560948347,-0.3074685721899554,-0.732399388577519,-0.49994088695500505,-0.5924671477398243,-0.6917053876487064,-0.5537634959771892,-0.20631605851937573,-0.292773175837173,-0.12567104379681052,-0.20386750386540148,-0.420637266110696,0.2081573621364227
