,MSE
0,0.9906193394016654
1,0.9679175525279093
2,0.9431328258051422
3,0.9143033546241826
4,0.8788640814663369
5,0.8535714761993916
6,0.8208672710893635
7,0.8062368863293667
8,0.7993267551715846
9,0.7898993935274691
10,0.7802593958720122
11,0.7633365504610607
12,0.7419904390094326
13,0.7256224581957851
14,0.7141544002017673
15,0.7092720998468952
16,0.7064767372781938
17,0.694115368444941
18,0.6971309465296489
19,0.6861734961102002
20,0.6720913409095086
21,0.6449658203390263
22,0.611936940162143
23,0.5964379618062553
24,0.5922522719411246
25,0.5822268891665378
26,0.5741330937744253
27,0.5704645827140621
28,0.5590874081191605
29,0.5571905878534376
30,0.5588870273092862
31,0.5547479194623983
32,0.7464972285981886
33,0.727203548965569
34,0.7149100772860169
35,0.7059915585154528
36,0.5226667402511909
37,0.5041382425302262
38,0.4949167279007588
39,0.4868804881459237
40,0.4807361638970381
41,0.4744185884036458
42,0.4656971266395815
43,0.586309887970114
44,0.7666869198836408
45,0.6524395742520352
46,0.6450065457730414
47,0.463689036539482
48,0.4560396474078776
49,0.45083794008972433
50,0.45155804092442775
51,0.4540397505377946
52,0.4522076663140301
53,0.44618763546365026
54,0.4465165084152824
55,0.44425238266646144
56,0.43871152493515747
57,0.5978825865993715
58,0.43356304017501024
59,0.5924287972711999
60,0.57293277531835
61,0.5740688788001472
62,0.5656556577205195
63,0.5561425008345586
64,0.5633852717206432
65,0.5540334011427793
66,0.5479985932257893
67,0.5415621945232858
68,0.5435075577423267
69,0.36248525903384576
70,0.36684586908654815
71,0.5586686443138302
72,0.5594887454876549
73,0.34964348906460513
74,0.5521115952637089
75,0.3474179841493095
76,0.34542369967390757
77,0.34280315268394
78,0.33924647206481306
79,0.3351326656121101
80,0.3366168867239515
81,0.33181714758683734
82,0.3212638531833195
83,0.314814698727078
84,0.31410029083079116
85,0.31741013536826396
86,0.3163767839132434
87,0.3142061088990761
88,0.3114975218909971
89,0.310700885428974
90,0.5571857479031046
91,0.30943387392851196
92,0.3073075433291889
93,0.30567346683022445
94,0.3025276137626692
95,0.3025363038886768
96,0.2994249439606306
97,0.2925407940664746
98,0.2900528311672542
99,0.2932548605249277
100,0.29881077965201985
101,0.2977795180433046
102,0.29806721702855643
103,0.29377526588096925
104,0.2870866372125326
105,0.48665474464549463
106,0.4816979423061925
107,0.26659872716602007
108,0.26166033091809515
109,0.2559843706999354
110,0.25396822633560695
111,0.254024371490026
112,0.2536643296923232
113,0.2561387275737496
114,0.25594756754360937
115,0.2545821584347366
116,0.2534061334569954
117,0.25205111003064407
118,0.2514461550653567
119,0.24858897999723192
120,0.24325456055192435
121,0.2347606421537718
122,0.2315918459565099
123,0.23035408720283973
124,0.22960890374643267
125,0.23186551176200282
126,0.2315962215902955
127,0.2274805388841977
128,0.22724120472052486
129,0.22836929656304203
130,0.2289989804947396
131,0.22935825012673225
132,0.22962131112845324
133,0.23001187643752935
134,0.22997365562637206
135,0.22849036032618536
136,0.22686341987310454
137,0.22828240593647298
138,0.23159748267172758
139,0.23228006924378777
140,0.4379913443542165
141,0.43660289529730045
142,0.43661032011208734
143,0.436154467272775
144,0.43620324686281897
145,0.4367498718874197
146,0.4378791873239825
147,0.4380421732911519
148,0.43631095320371244
149,0.5233244920539587
150,0.43392662007463356
151,0.4317414873246171
152,0.4324155687928902
153,0.431831531374534
154,0.43161243891548856
155,0.6158824085351403
156,0.6148483536758385
157,0.612670338178863
158,0.611943634847078
159,0.6121820912082752
160,0.6126118644284666
161,0.6138730465177417
162,0.6150074200259396
163,0.6185468942527387
164,0.41788523168949354
