,MSE
0,1.6655082318785142
1,1.5723677646950347
2,1.7216717570096018
3,1.8397026797739073
4,1.8354263434839335
5,1.8230605420974793
6,1.9507136029965093
7,2.1589191069259046
8,2.2375915168134024
9,2.104226039131726
10,1.879752243651728
11,1.810168771903119
12,1.9294895712422175
13,2.086122339926442
14,2.1722846569723107
15,2.160761637749011
16,2.050826399057164
17,1.8962436007243901
18,1.7778780022879677
19,1.7393436165823382
20,1.7707008141190215
21,1.824937172951437
22,1.8689165119956304
23,1.917985582138399
24,1.9335413353666737
25,1.8722130839231041
26,1.8263479740390232
27,1.8479203227063707
28,1.907829255475021
29,1.9707968751403537
30,2.0015578411656234
31,2.009439654006478
32,2.0584637672764026
33,2.126018590577663
34,2.09875454995391
35,1.9889909437466133
36,1.8854475464715026
37,1.8021164046775577
38,1.754748641808927
39,1.7751701105875093
40,1.830838232891312
41,1.8519826302761886
42,1.8272299638203457
43,1.7832072637779202
44,1.7438949111861182
45,1.7518736924340979
46,1.859937778074117
47,2.0580607862016485
48,2.1925035121828125
49,2.1547326188540152
50,2.0566836502082997
51,2.0171721395323297
52,2.056946621206019
53,2.1243479934502987
54,2.133622403251854
55,2.0496575483550927
56,1.9235496671433676
57,1.8260715816845632
58,1.7894570557580693
59,1.7796309318822303
60,1.7311078692629778
61,1.6756128324146693
62,1.6935627551356465
63,1.7861049876947184
64,1.935850013334715
65,2.1349888444737326
66,2.2735707682773727
67,2.2536162953248424
68,2.164967846085263
69,2.138176726765638
70,2.199996214667795
71,2.259879986652196
72,2.229900633464797
73,2.161193690589019
74,2.066700292930487
75,1.9411382994194404
76,1.8647917716748115
77,1.8605987647680713
78,1.9030839122781296
79,1.9745200712493065
80,2.0700513133792904
81,2.170102061831136
82,2.209528083354965
83,2.1375924120276357
84,1.972717781250226
85,1.7666942536862902
86,1.578176949777609
87,1.452187820472885
88,1.4018284300528163
89,1.4143472986205707
90,1.4644407611813732
91,1.5271620264685866
92,1.5978953014350084
93,1.6873851048862836
94,1.7860134290367546
95,1.8900426817548321
96,2.0031950376006895
97,2.0549499193087533
98,2.004442889381182
99,1.8720857210963804
100,1.7145448684543627
101,1.6256736085566676
102,1.582651750918809
103,1.5360931373841464
104,1.5445868669285172
105,1.642304729344568
106,1.7664570808327595
107,1.8443209437092072
108,1.8871512805819388
109,1.9373894325111913
110,1.9812030583698266
111,1.9835296104118485
112,1.9609382391585304
113,1.9269825264136073
114,1.8663838492256137
115,1.795019174396541
116,1.7418553935161867
117,1.7149572773440664
118,1.7091701108649282
119,1.7073068603622452
120,1.6956347221792627
121,1.6907609152766994
122,1.727584590285547
123,1.8301713539650986
124,1.9779765313544835
125,2.0878929572017233
126,2.069327343816589
127,1.9503387922622202
128,1.8248383090778606
129,1.7301566631397158
130,1.6467236359338944
131,1.5619667422145778
132,1.4982328644865877
133,1.4828294125739352
134,1.535083556383103
135,1.6797505332023306
136,1.9442820290972818
137,2.2902834278628346
138,2.533034738879675
139,2.512137580823611
140,2.3122438261720815
141,2.0757170800935754
142,1.8571194842386298
143,1.6683465041062084
144,1.5400908398717186
145,1.5045630574420827
146,1.5578567824697556
147,1.6802080294817348
148,1.8571250318074526
149,2.081034790623975
150,2.3433552282117573
151,2.5887082763238265
152,2.6517240137691234
153,2.4588818238783907
154,2.183919341110952
155,1.965143972687168
156,1.818061203905683
157,1.7291152545919957
158,1.6934504679797797
159,1.7100676623167774
160,1.7785341889539161
161,1.896605535428805
162,2.0515882799230334
163,2.2124578898336704
164,2.3474406183910865
165,2.447669840306749
166,2.4966419455698206
167,2.4568769376455606
168,2.318988889306679
169,2.114440917805484
170,1.8914907476214833
171,1.6997772268550073
172,1.5841691838681533
173,1.5520632239057242
174,1.577976852526421
175,1.6368786494934675
176,1.7263262035945677
177,1.8574975886292318
178,2.0271413917489243
179,2.2068153662987116
180,2.341400835160537
181,2.3618960250254104
182,2.2676768054456797
183,2.155079728566981
184,2.1080546330755423
185,2.0841319141995847
186,1.947073647695979
187,1.739278948519391
188,1.5861574284027882
189,1.5158243106107459
190,1.5295934225854908
191,1.6405110769381364
192,1.8478629480914286
193,2.1041208709922636
194,2.294639340106005
195,2.316121336062779
196,2.2042868294992433
197,2.0336584633827677
198,1.8559494680866646
199,1.7134814493173653
200,1.5717725112991903
201,1.4424779586396415
202,1.4043773193385682
203,1.4777029962413297
204,1.5837599289712834
205,1.6311503178026936
206,1.6321886931225982
207,1.6416358739652819
208,1.6927154849806243
209,1.7686324834939575
210,1.7868018146120668
211,1.7226426909871448
212,1.6771322971711637
213,1.7281824365621354
214,1.7959544082806598
215,1.7243005205558966
216,1.557802037413471
217,1.4378590483508287
218,1.4139439875153634
219,1.4722495707512189
220,1.583885724676845
221,1.7347915173243398
222,1.9202857113818972
223,2.073261694909154
224,2.062426598917683
225,1.8729465175305406
226,1.6300903014145594
227,1.4479092236209754
228,1.3614484533436118
229,1.338567267736067
230,1.331734713075221
231,1.3340849377613557
232,1.3855225137667333
233,1.5259980733418412
234,1.7369134316745256
235,1.9054678972095016
236,1.9173401908161036
237,1.7960381845574163
238,1.6483930927880237
239,1.5463389508550285
240,1.483139216798118
241,1.4389045253508197
242,1.4424762704977019
243,1.4935281191218839
244,1.526084126029254
245,1.5362280597564462
246,1.5622226742810637
247,1.5623035658132065
248,1.52245681092587
249,1.4813993001542063
250,1.4858543304248975
251,1.5762706073851738
252,1.7702472556882731
253,2.03869454412003
254,2.2819635181264157
255,2.421773685730344
256,2.4471587967805304
257,2.319501411532664
258,2.104141845197719
259,1.9751530414774336
260,1.9512144735163222
261,1.8964327749879395
262,1.8013963832404252
263,1.7289936302887057
264,1.655702850337964
265,1.570237892941212
266,1.53645119945377
267,1.5948053487418599
268,1.707764850689897
269,1.7731388482229946
270,1.7369037403779963
271,1.6498859832223374
272,1.56246164931149
273,1.4945823180912559
274,1.4618252577742084
275,1.4705398334309405
276,1.5156350810490973
277,1.596220060355101
278,1.6999367748221588
279,1.7532957439237333
280,1.7078652746149898
281,1.6265310305829392
282,1.5649801544412203
283,1.535240902333967
284,1.5464420675691373
285,1.5988086334924838
286,1.6514943958324024
287,1.6571108593596229
288,1.6411421281904794
289,1.6515420627073603
290,1.6749385637423173
291,1.6770126458035204
292,1.6683657504077707
293,1.6750858590775537
294,1.69017482203434
295,1.6774826304309407
296,1.617898776647877
297,1.5430234497818733
298,1.4988943507411574
299,1.4913722357732435
300,1.4904384765572953
301,1.4843801901357885
302,1.494498338936795
303,1.542257217221385
304,1.633121936398787
305,1.7345768527079017
306,1.759009052676238
307,1.66379907865308
308,1.521430047913948
309,1.4229861747368064
310,1.4040638204523876
311,1.4441150553924538
312,1.4922101979882196
313,1.5550938351354628
314,1.6757941975761383
315,1.763204354321314
316,1.7267329927661748
317,1.6654435840713422
318,1.6817887277326034
319,1.7501193595468767
320,1.7396589782898957
321,1.641973670249555
322,1.5949337885357844
323,1.6437303734588433
324,1.735804483479815
325,1.812074271995051
326,1.8013206630425866
